"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1",NA,1,0,1,0,NA,NA,NA,1.23726253684104e-07,0,8082359
"2",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"3",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"4",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"5",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"6",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"7",NA,0,0,1,0,0,NA,NA,1.23726253684104e-07,0,8082359
"8",NA,8,0,9,0,0,NA,NA,1.11353628315693e-06,0,8082359
"9",NA,6,0,15,0,0,0,NA,1.85589380526156e-06,0,8082359
"10",NA,0,0,15,0,0,0,NA,1.85589380526156e-06,0,8082359
"11",NA,3,0,18,0,0,0,NA,2.22707256631387e-06,0,8082359
"12",NA,0,0,18,0,0,0,NA,2.22707256631387e-06,0,8082359
"13",NA,5,0,23,0,0,0,NA,2.72197758105028e-06,0,8082359
"14",NA,1,0,24,0,0,0,NA,2.84570383473439e-06,0,8082359
"15",NA,1,1,25,1,3.20020403768308e-05,5.95308855082326e-06,0.000172033488085556,4.12578544980762e-06,1.15635536138913e-06,8082359
"16",NA,3,0,28,1,2.95396891578093e-05,5.30603716911642e-06,0.000164452906703875,7.29075214528719e-06,3.95014329581639e-06,8082359
"17",NA,2,0,30,1,2.68194663417271e-05,4.58705628639683e-06,0.000156807270272246,9.078716568069e-06,5.49065521122999e-06,8082359
"18",NA,4,0,34,1,2.62483873465766e-05,4.34509834523138e-06,0.000158564383025313,1.21667621382545e-05,8.08379576667905e-06,8082359
"19",NA,0,0,34,1,2.29624098731358e-05,3.75368589602289e-06,0.000140467871257033,1.21667621382545e-05,8.08379576667905e-06,8082359
"20",NA,2,1,36,2,4.30163637072803e-05,1.83633672135944e-05,0.000100766244288093,1.35667500925194e-05,1.02261412430486e-05,8082359
"21",NA,3,0,39,2,4.17696237902179e-05,1.75591291811456e-05,9.93615032714574e-05,1.60374405542777e-05,1.30680104658592e-05,8082359
"22",NA,1,1,40,3,5.81733100702669e-05,3.36863503693437e-05,0.000100460096372184,1.74917733060344e-05,1.43986169639318e-05,8082359
"23",NA,1,0,41,3,5.44049677327881e-05,3.11630357701237e-05,9.49811352090222e-05,1.84475449774891e-05,1.56018411427547e-05,8082359
"24",NA,3,0,44,3,5.37240883888507e-05,3.05000876247407e-05,9.46317829877901e-05,2.21105510040017e-05,1.8893668408215e-05,8082359
"25",NA,14,0,58,3,6.56222789550431e-05,3.69793295732193e-05,0.00011645109700345,3.73317801730054e-05,3.30013612940617e-05,8082359
"26",NA,7,0,65,3,6.79678570445378e-05,3.80612495148366e-05,0.000121373566294138,4.45276692933484e-05,3.94548928923001e-05,8082359
"27",NA,5,0,70,3,6.68760487726955e-05,3.7248737843337e-05,0.000120068656238992,4.80244483048963e-05,4.24567668891116e-05,8082359
