"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,15,0,15,0,NA,NA,NA,9321023
"2",NA,0,0,15,0,0,NA,NA,9321023
"3",NA,17,0,32,0,0,0,NA,9321023
"4",NA,44,2,76,2,0.000536992540210283,0.000535978854278877,0.000538008143305322,9321023
"5",NA,154,1,230,3,0.00112030043569811,0.000861030000538925,0.00145764150545256,9321023
"6",NA,63,2,293,5,0.000991845669361825,0.000799398719646191,0.00123062222599908,9321023
"7",NA,86,3,379,8,0.000944608341034486,0.000798137504621105,0.00111795888902065,9321023
"8",NA,82,4,461,12,0.000956980259091419,0.000847351406282986,0.00108079270241375,9321023
"9",NA,61,0,522,12,0.000685142996397918,0.000597055681161234,0.000786226377747758,9321023
"10",NA,90,8,612,20,0.000928323514893842,0.000856213636149328,0.0010065064511009,9321023
"11",NA,0,0,612,20,0.000687347765863933,0.00063090404233651,0.000748841217577979,9321023
"12",NA,49,1,661,21,0.000608050036255394,0.000558976702148601,0.000661431585912316,9321023
"13",NA,68,2,729,23,0.000599524809978854,0.000554497740162998,0.000648208228359098,9321023
"14",NA,72,0,801,23,0.000554764727375021,0.000512363392191072,0.000600675043201972,9321023
"15",NA,106,6,907,29,0.000680786093423817,0.000639256500572167,0.000725013675393888,9321023
"16",NA,211,4,1118,33,0.000831288174659166,0.000786328183742283,0.000878818848943426,9321023
"17",NA,204,3,1322,36,0.000936489849817105,0.000889595416158589,0.000985856292512774,9321023
"18",NA,202,3,1524,39,0.00101687465532005,0.000969383609980174,0.00106669233313468,9321023
"19",NA,205,2,1729,41,0.00104994363821197,0.00100277930174657,0.00109932628396072,9321023
"20",NA,0,0,1729,41,0.000907913685704161,0.000866692235844238,0.000951095702254633,9321023
"21",NA,207,3,1936,44,0.000949758038217258,0.000909217517884727,0.00099210619396871,9321023
"22",NA,204,0,2140,44,0.000924630643450837,0.000884864169847195,0.000966184252839559,9321023
"23",NA,210,0,2350,44,0.000901199895342359,0.00086220188950832,0.000941961808768735,9321023
"24",NA,201,0,2551,44,0.00087284143618364,0.000834872451392506,0.000912537204274024,9321023
"25",NA,187,0,2738,44,0.000839576936848291,0.000802891384551783,0.000877938718050969,9321023
"26",NA,362,2,3100,46,0.000894833786641536,0.000857243251922598,0.000934072684642759,9321023
"27",NA,0,0,3100,46,0.000808301671402553,0.000774227475822985,0.000843875491886495,9321023
"28",NA,0,0,3100,46,0.00073297616634978,0.000701984478441598,0.000765336096361448,9321023
"29",NA,463,1,3563,47,0.000787656619461864,0.000754953633332932,0.000821776229413145,9321023
"30",NA,0,0,3563,47,0.000725870590954705,0.000695668086287827,0.000757384340604835,9321023
"31",NA,244,0,3807,47,0.00071739997104319,0.00068749374678156,0.000748607126773323,9321023
"32",NA,0,0,3807,47,0.000666813590054216,0.000638970640836274,0.000695869787223799,9321023
"33",NA,123,0,3930,47,0.000642989771168218,0.000616103480916693,0.000671049358805458,9321023
"34",NA,83,0,4013,47,0.000616958034025191,0.000591128814006996,0.000643915855104509,9321023
"35",NA,87,0,4100,47,0.000595489664474861,0.000570533236275579,0.000621537743902968,9321023
"36",NA,189,1,4289,48,0.000603954386252389,0.000579123336589579,0.000629850115903727,9321023
"37",NA,81,0,4370,48,0.000586354135964182,0.000562227116562949,0.000611516525321859,9321023
"38",NA,83,0,4453,48,0.000570864622344303,0.000547357730058928,0.000595381044512186,9321023
"39",NA,76,0,4529,48,0.000556286132347628,0.000533364536009488,0.000580192795264472,9321023
"40",NA,80,0,4609,48,0.000543941319972719,0.000521515193040618,0.000567331812230865,9321023
"41",NA,81,0,4690,48,0.00053327797626586,0.000511279899960922,0.000556222530930606,9321023
"42",NA,73,0,4763,48,0.000523088952648865,0.00050150095626666,0.000545606242548808,9321023
"43",NA,71,1,4834,49,0.000524618048397074,0.000503376994802832,0.000546755413031454,9321023
"44",NA,68,0,4902,49,0.000516045425259697,0.000495143137600798,0.000537830095397919,9321023
"45",NA,69,1,4971,50,0.000518951582456519,0.000498322547154658,0.000540434596973077,9321023
"46",NA,64,0,5035,50,0.000511704748678809,0.000491356886795149,0.000532895247542562,9321023
"47",NA,62,0,5097,50,0.000505061789924143,0.000484971876289576,0.000525983926311362,9321023
"48",NA,63,0,5160,50,0.000499239069835061,0.000479375104576673,0.000519926142326219,9321023
"49",NA,61,1,5221,51,0.00050374120379101,0.000484064802547358,0.000524217416886018,9321023
"50",NA,58,0,5279,51,0.000498553983697564,0.000479075353275194,0.000518824591917451,9321023
"51",NA,59,0,5338,51,0.000493985925424746,0.000474681321151088,0.000514075620093912,9321023
"52",NA,61,1,5399,52,0.000499676054780683,0.000480499849299294,0.000519617560932199,9321023
"53",NA,58,0,5457,52,0.000495817428028767,0.000476785411008749,0.000515609153008565,9321023
"54",NA,56,0,5513,52,0.000492146325323869,0.000473251541288864,0.000511795492245314,9321023
"55",NA,54,0,5567,52,0.000488634740586565,0.000469871376079013,0.000508147382163475,9321023
"56",NA,63,0,5630,52,0.000486213950048418,0.000467540355174883,0.000505633369622732,9321023
"57",NA,61,0,5691,52,0.000483873787200079,0.000465287036976112,0.000503203019497335,9321023
"58",NA,56,0,5747,52,0.000481321052816969,0.000462829513569352,0.000500551388994603,9321023
"59",NA,52,0,5799,52,0.000478629570777775,0.000460238724748223,0.000497755303290137,9321023
"60",NA,50,0,5849,52,0.000475971223829027,0.0004576799414533,0.000494993521441923,9321023
"61",NA,51,0,5900,52,0.000473595628027265,0.000455393212372257,0.000492525608184062,9321023
"62",NA,54,0,5954,52,0.000471653724345819,0.00045352362730163,0.000490508591609341,9321023
"63",NA,51,0,6005,52,0.000469649483488082,0.000451594213593708,0.000488426624392195,9321023
"64",NA,53,0,6058,52,0.000467957491314428,0.000449965181908244,0.000486669241270202,9321023
"65",NA,50,0,6108,52,0.00046617482660462,0.000448249029653896,0.000484817488902641,9321023
"66",NA,51,0,6159,52,0.000464597612638557,0.000446730551808153,0.000483179269462957,9321023
"67",NA,54,1,6213,53,0.000472274396864624,0.000454433276881259,0.000490815961948412,9321023
"68",NA,49,0,6262,53,0.000470742226930663,0.000452957194987205,0.00048922557510517,9321023
"69",NA,53,0,6315,53,0.00046960490693872,0.000451861094181959,0.000488045488891149,9321023
"70",NA,49,1,6364,54,0.000477092576362264,0.000459378625735657,0.000495489588910396,9321023
"71",NA,46,0,6410,54,0.000475580906259752,0.000457921439418239,0.000493921399893814,9321023
"72",NA,47,1,6457,55,0.00048301559787137,0.000465385449959952,0.000501313626816468,9321023
