"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"29796","2020/03/22",1,0,1,0,1,1,0,NA,NA,NA,7.73323434793368e-07,7.73323434793368e-07,0,1293120
"29795","2020/03/23",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29794","2020/03/24",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29793","2020/03/25",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29792","2020/03/26",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29791","2020/03/27",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29790","2020/03/28",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29789","2020/03/29",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29788","2020/03/30",0,0,1,0,0,1,0,0,NA,NA,0,7.73323434793368e-07,0,1293120
"29787","2020/03/31",0,0,1,0,0,1,0,0,0,NA,0,7.73323434793368e-07,0,1293120
"29786","2020/04/01",0,0,1,0,0,1,0,0,0,NA,0,7.73323434793368e-07,0,1293120
"29785","2020/04/02",0,0,1,0,0,1,0,0,0,NA,0,7.73323434793368e-07,0,1293120
"29784","2020/04/03",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29783","2020/04/04",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29782","2020/04/05",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29781","2020/04/06",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29780","2020/04/07",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29779","2020/04/08",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
"29778","2020/04/09",0,0,1,0,0,0,0,0,0,NA,0,0,0,1293120
