"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"27641","2020/03/03",1,0,1,0,NA,NA,NA,8.55086666881578e-08,0,11694721
"27640","2020/03/10",1,0,2,0,0,NA,NA,1.71017333376316e-07,0,11694721
"27639","2020/03/11",3,0,5,0,0,NA,NA,4.27543333440789e-07,0,11694721
"27638","2020/03/12",2,0,7,0,0,NA,NA,5.98560666817105e-07,0,11694721
"27637","2020/03/13",6,0,13,0,0,0,NA,1.11161266694605e-06,0,11694721
"27636","2020/03/14",3,0,16,0,0,0,NA,1.36813866701053e-06,0,11694721
"27635","2020/03/15",0,0,16,0,0,0,NA,1.36813866701053e-06,0,11694721
"27634","2020/03/16",2,0,18,0,0,0,NA,1.53915600038684e-06,0,11694721
"27633","2020/03/17",2,0,20,0,0,0,NA,1.71017333376316e-06,0,11694721
"27632","2020/03/18",4,0,24,0,0,0,NA,2.05220800051579e-06,0,11694721
"27631","2020/03/19",5,0,29,0,0,0,NA,2.47975133395658e-06,0,11694721
"27630","2020/03/20",10,0,39,0,0,0,NA,3.33483800083816e-06,0,11694721
"27629","2020/03/21",15,1,54,1,3.35016502332953e-05,5.72994083287224e-06,0.000195876467330196,1.25553432878431e-05,8.02338395337077e-06,11694721
"27628","2020/03/22",6,0,60,1,3.00184712349613e-05,4.96918945789703e-06,0.000181339154588312,1.54716817446511e-05,1.0512179076738e-05,11694721
"27627","2020/03/23",15,2,75,3,9.00734969624023e-05,5.33071148870413e-05,0.000152197973426774,3.32298551370671e-05,2.72442484688961e-05,11694721
"27626","2020/03/24",14,0,89,3,8.59901369256217e-05,4.95096534957833e-05,0.000149350745286814,4.65853761964852e-05,3.95736655280563e-05,11694721
"27625","2020/03/25",25,0,114,3,8.91000627415325e-05,5.02094812551529e-05,0.000158113985288989,6.56118116396748e-05,5.69754363041708e-05,11694721
"27624","2020/03/26",59,2,173,5,0.00018281885171518,0.000131919580020375,0.000253356874978639,0.000127703911369065,0.000114279050699024,11694721
"27623","2020/03/27",0,0,173,5,0.000146061795766762,0.000103867211447674,0.000205397332664109,0.000127703911369065,0.000114279050699024,11694721
