"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"28705","2020/03/04",1,0,1,0,NA,NA,NA,2.27305567761233e-08,0,43993643
"28704","2020/03/13",2,0,3,0,0,NA,NA,6.81916703283699e-08,0,43993643
"28703","2020/03/16",0,0,3,0,0,NA,NA,6.81916703283699e-08,0,43993643
"28702","2020/03/17",2,0,5,0,0,NA,NA,1.13652783880617e-07,0,43993643
"28701","2020/03/18",9,0,14,0,0,NA,NA,3.18227794865726e-07,0,43993643
"28700","2020/03/19",5,2,19,2,0,NA,NA,4.31880578746343e-07,0,43993643
"28699","2020/03/20",7,0,26,2,0,NA,NA,5.90994476179206e-07,0,43993643
"28698","2020/03/21",0,1,26,3,4.15540158336809e-05,4.14755739223137e-05,4.16326061006434e-05,5.90994476179206e-07,0,43993643
"28697","2020/03/22",15,0,41,3,4.26481699263106e-05,3.27781304054859e-05,5.54902422915205e-05,1.61939834736099e-05,1.52620306457889e-05,43993643
"28696","2020/03/23",6,0,47,3,3.42283448298719e-05,2.35195330655302e-05,4.98130463104162e-05,2.05635594093383e-05,1.94952232408605e-05,43993643
"28695","2020/03/24",26,0,73,3,3.84691935771238e-05,2.48389430320386e-05,5.95789785646432e-05,3.42649160258481e-05,3.26055853811911e-05,43993643
"28694","2020/03/25",11,0,84,3,3.25466630230355e-05,1.96528280455051e-05,5.38998902082848e-05,3.85269790407694e-05,3.66176122715751e-05,43993643
"28693","2020/03/26",29,1,113,4,4.32485838315e-05,2.96769043866211e-05,6.30267894205811e-05,4.96034425646437e-05,4.70576202057179e-05,43993643
"28692","2020/03/27",43,1,156,5,5.61780378134689e-05,4.1258361369185e-05,7.64929053854444e-05,6.50429534124964e-05,6.15651782257495e-05,43993643
"28691","2020/03/28",62,0,218,5,5.92377492833196e-05,4.26489577060474e-05,8.2278937842738e-05,8.18903866949084e-05,7.70033169880419e-05,43993643
"28690","2020/03/29",93,3,311,8,0.000101269075830257,8.30872780440058e-05,0.000123429554571311,0.000112127961119021,0.000105172410745528,43993643
"28689","2020/03/30",107,1,418,9,0.000113232267455531,9.41990659296307e-05,0.00013611118397606,0.000140908679451916,0.000131725534514362,43993643
"28688","2020/03/31",62,2,480,11,0.000116473162022122,9.98553760044717e-05,0.000135856455748801,0.00015583947676256,0.000145360690088767,43993643
"28687","2020/04/01",69,2,549,13,0.000116792579144287,0.00010222198274436,0.000133440050534797,0.000170359211610037,0.000158471130416125,43993643
"28686","2020/04/02",245,7,794,20,0.000198678591265735,0.000182481243263629,0.000216313643645613,0.000231664318486744,0.000214207250882681,43993643
"28685","2020/04/03",10,0,804,20,0.000156206322514053,0.000142996139287028,0.000170636880932755,0.000218004194197199,0.000200660779377017,43993643
"28684","2020/04/04",183,3,987,23,0.000173352346692229,0.000160339493007423,0.000187421299269742,0.000245775934821428,0.000224409211451873,43993643
"28683","2020/04/05",109,5,1096,28,0.000188489394593132,0.000176702173992171,0.000201062901895365,0.000250820330039455,0.00022756697045748,43993643
"28682","2020/04/06",155,4,1251,32,0.000201225038104146,0.000190044829792472,0.000213062970480342,0.000271490226182121,0.000244963666424385,43993643
