"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1","2019/12/31",0,0,0,0,NA,NA,NA,0,0,329064917
"2","2020/01/01",0,0,0,0,NA,NA,NA,0,0,329064917
"3","2020/01/02",0,0,0,0,NA,NA,NA,0,0,329064917
"4","2020/01/03",0,0,0,0,NA,NA,NA,0,0,329064917
"5","2020/01/04",0,0,0,0,NA,NA,NA,0,0,329064917
"6","2020/01/05",0,0,0,0,NA,NA,NA,0,0,329064917
"7","2020/01/06",0,0,0,0,NA,NA,NA,0,0,329064917
"8","2020/01/07",0,0,0,0,NA,NA,NA,0,0,329064917
"9","2020/01/08",0,0,0,0,NA,NA,NA,0,0,329064917
"10","2020/01/09",0,0,0,0,NA,NA,NA,0,0,329064917
"11","2020/01/10",0,0,0,0,NA,NA,NA,0,0,329064917
"12","2020/01/11",0,0,0,0,NA,NA,NA,0,0,329064917
"13","2020/01/12",0,0,0,0,NA,NA,NA,0,0,329064917
"14","2020/01/13",0,0,0,0,NA,NA,NA,0,0,329064917
"15","2020/01/14",0,0,0,0,NA,NA,NA,0,0,329064917
"16","2020/01/15",0,0,0,0,NA,NA,NA,0,0,329064917
"17","2020/01/16",0,0,0,0,NA,NA,NA,0,0,329064917
"18","2020/01/17",0,0,0,0,NA,NA,NA,0,0,329064917
"19","2020/01/18",0,0,0,0,NA,NA,NA,0,0,329064917
"20","2020/01/19",0,0,0,0,NA,NA,NA,0,0,329064917
"21","2020/01/20",0,0,0,0,NA,NA,NA,0,0,329064917
"22","2020/01/21",1,0,1,0,NA,NA,NA,3.03891405111411e-09,0,329064917
"23","2020/01/22",0,0,1,0,0,NA,NA,3.03891405111411e-09,0,329064917
"24","2020/01/23",0,0,1,0,0,NA,NA,3.03891405111411e-09,0,329064917
"25","2020/01/24",0,0,1,0,0,NA,NA,3.03891405111411e-09,0,329064917
"26","2020/01/25",1,0,2,0,0,NA,NA,6.07782810222823e-09,0,329064917
"27","2020/01/26",0,0,2,0,0,NA,NA,6.07782810222823e-09,0,329064917
"28","2020/01/27",3,0,5,0,0,NA,NA,1.51945702555706e-08,0,329064917
"29","2020/01/28",0,0,5,0,0,0,NA,1.51945702555706e-08,0,329064917
"30","2020/01/29",0,0,5,0,0,0,NA,1.51945702555706e-08,0,329064917
"31","2020/01/30",0,0,5,0,0,0,NA,1.51945702555706e-08,0,329064917
"32","2020/01/31",1,0,6,0,0,0,NA,1.82334843066847e-08,0,329064917
"33","2020/02/01",1,0,7,0,0,0,NA,2.12723983577988e-08,0,329064917
"34","2020/02/02",1,0,8,0,0,0,NA,2.12723983577988e-08,0,329064917
"35","2020/02/03",3,0,11,0,0,0,NA,3.03891405111412e-08,0,329064917
"36","2020/02/04",0,0,11,0,0,0,NA,3.03891405111412e-08,0,329064917
"37","2020/02/05",0,0,11,0,0,0,NA,3.03891405111412e-08,0,329064917
"38","2020/02/06",1,0,12,0,0,0,NA,3.03891405111412e-08,0,329064917
"39","2020/02/07",0,0,12,0,0,0,NA,3.03891405111412e-08,0,329064917
"40","2020/02/08",0,0,12,0,0,0,NA,2.12723983577988e-08,0,329064917
"41","2020/02/09",0,0,12,0,0,0,NA,2.12723983577988e-08,0,329064917
"42","2020/02/10",0,0,12,0,0,0,NA,2.12723983577988e-08,0,329064917
"43","2020/02/11",1,0,13,0,0,0,NA,2.43113124089129e-08,0,329064917
"44","2020/02/12",0,0,13,0,0,0,NA,2.12723983577988e-08,0,329064917
"45","2020/02/13",1,0,14,0,0,0,NA,2.12723983577988e-08,0,329064917
"46","2020/02/14",1,0,15,0,0,0,NA,2.12723983577988e-08,0,329064917
"47","2020/02/15",0,0,15,0,0,0,NA,1.21556562044565e-08,0,329064917
"48","2020/02/16",0,0,15,0,0,0,NA,1.21556562044565e-08,0,329064917
"49","2020/02/17",0,0,15,0,0,0,NA,1.21556562044565e-08,0,329064917
"50","2020/02/18",0,0,15,0,0,0,NA,9.11674215334235e-09,0,329064917
"51","2020/02/19",0,0,15,0,0,0,NA,9.11674215334235e-09,0,329064917
"52","2020/02/20",0,0,15,0,0,0,NA,9.11674215334235e-09,0,329064917
"53","2020/02/21",1,0,16,0,0,0,NA,1.21556562044565e-08,0,329064917
"54","2020/02/22",19,0,35,0,0,0,NA,6.98950231756246e-08,0,329064917
"55","2020/02/23",0,0,35,0,0,0,NA,6.68561091245105e-08,0,329064917
"56","2020/02/24",0,0,35,0,0,0,NA,6.68561091245105e-08,0,329064917
"57","2020/02/25",18,0,53,0,0,0,NA,1.1851764799345e-07,0,329064917
"58","2020/02/26",0,0,53,0,0,0,NA,1.15478733942336e-07,0,329064917
"59","2020/02/27",6,0,59,0,0,0,NA,1.33712218249021e-07,0,329064917
"60","2020/02/28",1,0,60,0,0,0,NA,1.36751132300135e-07,0,329064917
"61","2020/02/29",6,0,66,0,0,0,NA,1.5498461660682e-07,0,329064917
"62","2020/03/01",3,1,69,1,5.28019635857648e-07,7.94263506645059e-08,3.51022970989697e-06,1.77941992078892e-07,1.38406333187293e-08,329064917
"63","2020/03/02",20,1,89,2,1.22366878465475e-06,4.87343557961147e-07,3.07250454033458e-06,4.5292374143951e-07,2.28044101657065e-07,329064917
"64","2020/03/03",14,4,103,6,3.82308224156357e-06,2.90648733617739e-06,5.02873611174291e-06,9.72565987865625e-07,7.05141551367583e-07,329064917
"65","2020/03/04",22,3,125,9,6.21311233051895e-06,5.23828774947113e-06,7.36934790104726e-06,2.06303484398585e-06,1.73179321241441e-06,329064917
"66","2020/03/05",34,2,159,11,8.54035746696605e-06,7.45054443888048e-06,9.78958064902467e-06,3.83153543850427e-06,3.45471009616612e-06,329064917
"67","2020/03/06",74,1,233,12,1.19080305866271e-05,1.04822410071807e-05,1.35277554060155e-05,7.61348506687511e-06,7.01178008475451e-06,329064917
"68","2020/03/07",105,2,338,14,1.71376285432689e-05,1.53561830825867e-05,1.91257365523408e-05,1.29373045847545e-05,1.20165136272669e-05,329064917
"69","2020/03/08",95,3,433,17,2.17964619825984e-05,1.99065841256988e-05,2.38657597887695e-05,1.76647378231667e-05,1.65099504837433e-05,329064917
"70","2020/03/09",121,4,554,21,2.72505888831832e-05,2.52974441343631e-05,2.93545304630815e-05,2.36165812435009e-05,2.20940853038927e-05,329064917
"71","2020/03/10",200,5,754,26,3.57938564504332e-05,3.36731407564462e-05,3.80481336404283e-05,3.30927393906089e-05,3.09806941250845e-05,329064917
"72","2020/03/11",271,2,1025,28,4.04933729621926e-05,3.81609575476658e-05,4.29683466880282e-05,4.37957532304643e-05,4.08632011711391e-05,329064917
"73","2020/03/12",287,2,1312,30,4.24595904383823e-05,4.0082419700332e-05,4.4977744199915e-05,5.30655551545537e-05,4.92790682468655e-05,329064917
"74","2020/03/13",351,10,1663,40,5.45591471030393e-05,5.22327305530838e-05,5.69891809425103e-05,6.45580882379913e-05,5.97140592405154e-05,329064917
"75","2020/03/14",511,7,2174,47,6.39178387908643e-05,6.15330882463467e-05,6.63950117266783e-05,7.93070327177621e-05,7.29708969211892e-05,329064917
"76","2020/03/15",777,10,2951,57,8.06189041404589e-05,7.80795250169595e-05,8.32408714499324e-05,0.000100014394374127,9.13595671565541e-05,329064917
"77","2020/03/16",823,12,3774,69,9.55087728466717e-05,9.29618767425521e-05,9.81254467994371e-05,0.000119748581371526,0.000108659583999011,329064917
"78","2020/03/17",887,16,4661,85,0.000110958655783353,0.000108494880025728,0.000113478380641825,0.000139038052133022,0.000125356861074906,329064917
"79","2020/03/18",1766,23,6427,108,0.000149226415051495,0.000146546258682543,0.000151955588285338,0.000176260280033971,0.00015743724640137,329064917
"80","2020/03/19",2988,42,9415,150,0.000233624571179036,0.000230495617010327,0.000236796000577066,0.000245080934088366,0.000217496711246403,329064917
"81","2020/03/20",4835,0,14250,150,0.00026852209208523,0.000264831854516227,0.000272263750407,0.000331407875150163,0.000289419199705919,329064917
"82","2020/03/21",5374,110,19624,260,0.00047392147030647,0.000469862610507054,0.000478015392148498,0.000455238643910167,0.000397286552955421,329064917
"83","2020/03/22",7123,80,26747,340,0.000611039792937044,0.000606743415980888,0.000615366592728395,0.000608470406430268,0.000529479913499658,329064917
