"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"2",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"3",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"4",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"5",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"6",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"7",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"8",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"9",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"10",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"11",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"12",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"13",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"14",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"15",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"16",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"17",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"18",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"19",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"20",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"21",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"22",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"23",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"24",NA,0,0,0,0,NA,NA,NA,0,0,96462108
"25",NA,2,0,2,0,NA,NA,NA,2.07335298954902e-08,0,96462108
"26",NA,0,0,2,0,0,NA,NA,2.07335298954902e-08,0,96462108
"27",NA,0,0,2,0,0,NA,NA,2.07335298954902e-08,0,96462108
"28",NA,0,0,2,0,0,NA,NA,2.07335298954902e-08,0,96462108
"29",NA,0,0,2,0,0,NA,NA,2.07335298954902e-08,0,96462108
"30",NA,0,0,2,0,0,0,NA,2.07335298954902e-08,0,96462108
"31",NA,0,0,2,0,0,0,NA,2.07335298954902e-08,0,96462108
"32",NA,3,0,5,0,0,0,NA,5.18338247387254e-08,0,96462108
"33",NA,0,0,5,0,0,0,NA,5.18338247387254e-08,0,96462108
"34",NA,2,0,7,0,0,0,NA,7.25673546342155e-08,0,96462108
"35",NA,1,0,8,0,0,0,NA,8.29341195819606e-08,0,96462108
"36",NA,1,0,9,0,0,0,NA,9.33008845297057e-08,0,96462108
"37",NA,1,0,10,0,0,0,NA,8.29341195819606e-08,0,96462108
"38",NA,0,0,10,0,0,0,NA,8.29341195819606e-08,0,96462108
"39",NA,2,0,12,0,0,0,NA,1.03667649477451e-07,0,96462108
"40",NA,1,0,13,0,0,0,NA,1.14034414425196e-07,0,96462108
"41",NA,1,0,14,0,0,0,NA,1.24401179372941e-07,0,96462108
"42",NA,0,0,14,0,0,0,NA,1.24401179372941e-07,0,96462108
"43",NA,1,0,15,0,0,0,NA,1.34767944320686e-07,0,96462108
"44",NA,0,0,15,0,0,0,NA,1.03667649477451e-07,0,96462108
"45",NA,1,0,16,0,0,0,NA,1.14034414425196e-07,0,96462108
"46",NA,0,0,16,0,0,0,NA,9.33008845297057e-08,0,96462108
"47",NA,0,0,16,0,0,0,NA,8.29341195819606e-08,0,96462108
"48",NA,0,0,16,0,0,0,NA,7.25673546342155e-08,0,96462108
"49",NA,0,0,16,0,0,0,NA,6.22005896864705e-08,0,96462108
"50",NA,0,0,16,0,0,0,NA,6.22005896864705e-08,0,96462108
"51",NA,0,0,16,0,0,0,NA,4.14670597909803e-08,0,96462108
"52",NA,0,0,16,0,0,0,NA,3.11002948432352e-08,0,96462108
"53",NA,0,0,16,0,0,0,NA,2.07335298954902e-08,0,96462108
"54",NA,0,0,16,0,0,0,NA,2.07335298954902e-08,0,96462108
"55",NA,0,0,16,0,0,0,NA,1.03667649477451e-08,0,96462108
"56",NA,0,0,16,0,0,0,NA,1.03667649477451e-08,0,96462108
"57",NA,0,0,16,0,0,0,NA,0,0,96462108
"58",NA,0,0,16,0,0,0,NA,0,0,96462108
"59",NA,0,0,16,0,0,0,NA,0,0,96462108
"60",NA,0,0,16,0,0,0,NA,0,0,96462108
"61",NA,0,0,16,0,0,0,NA,0,0,96462108
"62",NA,0,0,16,0,0,0,NA,0,0,96462108
"63",NA,0,0,16,0,0,0,NA,0,0,96462108
"64",NA,1,0,17,0,0,0,NA,1.03667649477451e-08,0,96462108
"65",NA,4,0,21,0,0,0,NA,5.18338247387254e-08,0,96462108
"66",NA,9,0,30,0,0,0,NA,1.45134709268431e-07,0,96462108
"67",NA,4,0,34,0,0,0,NA,1.86601769059411e-07,0,96462108
"68",NA,4,0,38,0,0,0,NA,2.28068828850392e-07,0,96462108
"69",NA,1,0,39,0,0,0,NA,2.38435593798137e-07,0,96462108
"70",NA,5,0,44,0,0,0,NA,2.90269418536862e-07,0,96462108
"71",NA,9,0,53,0,0,0,NA,3.83570303066568e-07,0,96462108
"72",NA,0,0,53,0,0,0,NA,3.83570303066568e-07,0,96462108
"73",NA,4,0,57,0,0,0,NA,4.25037362857548e-07,0,96462108
"74",NA,4,0,61,0,0,0,NA,4.66504422648529e-07,0,96462108
"75",NA,7,0,68,0,0,0,NA,5.39071777282744e-07,0,96462108
"76",NA,8,0,76,0,0,0,NA,6.1163913191696e-07,0,96462108
"77",NA,11,0,87,0,0,0,NA,6.84206486551175e-07,0,96462108
"78",NA,1,0,88,0,0,0,NA,6.01272366969214e-07,0,96462108
"79",NA,7,0,95,0,0,0,NA,6.3237266181245e-07,0,96462108
"80",NA,26,0,121,0,0,0,NA,8.60441490662841e-07,0,96462108
"81",NA,11,0,132,0,0,0,NA,9.64109140140292e-07,0,96462108
"82",NA,5,0,137,0,0,0,NA,9.64109140140292e-07,0,96462108
"83",NA,16,0,153,0,0,0,NA,1.03667649477451e-06,0,96462108
"84",NA,10,0,163,0,0,0,NA,1.14034414425196e-06,0,96462108
"85",NA,8,0,171,0,0,0,NA,1.18181120404294e-06,0,96462108
"86",NA,17,0,188,0,0,0,NA,1.31657914836362e-06,0,96462108
"87",NA,15,0,203,0,0,0,NA,1.39951326794559e-06,0,96462108
"88",NA,3,0,206,0,0,0,NA,1.34767944320686e-06,0,96462108
"89",NA,6,0,212,0,0,0,NA,1.29584561846813e-06,0,96462108
"90",NA,21,0,233,0,0,0,NA,1.50318091742304e-06,0,96462108
"91",NA,3,0,236,0,0,0,NA,1.46171385763206e-06,0,96462108
"92",NA,4,0,240,0,0,0,NA,1.23364502878166e-06,0,96462108
"93",NA,1,0,241,0,0,0,NA,1.12997737930421e-06,0,96462108
"94",NA,4,0,245,0,0,0,NA,1.11961061435647e-06,0,96462108
"95",NA,6,0,251,0,0,0,NA,1.01594296487902e-06,0,96462108
"96",NA,0,0,251,0,0,0,NA,9.12275315401567e-07,0,96462108
