"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"34754","2020/04/10",1,0,1,0,1,1,0,NA,NA,NA,3.42912925972438e-08,3.42912925972438e-08,0,29161922
"34753","2020/04/11",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34752","2020/04/12",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34751","2020/04/13",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34750","2020/04/14",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34749","2020/04/15",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34748","2020/04/16",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34747","2020/04/17",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34746","2020/04/18",0,0,1,0,0,1,0,0,NA,NA,0,3.42912925972438e-08,0,29161922
"34745","2020/04/19",0,0,1,0,0,1,0,0,0,NA,0,3.42912925972438e-08,0,29161922
"34744","2020/04/20",0,0,1,0,0,1,0,0,0,NA,0,3.42912925972438e-08,0,29161922
"34743","2020/04/21",0,0,1,0,0,1,0,0,0,NA,0,3.42912925972438e-08,0,29161922
"34742","2020/04/22",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34741","2020/04/23",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34740","2020/04/24",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34739","2020/04/25",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34738","2020/04/26",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34737","2020/04/27",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34736","2020/04/28",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34735","2020/04/29",0,0,1,0,0,0,0,0,0,NA,0,0,0,29161922
"34734","2020/04/30",5,0,6,0,5,5,0,0,0,NA,1.71456462986219e-07,1.71456462986219e-07,0,29161922
"34733","2020/05/01",0,2,6,2,0,5,0,0,NA,NA,0,1.71456462986219e-07,0,29161922
"34732","2020/05/02",1,0,7,2,1,6,0,0,NA,NA,3.42912925972438e-08,2.05747755583463e-07,0,29161922
"34731","2020/05/03",3,0,10,2,3,9,0,0,NA,NA,1.02873877791731e-07,3.08621633375194e-07,0,29161922
"34730","2020/05/04",0,0,10,2,0,9,0,2.48150702736491e-05,2.4768226629204e-05,2.48620025125283e-05,0,3.08621633375194e-07,0,29161922
"34729","2020/05/05",2,0,12,2,112.021418303118,121.021418303118,110.021418303118,2.30481553931428e-05,1.6593807436255e-05,3.20129945503543e-05,0.000215157254700878,4.14998086556567e-06,3.77277664699599e-06,29161922
"34728","2020/05/06",9,1,21,3,602.338557100985,723.359975404103,703.359975404103,4.81949246430201e-05,4.81039466248587e-05,4.82860747260612e-05,0.00138236482709845,2.48049485697172e-05,2.41191227177723e-05,29161922
"34727","2020/05/07",4,2,25,5,4,727.359975404103,703.359975404103,0,NA,NA,1.37165170388975e-07,2.49421137401061e-05,2.41191227177723e-05,29161922
"34726","2020/05/08",1,1,26,6,1,728.359975404103,703.359975404103,0,NA,NA,3.42912925972438e-08,2.49764050327034e-05,2.41191227177723e-05,29161922
"34725","2020/05/09",8,1,34,7,8,736.359975404103,703.359975404103,0,NA,NA,2.7433034077795e-07,2.52507353734813e-05,2.41191227177723e-05,29161922
"34724","2020/05/10",0,0,34,7,0,736.359975404103,703.359975404103,6.92251104100949e-05,6.49262459706882e-05,7.38086091324808e-05,0,2.52507353734813e-05,2.41191227177723e-05,29161922
