"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2020/03/03",1,0,1,0,1.31273218950602e-05,1.31273218950602e-05,76177
"2","2020/03/14",1,0,2,0,2.62546437901204e-05,1.31273218950602e-05,76177
"3","2020/03/16",3,0,5,0,6.56366094753009e-05,3.93819656851806e-05,76177
"4","2020/03/17",9,0,14,0,0.000183782506530843,0.000118145897055542,76177
"5","2020/03/18",0,0,14,0,0.000183782506530843,0,76177
"6","2020/03/19",39,0,53,0,0.00069574806043819,0.000511965553907347,76177
"7","2020/03/20",22,0,75,0,0.000984549142129514,0.000288801081691324,76177
"8","2020/03/21",0,0,75,0,0.000984549142129514,0,76177
"9","2020/03/22",13,0,88,0,0.0011552043267653,0.000170655184635782,76177
"10","2020/03/23",25,0,113,0,0.0014833873741418,0.000328183047376505,76177
"11","2020/03/24",20,0,133,0,0.00174593381204301,0.000262546437901204,76177
"12","2020/03/25",31,0,164,0,0.00215288079078987,0.000406946978746866,76177
"13","2020/03/26",24,0,188,0,0.00246793651627132,0.000315055725481445,76177
"14","2020/03/27",36,3,224,3,0.00294052010449348,0.000472583588222167,76177
"15","2020/03/28",43,0,267,3,0.00350499494598107,0.000564474841487588,76177
"16","2020/03/29",41,1,308,4,0.00404321514367854,0.000538220197697468,76177
"17","2020/03/30",26,2,334,6,0.0043845255129501,0.000341310369271565,76177
"18","2020/03/31",36,2,370,8,0.00485710910117227,0.000472583588222167,76177
"19","2020/04/01",6,4,376,12,0.00493587303254263,7.87639313703611e-05,76177
"20","2020/04/02",14,2,390,14,0.00511965553907347,0.000183782506530843,76177
"21","2020/04/03",38,1,428,15,0.00561849377108576,0.000498838232012287,76177
"22","2020/04/04",11,1,439,16,0.00576289431193142,0.000144400540845662,76177
"23","2020/04/05",27,1,466,17,0.00611733200309805,0.000354437691166625,76177
"24","2020/04/06",35,1,501,18,0.00657678826942516,0.000459456266327107,76177
"25","2020/04/07",25,3,526,21,0.00690497131680166,0.000328183047376505,76177
"26","2020/04/08",19,1,545,22,0.0071543904328078,0.000249419116006144,76177
"27","2020/04/09",19,1,564,23,0.00740380954881395,0.000249419116006144,76177
"28","2020/04/10",19,2,583,25,0.00765322866482009,0.000249419116006144,76177
"29","2020/04/11",18,1,601,26,0.00788952045893117,0.000236291794111083,76177
"30","2020/04/12",21,2,622,28,0.00816519421872744,0.000275673759796264,76177
"31","2020/04/13",16,1,638,29,0.0083752313690484,0.000210037150320963,76177
"32","2020/04/14",8,0,646,29,0.00848024994420888,0.000105018575160482,76177
"33","2020/04/15",13,2,659,31,0.00865090512884466,0.000170655184635782,76177
"34","2020/04/16",14,2,673,33,0.00883468763537551,0.000183782506530843,76177
"35","2020/04/17",9,0,682,33,0.00895283353243105,0.000118145897055542,76177
"36","2020/04/18",14,2,696,35,0.00913661603896189,0.000183782506530843,76177
"37","2020/04/19",8,0,704,35,0.00924163461412237,0.000105018575160482,76177
"38","2020/04/20",9,1,713,36,0.00935978051117791,0.000118145897055542,76177
"39","2020/04/21",4,0,717,36,0.00941228979875816,5.25092875802408e-05,76177
"40","2020/04/22",0,1,717,37,0.00941228979875816,0,76177
"41","2020/04/23",6,0,723,37,0.00949105373012852,7.87639313703611e-05,76177
"42","2020/04/24",1,0,724,37,0.00950418105202358,1.31273218950602e-05,76177
"43","2020/04/25",7,3,731,40,0.009596072305289,9.18912532654213e-05,76177
"44","2020/04/26",2,0,733,40,0.00962232694907912,2.62546437901204e-05,76177
"45","2020/04/27",7,0,740,40,0.00971421820234454,9.18912532654213e-05,76177
"46","2020/04/28",3,0,743,40,0.00975360016802972,3.93819656851806e-05,76177
"47","2020/04/29",0,1,743,41,0.00975360016802972,0,76177
"48","2020/04/30",0,1,743,42,0.00975360016802972,0,76177
"49","2020/05/01",2,0,745,42,0.00977985481181984,2.62546437901204e-05,76177
"50","2020/05/02",1,1,746,43,0.0097929821337149,1.31273218950602e-05,76177
"51","2020/05/03",1,1,747,44,0.00980610945560996,1.31273218950602e-05,76177
"52","2020/05/04",1,1,748,45,0.00981923677750502,1.31273218950602e-05,76177
"53","2020/05/05",2,0,750,45,0.00984549142129514,2.62546437901204e-05,76177
"54","2020/05/06",1,1,751,46,0.0098586187431902,1.31273218950602e-05,76177
"55","2020/05/07",0,0,751,46,0.0098586187431902,0,76177
"56","2020/05/08",1,1,752,47,0.00987174606508526,1.31273218950602e-05,76177
"57","2020/05/09",0,0,752,47,0.00987174606508526,0,76177
"58","2020/05/10",2,1,754,48,0.00989800070887538,2.62546437901204e-05,76177
"59","2020/05/11",1,0,755,48,0.00991112803077044,1.31273218950602e-05,76177
"60","2020/05/12",1,0,756,48,0.0099242553526655,1.31273218950602e-05,76177
"61","2020/05/13",2,0,758,48,0.00995050999645562,2.62546437901204e-05,76177
"62","2020/05/14",2,1,760,49,0.00997676464024574,2.62546437901204e-05,76177
"63","2020/05/15",1,0,761,49,0.0099898919621408,1.31273218950602e-05,76177
"64","2020/05/16",0,0,761,49,0.0099898919621408,0,76177
"65","2020/05/17",0,2,761,51,0.0099898919621408,0,76177
"66","2020/05/18",0,0,761,51,0.0099898919621408,0,76177
"67","2020/05/19",0,0,761,51,0.0099898919621408,0,76177
"68","2020/05/20",0,0,761,51,0.0099898919621408,0,76177
"69","2020/05/21",1,0,762,51,0.0100030192840359,1.31273218950602e-05,76177
"70","2020/05/22",0,0,762,51,0.0100030192840359,0,76177
"71","2020/05/23",0,0,762,51,0.0100030192840359,0,76177
"72","2020/05/24",0,0,762,51,0.0100030192840359,0,76177
"73","2020/05/25",1,0,763,51,0.0100161466059309,1.31273218950602e-05,76177
"74","2020/05/26",0,0,763,51,0.0100161466059309,0,76177
"75","2020/05/27",0,0,763,51,0.0100161466059309,0,76177
"76","2020/05/28",0,0,763,51,0.0100161466059309,0,76177
"77","2020/05/29",0,0,763,51,0.0100161466059309,0,76177
"78","2020/05/30",1,0,764,51,0.010029273927826,1.31273218950602e-05,76177
"79","2020/05/31",0,0,764,51,0.010029273927826,0,76177
"80","2020/06/01",0,0,764,51,0.010029273927826,0,76177
"81","2020/06/02",1,0,765,51,0.010042401249721,1.31273218950602e-05,76177
"82","2020/06/03",79,0,844,51,0.0110794596794308,0.00103705842970975,76177
"83","2020/06/04",7,0,851,51,0.0111713509326962,9.18912532654213e-05,76177
"84","2020/06/05",1,0,852,51,0.0111844782545913,1.31273218950602e-05,76177
"85","2020/06/06",0,0,852,51,0.0111844782545913,0,76177
"86","2020/06/07",0,0,852,51,0.0111844782545913,0,76177
"87","2020/06/08",0,0,852,51,0.0111844782545913,0,76177
"88","2020/06/09",0,0,852,51,0.0111844782545913,0,76177
"89","2020/06/10",0,0,852,51,0.0111844782545913,0,76177
"90","2020/06/11",0,0,852,51,0.0111844782545913,0,76177
"91","2020/06/12",0,0,852,51,0.0111844782545913,0,76177
"92","2020/06/13",1,0,853,51,0.0111976055764863,1.31273218950602e-05,76177
"93","2020/06/14",0,0,853,51,0.0111976055764863,0,76177
"94","2020/06/15",0,0,853,51,0.0111976055764863,0,76177
"95","2020/06/16",0,0,853,51,0.0111976055764863,0,76177
"96","2020/06/17",1,1,854,52,0.0112107328983814,1.31273218950602e-05,76177
"97","2020/06/18",0,0,854,52,0.0112107328983814,0,76177
"98","2020/06/19",1,0,855,52,0.0112238602202765,1.31273218950602e-05,76177
"99","2020/06/20",0,0,855,52,0.0112238602202765,0,76177
"100","2020/06/21",0,0,855,52,0.0112238602202765,0,76177
"101","2020/06/22",0,0,855,52,0.0112238602202765,0,76177
"102","2020/06/23",0,0,855,52,0.0112238602202765,0,76177
"103","2020/06/24",0,0,855,52,0.0112238602202765,0,76177
"104","2020/06/25",0,0,855,52,0.0112238602202765,0,76177
"105","2020/06/26",0,0,855,52,0.0112238602202765,0,76177
"106","2020/06/27",0,0,855,52,0.0112238602202765,0,76177
"107","2020/06/28",0,0,855,52,0.0112238602202765,0,76177
"108","2020/06/29",0,0,855,52,0.0112238602202765,0,76177
"109","2020/06/30",0,0,855,52,0.0112238602202765,0,76177
"110","2020/07/01",0,0,855,52,0.0112238602202765,0,76177
"111","2020/07/02",0,0,855,52,0.0112238602202765,0,76177
