"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/27",2,0,2,0,2,0.000134480903711673,0.000134480903711673,0.000134480903711673,14872
"2","2020/03/28",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"3","2020/03/29",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"4","2020/03/30",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"5","2020/03/31",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"6","2020/04/01",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"7","2020/04/02",0,0,2,0,2,0.000134480903711673,0,0.000134480903711673,14872
"8","2020/04/03",1,0,3,0,3,0.000201721355567509,6.72404518558365e-05,0.000201721355567509,14872
"9","2020/04/04",0,0,3,0,3,0.000201721355567509,0,0.000201721355567509,14872
"10","2020/04/05",0,0,3,0,3,0.000201721355567509,0,0.000201721355567509,14872
"11","2020/04/06",0,0,3,0,3,0.000201721355567509,0,0.000201721355567509,14872
"12","2020/04/07",0,0,3,0,3,0.000201721355567509,0,0.000201721355567509,14872
"13","2020/04/08",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"14","2020/04/09",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"15","2020/04/10",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"16","2020/04/11",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"17","2020/04/12",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"18","2020/04/13",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"19","2020/04/14",0,0,3,0,1,0.000201721355567509,0,6.72404518558365e-05,14872
"20","2020/04/15",0,0,3,0,0,0.000201721355567509,0,0,14872
"21","2020/04/16",0,0,3,0,0,0.000201721355567509,0,0,14872
"22","2020/04/17",0,0,3,0,0,0.000201721355567509,0,0,14872
"23","2020/04/18",0,0,3,0,0,0.000201721355567509,0,0,14872
"24","2020/04/19",0,0,3,0,0,0.000201721355567509,0,0,14872
"25","2020/04/20",0,0,3,0,0,0.000201721355567509,0,0,14872
"26","2020/04/21",0,0,3,0,0,0.000201721355567509,0,0,14872
"27","2020/04/22",0,0,3,0,0,0.000201721355567509,0,0,14872
"28","2020/04/23",0,0,3,0,0,0.000201721355567509,0,0,14872
"29","2020/04/24",0,0,3,0,0,0.000201721355567509,0,0,14872
"30","2020/04/25",0,0,3,0,0,0.000201721355567509,0,0,14872
"31","2020/04/26",0,0,3,0,0,0.000201721355567509,0,0,14872
"32","2020/04/27",0,0,3,0,0,0.000201721355567509,0,0,14872
"33","2020/04/28",0,0,3,0,0,0.000201721355567509,0,0,14872
"34","2020/04/29",0,0,3,0,0,0.000201721355567509,0,0,14872
"35","2020/04/30",0,0,3,0,0,0.000201721355567509,0,0,14872
"36","2020/05/01",0,0,3,0,0,0.000201721355567509,0,0,14872
"37","2020/05/02",0,0,3,0,0,0.000201721355567509,0,0,14872
"38","2020/05/03",0,0,3,0,0,0.000201721355567509,0,0,14872
"39","2020/05/04",0,0,3,0,0,0.000201721355567509,0,0,14872
"40","2020/05/05",0,0,3,0,0,0.000201721355567509,0,0,14872
"41","2020/05/06",0,0,3,0,0,0.000201721355567509,0,0,14872
"42","2020/05/07",0,0,3,0,0,0.000201721355567509,0,0,14872
"43","2020/05/08",0,0,3,0,0,0.000201721355567509,0,0,14872
"44","2020/05/09",0,0,3,0,0,0.000201721355567509,0,0,14872
"45","2020/05/10",0,0,3,0,0,0.000201721355567509,0,0,14872
"46","2020/05/11",0,0,3,0,0,0.000201721355567509,0,0,14872
"47","2020/05/12",0,0,3,0,0,0.000201721355567509,0,0,14872
"48","2020/05/13",0,0,3,0,0,0.000201721355567509,0,0,14872
"49","2020/05/14",0,0,3,0,0,0.000201721355567509,0,0,14872
"50","2020/05/15",0,0,3,0,0,0.000201721355567509,0,0,14872
"51","2020/05/16",0,0,3,0,0,0.000201721355567509,0,0,14872
"52","2020/05/17",0,0,3,0,0,0.000201721355567509,0,0,14872
