"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,2,0,2,0,6.2843085936129e-08,6.2843085936129e-08,31825299
"2",NA,0,0,2,0,6.2843085936129e-08,0,31825299
"3",NA,0,0,2,0,6.2843085936129e-08,0,31825299
"4",NA,0,0,2,0,6.2843085936129e-08,0,31825299
"5",NA,0,0,2,0,6.2843085936129e-08,0,31825299
"6",NA,1,0,3,0,9.42646289041935e-08,3.14215429680645e-08,31825299
"7",NA,1,0,4,0,1.25686171872258e-07,3.14215429680645e-08,31825299
"8",NA,0,0,4,0,1.25686171872258e-07,0,31825299
"9",NA,3,2,7,2,2.19950800776451e-07,9.42646289041935e-08,31825299
"10",NA,0,0,7,2,2.19950800776451e-07,0,31825299
"11",NA,0,0,7,2,2.19950800776451e-07,0,31825299
"12",NA,1,0,8,2,2.51372343744516e-07,3.14215429680645e-08,31825299
"13",NA,0,0,8,2,2.51372343744516e-07,0,31825299
"14",NA,0,0,8,2,2.51372343744516e-07,0,31825299
"15",NA,2,0,10,2,3.14215429680645e-07,6.2843085936129e-08,31825299
"16",NA,4,0,14,2,4.39901601552903e-07,1.25686171872258e-07,31825299
"17",NA,2,0,16,2,5.02744687489032e-07,6.2843085936129e-08,31825299
"18",NA,1,0,17,2,5.34166230457096e-07,3.14215429680645e-08,31825299
"19",NA,2,0,19,2,5.97009316393225e-07,6.2843085936129e-08,31825299
"20",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"21",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"22",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"23",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"24",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"25",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"26",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"27",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"28",NA,0,0,19,2,5.97009316393225e-07,0,31825299
"29",NA,5,0,24,2,7.54117031233548e-07,1.57107714840322e-07,31825299
"30",NA,0,0,24,2,7.54117031233548e-07,0,31825299
"31",NA,0,0,24,2,7.54117031233548e-07,0,31825299
"32",NA,0,0,24,2,7.54117031233548e-07,0,31825299
"33",NA,0,0,24,2,7.54117031233548e-07,0,31825299
"34",NA,1,0,25,2,7.85538574201612e-07,3.14215429680645e-08,31825299
"35",NA,0,0,25,2,7.85538574201612e-07,0,31825299
"36",NA,0,0,25,2,7.85538574201612e-07,0,31825299
"37",NA,1,0,26,2,8.16960117169677e-07,3.14215429680645e-08,31825299
"38",NA,1,0,27,2,8.48381660137741e-07,3.14215429680645e-08,31825299
"39",NA,0,0,27,2,8.48381660137741e-07,0,31825299
"40",NA,0,0,27,2,8.48381660137741e-07,0,31825299
"41",NA,0,0,27,2,8.48381660137741e-07,0,31825299
"42",NA,2,0,29,2,9.1122474607387e-07,6.2843085936129e-08,31825299
"43",NA,6,0,35,2,1.09975400388226e-06,1.88529257808387e-07,31825299
"44",NA,0,0,35,2,1.09975400388226e-06,0,31825299
"45",NA,0,0,35,2,1.09975400388226e-06,0,31825299
"46",NA,1,0,36,2,1.13117554685032e-06,3.14215429680645e-08,31825299
"47",NA,0,0,36,2,1.13117554685032e-06,0,31825299
"48",NA,0,0,36,2,1.13117554685032e-06,0,31825299
"49",NA,7,0,43,2,1.35112634762677e-06,2.19950800776451e-07,31825299
"50",NA,0,0,43,2,1.35112634762677e-06,0,31825299
"51",NA,2,0,45,2,1.4139694335629e-06,6.2843085936129e-08,31825299
"52",NA,0,0,45,2,1.4139694335629e-06,0,31825299
"53",NA,0,0,45,2,1.4139694335629e-06,0,31825299
"54",NA,0,0,45,2,1.4139694335629e-06,0,31825299
"55",NA,3,0,48,2,1.5082340624671e-06,9.42646289041935e-08,31825299
"56",NA,0,0,48,2,1.5082340624671e-06,0,31825299
"57",NA,0,0,48,2,1.5082340624671e-06,0,31825299
"58",NA,0,0,48,2,1.5082340624671e-06,0,31825299
"59",NA,0,0,48,2,1.5082340624671e-06,0,31825299
"60",NA,2,0,50,2,1.57107714840322e-06,6.2843085936129e-08,31825299
"61",NA,2,1,52,3,1.63392023433935e-06,6.2843085936129e-08,31825299
"62",NA,6,0,58,3,1.82244949214774e-06,1.88529257808387e-07,31825299
"63",NA,2,0,60,3,1.88529257808387e-06,6.2843085936129e-08,31825299
"64",NA,0,0,60,3,1.88529257808387e-06,0,31825299
"65",NA,9,1,69,4,2.16808646479645e-06,2.8279388671258e-07,31825299
"66",NA,0,0,69,4,2.16808646479645e-06,0,31825299
"67",NA,2,0,71,4,2.23092955073258e-06,6.2843085936129e-08,31825299
"68",NA,0,0,71,4,2.23092955073258e-06,0,31825299
"69",NA,2,0,73,4,2.29377263666871e-06,6.2843085936129e-08,31825299
"70",NA,4,0,77,4,2.41945880854097e-06,1.25686171872258e-07,31825299
"71",NA,7,0,84,4,2.63940960931742e-06,2.19950800776451e-07,31825299
"72",NA,2,0,86,4,2.70225269525355e-06,6.2843085936129e-08,31825299
"73",NA,0,0,86,4,2.70225269525355e-06,0,31825299
"74",NA,0,0,86,4,2.70225269525355e-06,0,31825299
