"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","p_cases_active","population"
"1",NA,1,0,1,0,2.30789114139064e-06,2.30789114139064e-06,2.30789114139064e-06,433296
"2",NA,10,0,11,0,2.53868025552971e-05,2.30789114139064e-05,2.53868025552971e-05,433296
"3",NA,14,0,25,0,5.76972785347661e-05,3.2310475979469e-05,5.76972785347661e-05,433296
"4",NA,12,0,37,0,8.53919722314538e-05,2.76946936966877e-05,8.53919722314538e-05,433296
"5",NA,3,0,40,0,9.23156456556257e-05,6.92367342417193e-06,9.23156456556257e-05,433296
"6",NA,10,0,50,0,0.000115394557069532,2.30789114139064e-05,0.000115394557069532,433296
"7",NA,4,0,54,0,0.000124626121635095,9.23156456556257e-06,0.000124626121635095,433296
"8",NA,2,0,56,0,0.000129241903917876,4.61578228278129e-06,0.000129241903917876,433296
"9",NA,12,0,68,0,0.000156936597614564,2.76946936966877e-05,0.000156936597614564,433296
"10",NA,5,0,73,0,0.000168476053321517,1.15394557069532e-05,0.000168476053321517,433296
"11",NA,5,0,78,0,0.00018001550902847,1.15394557069532e-05,0.00018001550902847,433296
"12",NA,5,0,83,0,0.000191554964735423,1.15394557069532e-05,0.000191554964735423,433296
"13",NA,5,0,88,0,0.000203094420442377,1.15394557069532e-05,0.000200786529300986,433296
"14",NA,3,0,91,0,0.000210018093866549,6.92367342417193e-06,0.000184631291311251,433296
"15",NA,13,0,104,0,0.000240020678704627,3.00025848380784e-05,0.000182323400169861,433296
"16",NA,3,0,107,0,0.000246944352128799,6.92367342417193e-06,0.000161552379897345,433296
"17",NA,7,0,114,0,0.000263099590118533,1.61552379897345e-05,0.000170783944462908,433296
"18",NA,1,0,115,0,0.000265407481259924,2.30789114139064e-06,0.000150012924190392,433296
"19",NA,5,1,120,1,0.000276946936966877,1.15394557069532e-05,0.000152320815331782,433296
"20",NA,6,0,126,1,0.000290794283815221,1.38473468483439e-05,0.000161552379897345,433296
"21",NA,1,0,127,1,0.000293102174956612,2.30789114139064e-06,0.000136165577342048,433296
"22",NA,2,0,129,1,0.000297717957239393,4.61578228278129e-06,0.000129241903917876,433296
"23",NA,2,0,131,1,0.000302333739522174,4.61578228278129e-06,0.000122318230493704,433296
"24",NA,2,0,133,1,0.000306949521804956,4.61578228278129e-06,0.000115394557069532,433296
"25",NA,0,0,133,1,0.000306949521804956,0,0.000103855101362579,433296
"26",NA,2,0,135,1,0.000311565304087737,4.61578228278129e-06,0.000101547210221188,433296
"27",NA,0,0,135,1,0.000311565304087737,0,7.15446253831099e-05,433296
"28",NA,0,0,135,1,0.000311565304087737,0,6.4620951958938e-05,433296
"29",NA,0,0,135,1,0.000311565304087737,0,4.84657139692035e-05,433296
"30",NA,0,0,135,1,0.000311565304087737,0,4.61578228278129e-05,433296
"31",NA,0,0,135,1,0.000311565304087737,0,3.46183671208596e-05,433296
"32",NA,1,0,136,1,0.000313873195229127,2.30789114139064e-06,2.30789114139064e-05,433296
"33",NA,0,0,136,1,0.000313873195229127,0,2.07710202725158e-05,433296
"34",NA,0,0,136,1,0.000313873195229127,0,1.61552379897345e-05,433296
"35",NA,0,0,136,1,0.000313873195229127,0,1.15394557069532e-05,433296
"36",NA,0,0,136,1,0.000313873195229127,0,6.92367342417193e-06,433296
"37",NA,0,0,136,1,0.000313873195229127,0,6.92367342417193e-06,433296
