"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/04/01",3,0,3,0,3,1.3022512016523e-06,1.3022512016523e-06,1.3022512016523e-06,2303703
"2","2020/04/02",1,1,4,1,4,1.7363349355364e-06,4.34083733884099e-07,1.7363349355364e-06,2303703
"3","2020/04/03",0,0,4,1,4,1.7363349355364e-06,0,1.7363349355364e-06,2303703
"4","2020/04/04",0,0,4,1,4,1.7363349355364e-06,0,1.7363349355364e-06,2303703
"5","2020/04/05",0,0,4,1,4,1.7363349355364e-06,0,1.7363349355364e-06,2303703
"6","2020/04/06",2,0,6,1,6,2.60450240330459e-06,8.68167467768198e-07,2.60450240330459e-06,2303703
"7","2020/04/07",0,0,6,1,6,2.60450240330459e-06,0,2.60450240330459e-06,2303703
"8","2020/04/08",0,0,6,1,6,2.60450240330459e-06,0,2.60450240330459e-06,2303703
"9","2020/04/09",1,0,7,1,7,3.03858613718869e-06,4.34083733884099e-07,3.03858613718869e-06,2303703
"10","2020/04/10",6,0,13,1,13,5.64308854049328e-06,2.60450240330459e-06,5.64308854049328e-06,2303703
"11","2020/04/11",0,0,13,1,13,5.64308854049328e-06,0,5.64308854049328e-06,2303703
"12","2020/04/12",0,0,13,1,13,5.64308854049328e-06,0,5.64308854049328e-06,2303703
"13","2020/04/13",0,0,13,1,10,5.64308854049328e-06,0,4.34083733884099e-06,2303703
"14","2020/04/14",0,0,13,1,9,5.64308854049328e-06,0,3.90675360495689e-06,2303703
"15","2020/04/15",0,0,13,1,9,5.64308854049328e-06,0,3.90675360495689e-06,2303703
"16","2020/04/16",0,0,13,1,9,5.64308854049328e-06,0,3.90675360495689e-06,2303703
"17","2020/04/17",2,0,15,1,11,6.51125600826148e-06,8.68167467768198e-07,4.77492107272509e-06,2303703
"18","2020/04/18",0,0,15,1,9,6.51125600826148e-06,0,3.90675360495689e-06,2303703
"19","2020/04/19",0,0,15,1,9,6.51125600826148e-06,0,3.90675360495689e-06,2303703
"20","2020/04/20",5,0,20,1,14,8.68167467768197e-06,2.17041866942049e-06,6.07717227437738e-06,2303703
"21","2020/04/21",0,0,20,1,13,8.68167467768197e-06,0,5.64308854049328e-06,2303703
"22","2020/04/22",0,0,20,1,7,8.68167467768197e-06,0,3.03858613718869e-06,2303703
"23","2020/04/23",2,0,22,1,9,9.54984214545017e-06,8.68167467768198e-07,3.90675360495689e-06,2303703
"24","2020/04/24",0,0,22,1,9,9.54984214545017e-06,0,3.90675360495689e-06,2303703
"25","2020/04/25",0,0,22,1,9,9.54984214545017e-06,0,3.90675360495689e-06,2303703
"26","2020/04/26",0,0,22,1,9,9.54984214545017e-06,0,3.90675360495689e-06,2303703
"27","2020/04/27",0,0,22,1,9,9.54984214545017e-06,0,3.90675360495689e-06,2303703
"28","2020/04/28",0,0,22,1,9,9.54984214545017e-06,0,3.90675360495689e-06,2303703
"29","2020/04/29",1,0,23,1,8,9.98392587933427e-06,4.34083733884099e-07,3.47266987107279e-06,2303703
"30","2020/04/30",0,0,23,1,8,9.98392587933427e-06,0,3.47266987107279e-06,2303703
"31","2020/05/01",0,0,23,1,8,9.98392587933427e-06,0,3.47266987107279e-06,2303703
"32","2020/05/02",0,0,23,1,3,9.98392587933427e-06,0,1.3022512016523e-06,2303703
