"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,0,0,0,0,0,0,8544527
"2",NA,0,0,0,0,0,0,8544527
"3",NA,0,0,0,0,0,0,8544527
"4",NA,0,0,0,0,0,0,8544527
"5",NA,0,0,0,0,0,0,8544527
"6",NA,0,0,0,0,0,0,8544527
"7",NA,0,0,0,0,0,0,8544527
"8",NA,0,0,0,0,0,0,8544527
"9",NA,0,0,0,0,0,0,8544527
"10",NA,0,0,0,0,0,0,8544527
"11",NA,0,0,0,0,0,0,8544527
"12",NA,0,0,0,0,0,0,8544527
"13",NA,0,0,0,0,0,0,8544527
"14",NA,0,0,0,0,0,0,8544527
"15",NA,0,0,0,0,0,0,8544527
"16",NA,0,0,0,0,0,0,8544527
"17",NA,0,0,0,0,0,0,8544527
"18",NA,0,0,0,0,0,0,8544527
"19",NA,0,0,0,0,0,0,8544527
"20",NA,0,0,0,0,0,0,8544527
"21",NA,0,0,0,0,0,0,8544527
"22",NA,0,0,0,0,0,0,8544527
"23",NA,0,0,0,0,0,0,8544527
"24",NA,0,0,0,0,0,0,8544527
"25",NA,0,0,0,0,0,0,8544527
"26",NA,0,0,0,0,0,0,8544527
"27",NA,0,0,0,0,0,0,8544527
"28",NA,0,0,0,0,0,0,8544527
"29",NA,0,0,0,0,0,0,8544527
"30",NA,0,0,0,0,0,0,8544527
"31",NA,0,0,0,0,0,0,8544527
"32",NA,0,0,0,0,0,0,8544527
"33",NA,0,0,0,0,0,0,8544527
"34",NA,0,0,0,0,0,0,8544527
"35",NA,0,0,0,0,0,0,8544527
"36",NA,0,0,0,0,0,0,8544527
"37",NA,0,0,0,0,0,0,8544527
"38",NA,0,0,0,0,0,0,8544527
"39",NA,0,0,0,0,0,0,8544527
"40",NA,0,0,0,0,0,0,8544527
"41",NA,0,0,0,0,0,0,8544527
"42",NA,0,0,0,0,0,0,8544527
"43",NA,0,0,0,0,0,0,8544527
"44",NA,0,0,0,0,0,0,8544527
"45",NA,0,0,0,0,0,0,8544527
"46",NA,0,0,0,0,0,0,8544527
"47",NA,0,0,0,0,0,0,8544527
"48",NA,0,0,0,0,0,0,8544527
"49",NA,0,0,0,0,0,0,8544527
"50",NA,0,0,0,0,0,0,8544527
"51",NA,0,0,0,0,0,0,8544527
"52",NA,0,0,0,0,0,0,8544527
"53",NA,0,0,0,0,0,0,8544527
"54",NA,0,0,0,0,0,0,8544527
"55",NA,0,0,0,0,0,0,8544527
"56",NA,0,0,0,0,0,0,8544527
"57",NA,0,0,0,0,0,0,8544527
"58",NA,1,0,1,0,1.17033979762718e-07,1.17033979762718e-07,8544527
"59",NA,0,0,1,0,1.17033979762718e-07,0,8544527
"60",NA,7,0,8,0,9.36271838101746e-07,8.19237858339028e-07,8544527
"61",NA,4,0,12,0,1.40440775715262e-06,4.68135919050873e-07,8544527
"62",NA,6,0,18,0,2.10661163572893e-06,7.0220387857631e-07,8544527
"63",NA,6,0,24,0,2.80881551430524e-06,7.0220387857631e-07,8544527
"64",NA,6,0,30,0,3.51101939288155e-06,7.0220387857631e-07,8544527
"65",NA,7,0,37,0,4.33025725122058e-06,8.19237858339028e-07,8544527
"66",NA,20,0,57,0,6.67093684647494e-06,2.34067959525437e-06,8544527
"67",NA,30,1,87,1,1.01819562393565e-05,3.51101939288155e-06,8544527
"68",NA,122,0,209,1,2.44601017704081e-05,1.42781455310516e-05,8544527
"69",NA,55,0,264,1,3.08969706573576e-05,6.43686888694951e-06,8544527
"70",NA,68,1,332,2,3.88552812812225e-05,7.95831062386484e-06,8544527
"71",NA,42,0,374,2,4.37707084312566e-05,4.91542715003417e-06,8544527
"72",NA,116,1,490,3,5.7346650083732e-05,1.35759416524753e-05,8544527
"73",NA,152,1,642,4,7.51358150076651e-05,1.77891649239332e-05,8544527
"74",NA,212,0,854,4,9.99470187173614e-05,2.48112037096963e-05,8544527
"75",NA,267,3,1121,7,0.000131195091314007,3.12480725966458e-05,8544527
"76",NA,238,4,1359,11,0.000159049178497534,2.7854087183527e-05,8544527
"77",NA,841,2,2200,13,0.00025747475547798,9.84255769804461e-05,8544527
"78",NA,0,1,2200,14,0.00025747475547798,0,8544527
"79",NA,450,5,2650,19,0.000310140046371203,5.26652908932232e-05,8544527
"80",NA,360,2,3010,21,0.000352272279085782,4.21322327145786e-05,8544527
"81",NA,878,12,3888,33,0.000455028113317449,0.000102755834231667,8544527
"82",NA,952,10,4840,43,0.000566444462051557,0.000111416348734108,8544527
"83",NA,1237,13,6077,56,0.000711215495018039,0.000144771032966483,8544527
"84",NA,894,4,6971,60,0.000815843872925909,0.00010462837790787,8544527
"85",NA,1044,6,8015,66,0.000938027347798187,0.000122183474872278,8544527
"86",NA,774,20,8789,86,0.00102861164813453,9.0584300336344e-05,8544527
"87",NA,925,17,9714,103,0.00113686807941505,0.000108256431280514,8544527
"88",NA,1000,58,10714,161,0.00125390205917776,0.000117033979762718,8544527
"89",NA,1390,36,12104,197,0.00141657929104794,0.000162677231870178,8544527
"90",NA,1048,38,13152,235,0.00153923090183927,0.000122651610791329,8544527
"91",NA,1122,22,14274,257,0.00167054302713304,0.00013131212529377,8544527
"92",NA,1138,38,15412,295,0.00180372769610301,0.000133184668969973,8544527
"93",NA,696,78,16108,373,0.00188518334601787,8.14556499148519e-05,8544527
"94",NA,962,5,17070,378,0.0019977700345496,0.000112586688531735,8544527
"95",NA,1124,54,18194,432,0.0021293162278029,0.000131546193253295,8544527
"96",NA,1033,52,19227,484,0.00225021232889778,0.000120896101094888,8544527
"97",NA,974,56,20201,540,0.00236420342518667,0.000113991096288888,8544527
"98",NA,821,19,21022,559,0.00246028832257186,9.60848973851917e-05,8544527
"99",NA,552,25,21574,584,0.00252489107940088,6.46027568290205e-05,8544527
"100",NA,590,57,22164,641,0.00259394112746089,6.90500480600038e-05,8544527
"101",NA,546,64,22710,705,0.00265784168041133,6.39005529504442e-05,8544527
"102",NA,785,51,23495,756,0.00274971335452507,9.18716741137339e-05,8544527
"103",NA,733,49,24228,805,0.00283549926169114,8.57859071660725e-05,8544527
"104",NA,592,26,24820,831,0.00290478337771067,6.92841160195292e-05,8544527
"105",NA,400,27,25220,858,0.00295159696961576,4.68135919050873e-05,8544527
"106",NA,279,0,25499,858,0.00298424944996955,3.26524803537984e-05,8544527
"107",NA,254,42,25753,900,0.00301397608082928,2.97266308597304e-05,8544527
"108",NA,583,73,26336,973,0.00308220689103095,6.82308102016648e-05,8544527
"109",NA,315,43,26651,1016,0.0031190725946562,3.68657036252563e-05,8544527
"110",NA,346,42,26997,1058,0.00315956635165411,4.04937569979005e-05,8544527
"111",NA,325,52,27322,1110,0.00319760239507699,3.80360434228834e-05,8544527
"112",NA,336,24,27658,1134,0.00323692581227726,3.93234172002733e-05,8544527
"113",NA,168,7,27826,1141,0.0032565875208774,1.96617086001367e-05,8544527
"114",NA,155,45,27981,1186,0.00327472778774062,1.81402668632213e-05,8544527
"115",NA,205,30,28186,1216,0.00329871975359198,2.39919658513572e-05,8544527
"116",NA,228,51,28414,1267,0.00332540350097788,2.66837473858998e-05,8544527
"117",NA,181,41,28595,1308,0.00334658665131493,2.1183150337052e-05,8544527
"118",NA,216,20,28811,1328,0.00337186599094368,2.52793396287471e-05,8544527
"119",NA,167,8,28978,1336,0.00339141066556405,1.9544674620374e-05,8544527
"120",NA,103,16,29081,1352,0.00340346516547961,1.205449991556e-05,8544527
"121",NA,100,27,29181,1379,0.00341516856345588,1.17033979762718e-05,8544527
"122",NA,143,28,29324,1407,0.00343190442256195,1.67358591060687e-05,8544527
"123",NA,179,15,29503,1422,0.00345285350493948,2.09490823775266e-05,8544527
"124",NA,119,12,29622,1434,0.00346678054853124,1.39270435917635e-05,8544527
"125",NA,112,32,29734,1466,0.00347988835426467,1.31078057334244e-05,8544527
"126",NA,88,6,29822,1472,0.00349018734448378,1.02989902191192e-05,8544527
"127",NA,76,4,29898,1476,0.00349908192694575,8.89458246196659e-06,8544527
"128",NA,28,6,29926,1482,0.00350235887837911,3.27695143335611e-06,8544527
"129",NA,51,22,29977,1504,0.00350832761134701,5.96873296789863e-06,8544527
"130",NA,66,13,30043,1517,0.00351605185401135,7.72424266433941e-06,8544527
"131",NA,81,8,30124,1525,0.00352553160637213,9.47975236078018e-06,8544527
"132",NA,44,6,30168,1531,0.00353068110148169,5.1494951095596e-06,8544527
"133",NA,54,6,30222,1537,0.00353700093638887,6.31983490718679e-06,8544527
"134",NA,39,5,30261,1542,0.00354156526159962,4.56432521074601e-06,8544527
"135",NA,36,18,30297,1560,0.00354577848487108,4.21322327145786e-06,8544527
"136",NA,33,3,30330,1563,0.00354964060620325,3.8621213321697e-06,8544527
"137",NA,50,25,30380,1588,0.00355549230519138,5.85169898813591e-06,8544527
"138",NA,51,6,30431,1594,0.00356146103815928,5.96873296789863e-06,8544527
"139",NA,58,7,30489,1601,0.00356824900898552,6.78797082623766e-06,8544527
"140",NA,15,1,30504,1602,0.00357000451868196,1.75550969644077e-06,8544527
"141",NA,10,0,30514,1602,0.00357117485847959,1.17033979762718e-06,8544527
"142",NA,21,11,30535,1613,0.0035736325720546,2.45771357501708e-06,8544527
"143",NA,40,16,30575,1629,0.00357831393124511,4.68135919050873e-06,8544527
"144",NA,36,8,30611,1637,0.00358252715451657,4.21322327145786e-06,8544527
"145",NA,13,0,30624,1637,0.00358404859625348,1.52144173691534e-06,8544527
"146",NA,18,4,30642,1641,0.00358615520788921,2.10661163572893e-06,8544527
"147",NA,11,0,30653,1641,0.0035874425816666,1.2873737773899e-06,8544527
"148",NA,10,0,30663,1641,0.00358861292146423,1.17033979762718e-06,8544527
"149",NA,15,6,30678,1647,0.00359036843116067,1.75550969644077e-06,8544527
"150",NA,0,0,30678,1647,0.00359036843116067,0,8544527
"151",NA,35,7,30713,1654,0.00359446462045237,4.09618929169514e-06,8544527
"152",NA,32,2,30745,1656,0.00359820970780477,3.74508735240699e-06,8544527
"153",NA,17,0,30762,1656,0.00360019928546074,1.98957765596621e-06,8544527
"154",NA,17,0,30779,1656,0.00360218886311671,1.98957765596621e-06,8544527
"155",NA,9,0,30788,1656,0.00360324216893457,1.05330581786446e-06,8544527
"156",NA,3,0,30791,1656,0.00360359327087386,3.51101939288155e-07,8544527
"157",NA,19,3,30810,1659,0.00360581691648935,2.22364561549165e-06,8544527
"158",NA,20,0,30830,1659,0.0036081575960846,2.34067959525437e-06,8544527
"159",NA,23,0,30853,1659,0.00361084937761915,2.69178153454252e-06,8544527
"160",NA,20,1,30873,1660,0.0036131900572144,2.34067959525437e-06,8544527
"161",NA,9,0,30882,1660,0.00361424336303227,1.05330581786446e-06,8544527
"162",NA,7,0,30889,1660,0.00361506260089061,8.19237858339028e-07,8544527
"163",NA,16,2,30905,1662,0.00361693514456681,1.87254367620349e-06,8544527
"164",NA,23,12,30928,1674,0.00361962692610135,2.69178153454252e-06,8544527
"165",NA,33,0,30961,1674,0.00362348904743352,3.8621213321697e-06,8544527
"166",NA,19,2,30980,1676,0.00362571269304901,2.22364561549165e-06,8544527
"167",NA,31,0,31011,1676,0.00362934074642166,3.62805337264427e-06,8544527
"168",NA,23,0,31034,1676,0.0036320325279562,2.69178153454252e-06,8544527
"169",NA,14,0,31048,1676,0.00363367100367288,1.63847571667806e-06,8544527
"170",NA,15,1,31063,1677,0.00363542651336932,1.75550969644077e-06,8544527
"171",NA,37,0,31100,1677,0.00363975677062054,4.33025725122058e-06,8544527
"172",NA,17,0,31117,1677,0.0036417463482765,1.98957765596621e-06,8544527
"173",NA,92,0,31209,1677,0.00365251347441468,1.07671261381701e-05,8544527
"174",NA,0,0,31209,1677,0.00365251347441468,0,8544527
"175",NA,0,2,31209,1679,0.00365251347441468,0,8544527
"176",NA,18,0,31227,1679,0.0036546200860504,2.10661163572893e-06,8544527
"177",NA,22,0,31249,1679,0.00365719483360518,2.5747475547798e-06,8544527
"178",NA,44,2,31293,1681,0.00366234432871474,5.1494951095596e-06,8544527
"179",NA,52,0,31345,1681,0.0036684300956624,6.08576694766135e-06,8544527
"180",NA,58,0,31403,1681,0.00367521806648864,6.78797082623766e-06,8544527
"181",NA,69,0,31472,1681,0.00368329341109227,8.07534460362756e-06,8544527
"182",NA,62,0,31534,1681,0.00369054951783756,7.25610674528853e-06,8544527
"183",NA,35,0,31569,1681,0.00369464570712925,4.09618929169514e-06,8544527
"184",NA,62,2,31631,1683,0.00370190181387454,7.25610674528853e-06,8544527
"185",NA,220,1,31851,1684,0.00372764928942234,2.5747475547798e-05,8544527
"186",NA,33,1,31884,1685,0.00373151141075451,3.8621213321697e-06,8544527
"187",NA,133,0,32017,1685,0.00374707693006295,1.55655193084415e-05,8544527
"188",NA,97,0,32114,1685,0.00375842922609993,1.13522960369837e-05,8544527
"189",NA,70,0,32184,1685,0.00376662160468333,8.19237858339028e-06,8544527
"190",NA,46,0,32230,1685,0.00377200516775241,5.38356306908504e-06,8544527
"191",NA,54,0,32284,1685,0.0037783250026596,6.31983490718679e-06,8544527
"192",NA,129,0,32413,1685,0.00379342238604899,1.50973833893907e-05,8544527
"193",NA,88,0,32501,1685,0.00380372137626811,1.02989902191192e-05,8544527
