"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/12",1,0,1,0,3.88854587593657e-08,3.88854587593657e-08,3.88854587593657e-08,25716554
"2","2020/03/15",3,0,4,0,1.55541835037463e-07,1.16656376278097e-07,1.55541835037463e-07,25716554
"3","2020/03/16",0,0,4,0,1.55541835037463e-07,0,1.55541835037463e-07,25716554
"4","2020/03/17",1,0,5,0,1.94427293796828e-07,3.88854587593657e-08,1.94427293796828e-07,25716554
"5","2020/03/18",0,0,5,0,1.94427293796828e-07,0,1.94427293796828e-07,25716554
"6","2020/03/19",1,0,6,0,2.33312752556194e-07,3.88854587593657e-08,2.33312752556194e-07,25716554
"7","2020/03/20",3,0,9,0,3.49969128834291e-07,1.16656376278097e-07,3.49969128834291e-07,25716554
"8","2020/03/21",5,0,14,0,5.44396422631119e-07,1.94427293796828e-07,5.44396422631119e-07,25716554
"9","2020/03/22",3,0,17,0,6.61052798909216e-07,1.16656376278097e-07,6.61052798909216e-07,25716554
"10","2020/03/23",8,0,25,0,9.72136468984141e-07,3.11083670074925e-07,9.72136468984141e-07,25716554
"11","2020/03/24",0,0,25,0,9.72136468984141e-07,0,9.72136468984141e-07,25716554
"12","2020/03/25",48,0,73,0,2.83863848943369e-06,1.86650202044955e-06,2.83863848943369e-06,25716554
"13","2020/03/26",7,0,80,0,3.11083670074925e-06,2.7219821131556e-07,3.07195124198989e-06,25716554
"14","2020/03/27",16,0,96,0,3.7330040408991e-06,6.22167340149851e-07,3.57746220586164e-06,25716554
"15","2020/03/28",5,0,101,0,3.92743133469593e-06,1.94427293796828e-07,3.77188949965847e-06,25716554
"16","2020/03/29",39,0,140,0,5.44396422631119e-06,1.51653289161526e-06,5.24953693251436e-06,25716554
"17","2020/03/30",25,1,165,1,6.41610069529533e-06,9.72136468984141e-07,6.22167340149851e-06,25716554
"18","2020/03/31",3,0,168,1,6.53275707157343e-06,1.16656376278097e-07,6.29944431901724e-06,25716554
"19","2020/04/01",0,0,168,1,6.53275707157343e-06,0,6.18278794273914e-06,25716554
"20","2020/04/02",22,0,190,1,7.38823716427948e-06,8.55480092706045e-07,6.84384074164836e-06,25716554
