"","date","cases","deaths","cum_cases","cum_deaths","p_cases","population"
"1","2019/12/31",27,0,27,0,1.8831292440171e-08,1433783692
"2","2020/01/01",0,0,27,0,1.8831292440171e-08,1433783692
"3","2020/01/02",0,0,27,0,1.8831292440171e-08,1433783692
"4","2020/01/03",17,0,44,0,3.0688032124723e-08,1433783692
"5","2020/01/04",0,0,44,0,3.0688032124723e-08,1433783692
"6","2020/01/05",15,0,59,0,4.11498612581513e-08,1433783692
"7","2020/01/06",0,0,59,0,4.11498612581513e-08,1433783692
"8","2020/01/07",0,0,59,0,4.11498612581513e-08,1433783692
"9","2020/01/08",0,0,59,0,4.11498612581513e-08,1433783692
"10","2020/01/09",0,0,59,0,4.11498612581513e-08,1433783692
"11","2020/01/10",0,0,59,0,4.11498612581513e-08,1433783692
"12","2020/01/11",0,1,59,1,4.11498612581513e-08,1433783692
"13","2020/01/12",0,0,59,1,4.11498612581513e-08,1433783692
"14","2020/01/13",0,0,59,1,4.11498612581513e-08,1433783692
"15","2020/01/14",0,0,59,1,4.11498612581513e-08,1433783692
"16","2020/01/15",0,1,59,2,4.11498612581513e-08,1433783692
"17","2020/01/16",0,0,59,2,4.11498612581513e-08,1433783692
"18","2020/01/17",4,0,63,2,4.39396823603989e-08,1433783692
"19","2020/01/18",17,0,80,2,5.5796422044951e-08,1433783692
"20","2020/01/19",136,1,216,3,1.50650339521368e-07,1433783692
"21","2020/01/20",19,0,235,3,1.63901989757043e-07,1433783692
"22","2020/01/21",151,3,386,6,2.69217736366888e-07,1433783692
"23","2020/01/22",140,11,526,17,3.66861474945553e-07,1433783692
"24","2020/01/23",97,0,623,17,4.34514636675056e-07,1433783692
"25","2020/01/24",259,9,882,26,6.15155553045585e-07,1433783692
"26","2020/01/25",441,15,1323,41,9.22733329568377e-07,1433783692
"27","2020/01/26",665,15,1988,56,1.38654108781703e-06,1433783692
"28","2020/01/27",787,25,2775,81,1.93543838968424e-06,1433783692
"29","2020/01/28",1753,25,4528,106,3.15807748774423e-06,1433783692
"30","2020/01/29",1466,26,5994,132,4.18054692171795e-06,1433783692
"31","2020/01/30",1740,38,7734,170,5.39411910119564e-06,1433783692
"32","2020/01/31",1980,43,9714,213,6.77508054680817e-06,1433783692
"33","2020/02/01",2095,46,11809,259,8.23624934911033e-06,1433783692
"34","2020/02/02",2590,45,14399,304,1.00426585128156e-05,1433783692
"35","2020/02/03",2812,57,17211,361,1.20039027476956e-05,1433783692
"36","2020/02/04",3237,65,20448,426,1.42615654746895e-05,1433783692
"37","2020/02/05",3872,66,24320,492,1.69621123016651e-05,1433783692
"38","2020/02/06",3727,72,28047,564,1.95615281136843e-05,1433783692
"39","2020/02/07",3160,73,31207,637,2.17654867844598e-05,1433783692
"40","2020/02/08",3418,86,34625,723,2.41493889163303e-05,1433783692
"41","2020/02/09",2607,89,37232,812,2.59676548197202e-05,1433783692
"42","2020/02/10",2974,97,40206,909,2.80418868092412e-05,1433783692
"43","2020/02/11",2490,108,42696,1017,2.97785504453903e-05,1433783692
"44","2020/02/12",2028,97,44724,1114,3.11929897442298e-05,1433783692
"45","2020/02/13",15141,254,59865,1368,4.17531600715124e-05,1433783692
"46","2020/02/14",4156,13,64021,1381,4.46517841967476e-05,1433783692
"47","2020/02/15",2538,143,66559,1524,4.64219256861236e-05,1433783692
"48","2020/02/16",2007,142,68566,1666,4.78217184241764e-05,1433783692
"49","2020/02/17",2052,105,70618,1771,4.92528966496294e-05,1433783692
"50","2020/02/18",1890,98,72508,1869,5.05710871204413e-05,1433783692
"51","2020/02/19",1750,139,74258,2008,5.17916338526746e-05,1433783692
"52","2020/02/20",394,112,74652,2120,5.2066431231246e-05,1433783692
"53","2020/02/21",891,118,75543,2238,5.26878638817716e-05,1433783692
"54","2020/02/22",826,109,76369,2347,5.32639619393858e-05,1433783692
"55","2020/02/23",647,98,77016,2445,5.37152155026743e-05,1433783692
"56","2020/02/24",218,150,77234,2595,5.38672607527468e-05,1433783692
"57","2020/02/25",515,70,77749,2665,5.42264502196612e-05,1433783692
"58","2020/02/26",410,52,78159,2717,5.45124068826415e-05,1433783692
"59","2020/02/27",439,29,78598,2746,5.48185897486132e-05,1433783692
"60","2020/02/28",329,44,78927,2790,5.50480525342731e-05,1433783692
"61","2020/02/29",428,47,79355,2837,5.53465633922136e-05,1433783692
"62","2020/03/01",574,35,79929,2872,5.57469027203861e-05,1433783692
"63","2020/03/02",205,42,80134,2914,5.58898810518763e-05,1433783692
"64","2020/03/03",127,32,80261,2946,5.59784578718726e-05,1433783692
"65","2020/03/04",119,37,80380,2983,5.60614550496645e-05,1433783692
"66","2020/03/05",117,31,80497,3014,5.61430573169052e-05,1433783692
"67","2020/03/06",170,30,80667,3044,5.62616247137508e-05,1433783692
"68","2020/03/07",101,28,80768,3072,5.63320676965825e-05,1433783692
"69","2020/03/08",46,27,80814,3099,5.63641506392584e-05,1433783692
"70","2020/03/09",45,23,80859,3122,5.63955361266586e-05,1433783692
"71","2020/03/10",20,17,80879,3139,5.64094852321699e-05,1433783692
"72","2020/03/11",29,22,80908,3161,5.64297114351612e-05,1433783692
"73","2020/03/12",24,11,80932,3172,5.64464503617747e-05,1433783692
"74","2020/03/13",22,7,80954,3179,5.6461794377837e-05,1433783692
"75","2020/03/14",19,15,80973,3194,5.64750460280727e-05,1433783692
"76","2020/03/15",22,9,80995,3203,5.64903900441351e-05,1433783692
"77","2020/03/16",25,13,81020,3216,5.65078264260241e-05,1433783692
"78","2020/03/17",43,9,81063,3225,5.65378170028733e-05,1433783692
"79","2020/03/18",23,16,81086,3241,5.65538584742112e-05,1433783692
"80","2020/03/19",44,8,81130,3249,5.65845465063359e-05,1433783692
"81","2020/03/20",99,4,81229,3253,5.66535945786165e-05,1433783692
"82","2020/03/21",52,6,81281,3259,5.66898622529458e-05,1433783692
"83","2020/03/22",65,6,81346,3265,5.67351968458573e-05,1433783692
"84","2020/03/23",138,9,81484,3274,5.68314456738848e-05,1433783692
"85","2020/03/24",69,7,81553,3281,5.68795700878986e-05,1433783692
"86","2020/03/25",78,4,81631,3285,5.69339715993924e-05,1433783692
"87","2020/03/26",102,6,81733,3291,5.70051120374997e-05,1433783692
"88","2020/03/27",94,5,81827,3296,5.70706728334025e-05,1433783692
"89","2020/03/28",119,3,81946,3299,5.71536700111944e-05,1433783692
"90","2020/03/29",113,5,82059,3304,5.72324824573329e-05,1433783692
"91","2020/03/30",98,2,82157,3306,5.7300833074338e-05,1433783692
"92","2020/03/31",84,3,82241,3309,5.73594193174852e-05,1433783692
"93","2020/04/01",54,1,82295,3310,5.73970819023655e-05,1433783692
"94","2020/04/02",100,6,82395,3316,5.74668274299217e-05,1433783692
"95","2020/04/03",70,10,82465,3326,5.7515649299211e-05,1433783692
"96","2020/04/04",62,4,82527,3330,5.75588915262959e-05,1433783692
"97","2020/04/05",48,3,82575,3333,5.75923693795228e-05,1433783692
"98","2020/04/06",67,2,82642,3335,5.76390988829855e-05,1433783692
"99","2020/04/07",56,0,82698,3335,5.76781563784169e-05,1433783692
"100","2020/04/08",86,2,82784,3337,5.77381375321153e-05,1433783692
"101","2020/04/09",86,2,82870,3339,5.77981186858136e-05,1433783692
"102","2020/04/10",55,1,82925,3340,5.78364787259695e-05,1433783692
"103","2020/04/11",79,3,83004,3343,5.78915776927389e-05,1433783692
"104","2020/04/12",93,0,83097,3343,5.79564410333661e-05,1433783692
"105","2020/04/13",112,2,83209,3345,5.80345560242291e-05,1433783692
"106","2020/04/14",94,0,83303,3345,5.81001168201319e-05,1433783692
"107","2020/04/15",49,1,83352,3346,5.81342921286344e-05,1433783692
"108","2020/04/16",50,0,83402,3346,5.81691648924125e-05,1433783692
"109","2020/04/17",352,1290,83754,4636,5.84146691494103e-05,1433783692
"110","2020/04/18",31,0,83785,4636,5.84362902629527e-05,1433783692
"111","2020/04/19",18,0,83803,4636,5.84488444579128e-05,1433783692
"112","2020/04/20",14,0,83817,4636,5.84586088317707e-05,1433783692
"113","2020/04/21",32,0,83849,4636,5.84809274005887e-05,1433783692
"114","2020/04/22",15,0,83864,4636,5.84913892297221e-05,1433783692
"115","2020/04/23",12,0,83876,4636,5.84997586930288e-05,1433783692
"116","2020/04/24",8,0,83884,4636,5.85053383352333e-05,1433783692
"117","2020/04/25",15,0,83899,4636,5.85158001643668e-05,1433783692
"118","2020/04/26",10,0,83909,4636,5.85227747171224e-05,1433783692
"119","2020/04/27",3,1,83912,4637,5.85248670829491e-05,1433783692
"120","2020/04/28",26,0,83938,4637,5.85430009201137e-05,1433783692
"121","2020/04/29",2,0,83940,4637,5.85443958306648e-05,1433783692
"122","2020/04/30",4,0,83944,4637,5.85471856517671e-05,1433783692
"123","2020/05/01",12,0,83956,4637,5.85555551150738e-05,1433783692
"124","2020/05/02",3,0,83959,4637,5.85576474809005e-05,1433783692
"125","2020/05/03",2,0,83961,4637,5.85590423914516e-05,1433783692
"126","2020/05/04",3,0,83964,4637,5.85611347572783e-05,1433783692
"127","2020/05/05",2,0,83966,4637,5.85625296678294e-05,1433783692
"128","2020/05/06",2,0,83968,4637,5.85639245783805e-05,1433783692
"129","2020/05/07",2,0,83970,4637,5.85653194889317e-05,1433783692
"130","2020/05/08",6,0,83976,4637,5.8569504220585e-05,1433783692
"131","2020/05/09",0,0,83976,4637,5.8569504220585e-05,1433783692
"132","2020/05/10",15,0,83991,4637,5.85799660497185e-05,1433783692
"133","2020/05/11",19,0,84010,4637,5.85932176999541e-05,1433783692
"134","2020/05/12",1,0,84011,4637,5.85939151552297e-05,1433783692
"135","2020/05/13",7,0,84018,4637,5.85987973421586e-05,1433783692
"136","2020/05/14",6,0,84024,4637,5.8602982073812e-05,1433783692
"137","2020/05/15",5,0,84029,4637,5.86064693501898e-05,1433783692
"138","2020/05/16",9,0,84038,4637,5.86127464476699e-05,1433783692
"139","2020/05/17",6,1,84044,4638,5.86169311793232e-05,1433783692
"140","2020/05/18",10,0,84054,4638,5.86239057320789e-05,1433783692
"141","2020/05/19",9,0,84063,4638,5.86301828295589e-05,1433783692
"142","2020/05/20",2,0,84065,4638,5.863157774011e-05,1433783692
"143","2020/05/21",2,0,84067,4638,5.86329726506612e-05,1433783692
"144","2020/05/22",12,0,84079,4638,5.86413421139679e-05,1433783692
"145","2020/05/23",2,0,84081,4638,5.8642737024519e-05,1433783692
"146","2020/05/24",3,0,84084,4638,5.86448293903457e-05,1433783692
"147","2020/05/25",11,0,84095,4638,5.86525013983769e-05,1433783692
"148","2020/05/26",7,0,84102,4638,5.86573835853058e-05,1433783692
"149","2020/05/27",1,0,84103,4638,5.86580810405814e-05,1433783692
"150","2020/05/28",3,0,84106,4638,5.86601734064081e-05,1433783692
"151","2020/05/29",0,0,84106,4638,5.86601734064081e-05,1433783692
"152","2020/05/30",17,0,84123,4638,5.86720301460926e-05,1433783692
"153","2020/05/31",5,0,84128,4638,5.86755174224704e-05,1433783692
"154","2020/06/01",19,0,84147,4638,5.86887690727061e-05,1433783692
"155","2020/06/02",7,0,84154,4638,5.86936512596351e-05,1433783692
"156","2020/06/03",5,0,84159,4638,5.86971385360129e-05,1433783692
"157","2020/06/04",1,0,84160,4638,5.86978359912884e-05,1433783692
"158","2020/06/05",11,0,84171,4638,5.87055079993196e-05,1433783692
"159","2020/06/06",6,0,84177,4638,5.8709692730973e-05,1433783692
"160","2020/06/07",9,0,84186,4638,5.8715969828453e-05,1433783692
"161","2020/06/08",5,0,84191,4638,5.87194571048308e-05,1433783692
"162","2020/06/09",3,0,84194,4638,5.87215494706575e-05,1433783692
"163","2020/06/10",4,0,84198,4638,5.87243392917598e-05,1433783692
