"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/07",1,0,1,0,1,1.98115485875257e-07,1.98115485875257e-07,1.98115485875257e-07,5047561
"2","2020/03/09",4,0,5,0,5,9.90577429376287e-07,7.92461943501029e-07,9.90577429376287e-07,5047561
"3","2020/03/10",4,0,9,0,9,1.78303937287732e-06,7.92461943501029e-07,1.78303937287732e-06,5047561
"4","2020/03/11",4,0,13,0,13,2.57550131637835e-06,7.92461943501029e-07,2.57550131637835e-06,5047561
"5","2020/03/12",9,0,22,0,22,4.35854068925566e-06,1.78303937287732e-06,4.35854068925566e-06,5047561
"6","2020/03/13",1,0,23,0,23,4.55665617513092e-06,1.98115485875257e-07,4.55665617513092e-06,5047561
"7","2020/03/14",3,0,26,0,26,5.15100263275669e-06,5.94346457625772e-07,5.15100263275669e-06,5047561
"8","2020/03/15",1,0,27,0,27,5.34911811863195e-06,1.98115485875257e-07,5.34911811863195e-06,5047561
"9","2020/03/16",8,0,35,0,35,6.93404200563401e-06,1.58492388700206e-06,6.93404200563401e-06,5047561
"10","2020/03/17",6,0,41,0,41,8.12273492088555e-06,1.18869291525154e-06,8.12273492088555e-06,5047561
"11","2020/03/18",9,0,50,0,50,9.90577429376287e-06,1.78303937287732e-06,9.90577429376287e-06,5047561
"12","2020/03/19",19,1,69,1,69,1.36699685253928e-05,3.76419423162989e-06,1.36699685253928e-05,5047561
"13","2020/03/20",18,0,87,1,86,1.72360472711474e-05,3.56607874575463e-06,1.70379317852721e-05,5047561
"14","2020/03/21",26,1,113,2,108,2.23870499039041e-05,5.15100263275669e-06,2.13964724745278e-05,5047561
"15","2020/03/22",4,0,117,2,108,2.31795118474051e-05,7.92461943501029e-07,2.13964724745278e-05,5047561
"16","2020/03/23",17,0,134,2,121,2.65474751072845e-05,3.36796325987938e-06,2.39719737909061e-05,5047561
"17","2020/03/24",24,0,158,2,136,3.13022467682907e-05,4.75477166100618e-06,2.6943706079035e-05,5047561
"18","2020/03/25",19,0,177,2,154,3.50664409999206e-05,3.76419423162989e-06,3.05097848247896e-05,5047561
"19","2020/03/26",24,0,201,2,175,3.98212126609267e-05,4.75477166100618e-06,3.467021002817e-05,5047561
"20","2020/03/27",30,0,231,2,204,4.57646772371845e-05,5.94346457625772e-06,4.04155591185525e-05,5047561
"21","2020/03/28",32,0,263,2,228,5.21043727851927e-05,6.33969554800824e-06,4.51703307795587e-05,5047561
"22","2020/03/29",32,0,295,2,254,5.84440683332009e-05,6.33969554800824e-06,5.03213334123154e-05,5047561
"23","2020/03/30",19,0,314,2,264,6.22082625648308e-05,3.76419423162989e-06,5.23024882710679e-05,5047561
"24","2020/03/31",16,0,330,2,261,6.53781103388349e-05,3.16984777400412e-06,5.17081418134422e-05,5047561
"25","2020/04/01",17,0,347,2,260,6.87460735987143e-05,3.36796325987938e-06,5.15100263275669e-05,5047561
"26","2020/04/02",28,0,375,2,262,7.42933072032215e-05,5.54723360450721e-06,5.19062572993174e-05,5047561
"27","2020/04/03",21,0,396,2,279,7.84537324066019e-05,4.16042520338041e-06,5.52742205591968e-05,5047561
"28","2020/04/04",20,0,416,2,282,8.24160421241071e-05,3.96230971750515e-06,5.58685670168226e-05,5047561
"29","2020/04/05",19,0,435,2,277,8.6180236355737e-05,3.76419423162989e-06,5.48779895874463e-05,5047561
"30","2020/04/06",19,0,454,2,277,8.99444305873668e-05,3.76419423162989e-06,5.48779895874463e-05,5047561
"31","2020/04/07",13,0,467,2,266,9.25199319037452e-05,2.57550131637835e-06,5.26987192428185e-05,5047561
"32","2020/04/08",16,0,483,2,252,9.56897796777493e-05,3.16984777400412e-06,4.99251024405649e-05,5047561
