"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2020/03/23",1,0,1,0,1.39260249554367e-05,1.39260249554367e-05,71808
"2","2020/03/24",0,0,1,0,1.39260249554367e-05,0,71808
"3","2020/03/25",1,0,2,0,2.78520499108734e-05,1.39260249554367e-05,71808
"4","2020/03/26",5,0,7,0,9.7482174688057e-05,6.96301247771836e-05,71808
"5","2020/03/27",4,0,11,0,0.000153186274509804,5.57040998217469e-05,71808
"6","2020/03/28",0,0,11,0,0.000153186274509804,0,71808
"7","2020/03/29",0,0,11,0,0.000153186274509804,0,71808
"8","2020/03/30",0,0,11,0,0.000153186274509804,0,71808
"9","2020/03/31",0,0,11,0,0.000153186274509804,0,71808
"10","2020/04/01",0,0,11,0,0.000153186274509804,0,71808
"11","2020/04/02",1,0,12,0,0.000167112299465241,1.39260249554367e-05,71808
"12","2020/04/03",0,0,12,0,0.000167112299465241,0,71808
"13","2020/04/04",2,0,14,0,0.000194964349376114,2.78520499108734e-05,71808
"14","2020/04/05",0,0,14,0,0.000194964349376114,0,71808
"15","2020/04/06",0,0,14,0,0.000194964349376114,0,71808
"16","2020/04/07",1,0,15,0,0.000208890374331551,1.39260249554367e-05,71808
"17","2020/04/08",0,0,15,0,0.000208890374331551,0,71808
"18","2020/04/09",0,0,15,0,0.000208890374331551,0,71808
"19","2020/04/10",1,0,16,0,0.000222816399286988,1.39260249554367e-05,71808
"20","2020/04/11",0,0,16,0,0.000222816399286988,0,71808
"21","2020/04/12",0,0,16,0,0.000222816399286988,0,71808
"22","2020/04/13",0,0,16,0,0.000222816399286988,0,71808
"23","2020/04/14",0,0,16,0,0.000222816399286988,0,71808
"24","2020/04/15",0,0,16,0,0.000222816399286988,0,71808
"25","2020/04/16",0,0,16,0,0.000222816399286988,0,71808
"26","2020/04/17",0,0,16,0,0.000222816399286988,0,71808
"27","2020/04/18",0,0,16,0,0.000222816399286988,0,71808
"28","2020/04/19",0,0,16,0,0.000222816399286988,0,71808
"29","2020/04/20",0,0,16,0,0.000222816399286988,0,71808
"30","2020/04/21",0,0,16,0,0.000222816399286988,0,71808
"31","2020/04/22",0,0,16,0,0.000222816399286988,0,71808
"32","2020/04/23",0,0,16,0,0.000222816399286988,0,71808
"33","2020/04/24",0,0,16,0,0.000222816399286988,0,71808
"34","2020/04/25",0,0,16,0,0.000222816399286988,0,71808
"35","2020/04/26",0,0,16,0,0.000222816399286988,0,71808
"36","2020/04/27",0,0,16,0,0.000222816399286988,0,71808
"37","2020/04/28",0,0,16,0,0.000222816399286988,0,71808
"38","2020/04/29",0,0,16,0,0.000222816399286988,0,71808
"39","2020/04/30",0,0,16,0,0.000222816399286988,0,71808
"40","2020/05/01",0,0,16,0,0.000222816399286988,0,71808
"41","2020/05/02",0,0,16,0,0.000222816399286988,0,71808
"42","2020/05/03",0,0,16,0,0.000222816399286988,0,71808
"43","2020/05/04",0,0,16,0,0.000222816399286988,0,71808
"44","2020/05/05",0,0,16,0,0.000222816399286988,0,71808
"45","2020/05/06",0,0,16,0,0.000222816399286988,0,71808
"46","2020/05/07",0,0,16,0,0.000222816399286988,0,71808
"47","2020/05/08",0,0,16,0,0.000222816399286988,0,71808
"48","2020/05/09",0,0,16,0,0.000222816399286988,0,71808
"49","2020/05/10",0,0,16,0,0.000222816399286988,0,71808
"50","2020/05/11",0,0,16,0,0.000222816399286988,0,71808
"51","2020/05/12",0,0,16,0,0.000222816399286988,0,71808
"52","2020/05/13",0,0,16,0,0.000222816399286988,0,71808
"53","2020/05/14",0,0,16,0,0.000222816399286988,0,71808
"54","2020/05/15",0,0,16,0,0.000222816399286988,0,71808
"55","2020/05/16",0,0,16,0,0.000222816399286988,0,71808
"56","2020/05/17",0,0,16,0,0.000222816399286988,0,71808
"57","2020/05/18",0,0,16,0,0.000222816399286988,0,71808
"58","2020/05/19",0,0,16,0,0.000222816399286988,0,71808
