"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,0,0,0,0,0,0,1324820
"2",NA,0,0,0,0,0,0,1324820
"3",NA,0,0,0,0,0,0,1324820
"4",NA,0,0,0,0,0,0,1324820
"5",NA,0,0,0,0,0,0,1324820
"6",NA,0,0,0,0,0,0,1324820
"7",NA,0,0,0,0,0,0,1324820
"8",NA,0,0,0,0,0,0,1324820
"9",NA,0,0,0,0,0,0,1324820
"10",NA,0,0,0,0,0,0,1324820
"11",NA,0,0,0,0,0,0,1324820
"12",NA,0,0,0,0,0,0,1324820
"13",NA,0,0,0,0,0,0,1324820
"14",NA,0,0,0,0,0,0,1324820
"15",NA,0,0,0,0,0,0,1324820
"16",NA,0,0,0,0,0,0,1324820
"17",NA,0,0,0,0,0,0,1324820
"18",NA,0,0,0,0,0,0,1324820
"19",NA,0,0,0,0,0,0,1324820
"20",NA,0,0,0,0,0,0,1324820
"21",NA,0,0,0,0,0,0,1324820
"22",NA,0,0,0,0,0,0,1324820
"23",NA,0,0,0,0,0,0,1324820
"24",NA,0,0,0,0,0,0,1324820
"25",NA,0,0,0,0,0,0,1324820
"26",NA,0,0,0,0,0,0,1324820
"27",NA,0,0,0,0,0,0,1324820
"28",NA,0,0,0,0,0,0,1324820
"29",NA,0,0,0,0,0,0,1324820
"30",NA,0,0,0,0,0,0,1324820
"31",NA,0,0,0,0,0,0,1324820
"32",NA,0,0,0,0,0,0,1324820
"33",NA,0,0,0,0,0,0,1324820
"34",NA,0,0,0,0,0,0,1324820
"35",NA,0,0,0,0,0,0,1324820
"36",NA,0,0,0,0,0,0,1324820
"37",NA,0,0,0,0,0,0,1324820
"38",NA,0,0,0,0,0,0,1324820
"39",NA,0,0,0,0,0,0,1324820
"40",NA,0,0,0,0,0,0,1324820
"41",NA,0,0,0,0,0,0,1324820
"42",NA,0,0,0,0,0,0,1324820
"43",NA,0,0,0,0,0,0,1324820
"44",NA,0,0,0,0,0,0,1324820
"45",NA,0,0,0,0,0,0,1324820
"46",NA,0,0,0,0,0,0,1324820
"47",NA,0,0,0,0,0,0,1324820
"48",NA,0,0,0,0,0,0,1324820
"49",NA,0,0,0,0,0,0,1324820
"50",NA,0,0,0,0,0,0,1324820
"51",NA,0,0,0,0,0,0,1324820
"52",NA,0,0,0,0,0,0,1324820
"53",NA,0,0,0,0,0,0,1324820
"54",NA,0,0,0,0,0,0,1324820
"55",NA,0,0,0,0,0,0,1324820
"56",NA,0,0,0,0,0,0,1324820
"57",NA,0,0,0,0,0,0,1324820
"58",NA,0,0,0,0,0,0,1324820
"59",NA,0,0,0,0,0,0,1324820
"60",NA,1,0,1,0,7.54819522652134e-07,7.54819522652134e-07,1324820
"61",NA,0,0,1,0,7.54819522652134e-07,0,1324820
"62",NA,0,0,1,0,7.54819522652134e-07,0,1324820
"63",NA,0,0,1,0,7.54819522652134e-07,0,1324820
"64",NA,1,0,2,0,1.50963904530427e-06,7.54819522652134e-07,1324820
"65",NA,3,0,5,0,3.77409761326067e-06,2.2644585679564e-06,1324820
"66",NA,5,0,10,0,7.54819522652134e-06,3.77409761326067e-06,1324820
"67",NA,3,0,13,0,9.81265379447774e-06,2.2644585679564e-06,1324820
"68",NA,3,0,16,0,1.20771123624341e-05,2.2644585679564e-06,1324820
"69",NA,11,0,27,0,2.03801271116076e-05,8.30301474917347e-06,1324820
"70",NA,52,0,79,0,5.96307422895186e-05,3.9250615177911e-05,1324820
"71",NA,36,0,115,0,8.68042451049954e-05,2.71735028154768e-05,1324820
"72",NA,56,0,171,0,0.000129074138373515,4.22698932685195e-05,1324820
"73",NA,34,0,205,0,0.000154738002143687,2.56638637701726e-05,1324820
"74",NA,20,0,225,0,0.00016983439259673,1.50963904530427e-05,1324820
"75",NA,33,0,258,0,0.000194743436844251,2.49090442475204e-05,1324820
"76",NA,9,0,267,0,0.00020153681254812,6.7933757038692e-06,1324820
"77",NA,16,0,283,0,0.000213613924910554,1.20771123624341e-05,1324820
"78",NA,23,0,306,0,0.000230974773931553,1.73608490209991e-05,1324820
"79",NA,20,0,326,0,0.000246071164384596,1.50963904530427e-05,1324820
"80",NA,26,0,352,0,0.000265696471973551,1.96253075889555e-05,1324820
"81",NA,17,0,369,0,0.000278528403858637,1.28319318850863e-05,1324820
"82",NA,35,1,404,1,0.000304947087151462,2.64186832928247e-05,1324820
"83",NA,134,0,538,1,0.000406092903186848,0.000101145816035386,1324820
"84",NA,37,0,575,1,0.000434021225524977,2.7928322338129e-05,1324820
"85",NA,65,0,640,1,0.000483084494497366,4.90632689723887e-05,1324820
"86",NA,39,2,679,3,0.000512522455880799,2.94379613834332e-05,1324820
"87",NA,36,0,715,3,0.000539695958696276,2.71735028154768e-05,1324820
"88",NA,30,1,745,4,0.00056234054437584,2.2644585679564e-05,1324820
"89",NA,34,1,779,5,0.000588004408146012,2.56638637701726e-05,1324820
"90",NA,79,6,858,11,0.000647635150435531,5.96307422895186e-05,1324820
"91",NA,103,1,961,12,0.000725381561268701,7.77464108331698e-05,1324820
"92",NA,57,1,1018,13,0.000768406274059872,4.30247127911716e-05,1324820
"93",NA,79,2,1097,15,0.000828037016349391,5.96307422895186e-05,1324820
"94",NA,11,4,1108,19,0.000836340031098564,8.30301474917347e-06,1324820
"95",NA,41,2,1149,21,0.000867287631527302,3.09476004287375e-05,1324820
"96",NA,36,3,1185,24,0.000894461134342779,2.71735028154768e-05,1324820
"97",NA,22,0,1207,24,0.000911067163841126,1.66060294983469e-05,1324820
"98",NA,51,0,1258,24,0.000949562959496384,3.84957956552588e-05,1324820
"99",NA,46,0,1304,24,0.000984284657538383,3.47216980419982e-05,1324820
"100",NA,5,1,1309,25,0.000988058755151643,3.77409761326067e-06,1324820
"101",NA,23,3,1332,28,0.00100541960417264,1.73608490209991e-05,1324820
"102",NA,41,3,1373,31,0.00103636720460138,3.09476004287375e-05,1324820
"103",NA,29,4,1402,35,0.00105825697075829,2.18897661569119e-05,1324820
"104",NA,32,1,1434,36,0.00108241119548316,2.41542247248683e-05,1324820
"105",NA,25,2,1459,38,0.00110128168354946,1.88704880663033e-05,1324820
"106",NA,53,0,1512,38,0.00114128711825003,4.00054347005631e-05,1324820
"107",NA,16,2,1528,40,0.00115336423061246,1.20771123624341e-05,1324820
"108",NA,7,0,1535,40,0.00115864796727103,5.28373665856494e-06,1324820
"109",NA,17,3,1552,43,0.00117147989915611,1.28319318850863e-05,1324820
"110",NA,7,1,1559,44,0.00117676363581468,5.28373665856494e-06,1324820
"111",NA,33,1,1592,45,0.0012016726800622,2.49090442475204e-05,1324820
