"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2019/12/31",0,0,0,0,0,0,46937060
"2","2020/01/01",0,0,0,0,0,0,46937060
"3","2020/01/02",0,0,0,0,0,0,46937060
"4","2020/01/03",0,0,0,0,0,0,46937060
"5","2020/01/04",0,0,0,0,0,0,46937060
"6","2020/01/05",0,0,0,0,0,0,46937060
"7","2020/01/06",0,0,0,0,0,0,46937060
"8","2020/01/07",0,0,0,0,0,0,46937060
"9","2020/01/08",0,0,0,0,0,0,46937060
"10","2020/01/09",0,0,0,0,0,0,46937060
"11","2020/01/10",0,0,0,0,0,0,46937060
"12","2020/01/11",0,0,0,0,0,0,46937060
"13","2020/01/12",0,0,0,0,0,0,46937060
"14","2020/01/13",0,0,0,0,0,0,46937060
"15","2020/01/14",0,0,0,0,0,0,46937060
"16","2020/01/15",0,0,0,0,0,0,46937060
"17","2020/01/16",0,0,0,0,0,0,46937060
"18","2020/01/17",0,0,0,0,0,0,46937060
"19","2020/01/18",0,0,0,0,0,0,46937060
"20","2020/01/19",0,0,0,0,0,0,46937060
"21","2020/01/20",0,0,0,0,0,0,46937060
"22","2020/01/21",0,0,0,0,0,0,46937060
"23","2020/01/22",0,0,0,0,0,0,46937060
"24","2020/01/23",0,0,0,0,0,0,46937060
"25","2020/01/24",0,0,0,0,0,0,46937060
"26","2020/01/25",0,0,0,0,0,0,46937060
"27","2020/01/26",0,0,0,0,0,0,46937060
"28","2020/01/27",0,0,0,0,0,0,46937060
"29","2020/01/28",0,0,0,0,0,0,46937060
"30","2020/01/29",0,0,0,0,0,0,46937060
"31","2020/01/30",0,0,0,0,0,0,46937060
"32","2020/01/31",0,0,0,0,0,0,46937060
"33","2020/02/01",1,0,1,0,2.13051264821444e-08,2.13051264821444e-08,46937060
"34","2020/02/02",0,0,1,0,2.13051264821444e-08,0,46937060
"35","2020/02/03",0,0,1,0,2.13051264821444e-08,0,46937060
"36","2020/02/04",0,0,1,0,2.13051264821444e-08,0,46937060
"37","2020/02/05",0,0,1,0,2.13051264821444e-08,0,46937060
"38","2020/02/06",0,0,1,0,2.13051264821444e-08,0,46937060
"39","2020/02/07",0,0,1,0,2.13051264821444e-08,0,46937060
"40","2020/02/08",0,0,1,0,2.13051264821444e-08,0,46937060
"41","2020/02/09",0,0,1,0,2.13051264821444e-08,0,46937060
"42","2020/02/10",1,0,2,0,4.26102529642888e-08,2.13051264821444e-08,46937060
"43","2020/02/11",0,0,2,0,4.26102529642888e-08,0,46937060
