"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/06",1,0,1,0,1,2.05435832117838e-05,2.05435832117838e-05,2.05435832117838e-05,48677
"2","2020/03/07",1,0,2,0,2,4.10871664235676e-05,2.05435832117838e-05,4.10871664235676e-05,48677
"3","2020/03/08",1,0,3,0,3,6.16307496353514e-05,2.05435832117838e-05,6.16307496353514e-05,48677
"4","2020/03/09",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"5","2020/03/10",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"6","2020/03/11",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"7","2020/03/12",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"8","2020/03/13",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"9","2020/03/14",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"10","2020/03/15",0,0,3,0,3,6.16307496353514e-05,0,6.16307496353514e-05,48677
"11","2020/03/16",6,0,9,0,9,0.000184892248906054,0.000123261499270703,0.000184892248906054,48677
"12","2020/03/17",2,0,11,0,11,0.000225979415329622,4.10871664235676e-05,0.000225979415329622,48677
"13","2020/03/18",7,0,18,0,17,0.000369784497812108,0.000143805082482487,0.000349240914600325,48677
"14","2020/03/19",29,0,47,0,45,0.000965548410953839,0.00059576391314173,0.000924461244530271,48677
"15","2020/03/20",25,0,72,0,69,0.00147913799124843,0.000513589580294595,0.00141750724161308,48677
"16","2020/03/21",8,0,80,0,77,0.0016434866569427,0.00016434866569427,0.00158185590730735,48677
"17","2020/03/22",12,0,92,0,89,0.00189000965548411,0.000246522998541406,0.00182837890584876,48677
"18","2020/03/23",23,0,115,0,112,0.00236251206935514,0.000472502413871027,0.00230088131971979,48677
"19","2020/03/24",3,0,118,0,115,0.00242414281899049,6.16307496353514e-05,0.00236251206935514,48677
"20","2020/03/25",4,0,122,0,119,0.00250631715183762,8.21743328471352e-05,0.00244468640220227,48677
"21","2020/03/26",10,0,132,0,129,0.00271175298395546,0.000205435832117838,0.00265012223432011,48677
"22","2020/03/27",8,0,140,0,137,0.00287610164964973,0.00016434866569427,0.00281447090001438,48677
"23","2020/03/28",4,0,144,0,135,0.00295827598249687,8.21743328471352e-05,0.00277338373359081,48677
"24","2020/03/29",11,0,155,0,144,0.00318425539782649,0.000225979415329622,0.00295827598249687,48677
"25","2020/03/30",4,0,159,0,141,0.00326642973067362,8.21743328471352e-05,0.00289664523286152,48677
"26","2020/03/31",9,0,168,0,121,0.00345132197957968,0.000184892248906054,0.00248577356862584,48677
