"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,0,0,0,0,0,0,66647112
"2",NA,0,0,0,0,0,0,66647112
"3",NA,0,0,0,0,0,0,66647112
"4",NA,0,0,0,0,0,0,66647112
"5",NA,0,0,0,0,0,0,66647112
"6",NA,0,0,0,0,0,0,66647112
"7",NA,0,0,0,0,0,0,66647112
"8",NA,0,0,0,0,0,0,66647112
"9",NA,0,0,0,0,0,0,66647112
"10",NA,0,0,0,0,0,0,66647112
"11",NA,0,0,0,0,0,0,66647112
"12",NA,0,0,0,0,0,0,66647112
"13",NA,0,0,0,0,0,0,66647112
"14",NA,0,0,0,0,0,0,66647112
"15",NA,0,0,0,0,0,0,66647112
"16",NA,0,0,0,0,0,0,66647112
"17",NA,0,0,0,0,0,0,66647112
"18",NA,0,0,0,0,0,0,66647112
"19",NA,0,0,0,0,0,0,66647112
"20",NA,0,0,0,0,0,0,66647112
"21",NA,0,0,0,0,0,0,66647112
"22",NA,0,0,0,0,0,0,66647112
"23",NA,0,0,0,0,0,0,66647112
"24",NA,0,0,0,0,0,0,66647112
"25",NA,0,0,0,0,0,0,66647112
"26",NA,0,0,0,0,0,0,66647112
"27",NA,0,0,0,0,0,0,66647112
"28",NA,0,0,0,0,0,0,66647112
"29",NA,0,0,0,0,0,0,66647112
"30",NA,0,0,0,0,0,0,66647112
"31",NA,0,0,0,0,0,0,66647112
"32",NA,2,0,2,0,3.0008802181856e-08,3.0008802181856e-08,66647112
"33",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"34",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"35",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"36",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"37",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"38",NA,0,0,2,0,3.0008802181856e-08,0,66647112
"39",NA,1,0,3,0,4.5013203272784e-08,1.5004401090928e-08,66647112
"40",NA,0,0,3,0,4.5013203272784e-08,0,66647112
"41",NA,1,0,4,0,6.0017604363712e-08,1.5004401090928e-08,66647112
"42",NA,0,0,4,0,6.0017604363712e-08,0,66647112
"43",NA,4,0,8,0,1.20035208727424e-07,6.0017604363712e-08,66647112
"44",NA,0,0,8,0,1.20035208727424e-07,0,66647112
"45",NA,1,0,9,0,1.35039609818352e-07,1.5004401090928e-08,66647112
"46",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"47",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"48",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"49",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"50",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"51",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"52",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"53",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"54",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"55",NA,0,0,9,0,1.35039609818352e-07,0,66647112
"56",NA,4,0,13,0,1.95057214182064e-07,6.0017604363712e-08,66647112
"57",NA,0,0,13,0,1.95057214182064e-07,0,66647112
"58",NA,0,0,13,0,1.95057214182064e-07,0,66647112
"59",NA,0,0,13,0,1.95057214182064e-07,0,66647112
"60",NA,3,0,16,0,2.40070417454848e-07,4.5013203272784e-08,66647112
"61",NA,2,0,18,0,2.70079219636704e-07,3.0008802181856e-08,66647112
"62",NA,5,0,23,0,3.45101225091344e-07,7.502200545464e-08,66647112
"63",NA,13,0,36,0,5.40158439273408e-07,1.95057214182064e-07,66647112
"64",NA,4,0,40,0,6.0017604363712e-07,6.0017604363712e-08,66647112
"65",NA,11,0,51,0,7.65224455637328e-07,1.65048412000208e-07,66647112
"66",NA,34,0,85,0,1.27537409272888e-06,5.10149637091552e-07,66647112
"67",NA,30,0,115,0,1.72550612545672e-06,4.5013203272784e-07,66647112
"68",NA,48,1,163,1,2.44571737782126e-06,7.20211252364544e-07,66647112
"69",NA,43,1,206,2,3.09090662473117e-06,6.45189246909904e-07,66647112
"70",NA,67,0,273,2,4.09620149782334e-06,1.00529487309218e-06,66647112
"71",NA,48,1,321,3,4.81641275018789e-06,7.20211252364544e-07,66647112
"72",NA,52,4,373,7,5.59664160691614e-06,7.80228856728256e-07,66647112
"73",NA,83,0,456,7,6.84200689746316e-06,1.24536529054702e-06,66647112
"74",NA,134,2,590,9,8.85259664364751e-06,2.01058974618435e-06,66647112
"75",NA,117,1,707,10,1.06081115712861e-05,1.75551492763857e-06,66647112
"76",NA,433,18,1140,28,1.71050172436579e-05,6.49690567237182e-06,66647112
