"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,0,0,0,0,0,0,82913893
"2",NA,0,0,0,0,0,0,82913893
"3",NA,0,0,0,0,0,0,82913893
"4",NA,0,0,0,0,0,0,82913893
"5",NA,0,0,0,0,0,0,82913893
"6",NA,0,0,0,0,0,0,82913893
"7",NA,0,0,0,0,0,0,82913893
"8",NA,0,0,0,0,0,0,82913893
"9",NA,0,0,0,0,0,0,82913893
"10",NA,0,0,0,0,0,0,82913893
"11",NA,0,0,0,0,0,0,82913893
"12",NA,0,0,0,0,0,0,82913893
"13",NA,0,0,0,0,0,0,82913893
"14",NA,0,0,0,0,0,0,82913893
"15",NA,0,0,0,0,0,0,82913893
"16",NA,0,0,0,0,0,0,82913893
"17",NA,0,0,0,0,0,0,82913893
"18",NA,0,0,0,0,0,0,82913893
"19",NA,0,0,0,0,0,0,82913893
"20",NA,0,0,0,0,0,0,82913893
"21",NA,0,0,0,0,0,0,82913893
"22",NA,0,0,0,0,0,0,82913893
"23",NA,0,0,0,0,0,0,82913893
"24",NA,0,0,0,0,0,0,82913893
"25",NA,0,0,0,0,0,0,82913893
"26",NA,0,0,0,0,0,0,82913893
"27",NA,0,0,0,0,0,0,82913893
"28",NA,0,0,0,0,0,0,82913893
"29",NA,0,0,0,0,0,0,82913893
"30",NA,0,0,0,0,0,0,82913893
"31",NA,0,0,0,0,0,0,82913893
"32",NA,0,0,0,0,0,0,82913893
"33",NA,0,0,0,0,0,0,82913893
"34",NA,0,0,0,0,0,0,82913893
"35",NA,0,0,0,0,0,0,82913893
"36",NA,0,0,0,0,0,0,82913893
"37",NA,0,0,0,0,0,0,82913893
"38",NA,0,0,0,0,0,0,82913893
"39",NA,0,0,0,0,0,0,82913893
"40",NA,0,0,0,0,0,0,82913893
"41",NA,0,0,0,0,0,0,82913893
"42",NA,0,0,0,0,0,0,82913893
"43",NA,0,0,0,0,0,0,82913893
"44",NA,0,0,0,0,0,0,82913893
"45",NA,0,0,0,0,0,0,82913893
"46",NA,0,0,0,0,0,0,82913893
"47",NA,0,0,0,0,0,0,82913893
"48",NA,0,0,0,0,0,0,82913893
"49",NA,0,0,0,0,0,0,82913893
