"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1",NA,0,0,0,0,0,0,126860299
"2",NA,0,0,0,0,0,0,126860299
"3",NA,0,0,0,0,0,0,126860299
"4",NA,0,0,0,0,0,0,126860299
"5",NA,0,0,0,0,0,0,126860299
"6",NA,0,0,0,0,0,0,126860299
"7",NA,0,0,0,0,0,0,126860299
"8",NA,0,0,0,0,0,0,126860299
"9",NA,0,0,0,0,0,0,126860299
"10",NA,0,0,0,0,0,0,126860299
"11",NA,0,0,0,0,0,0,126860299
"12",NA,0,0,0,0,0,0,126860299
"13",NA,0,0,0,0,0,0,126860299
"14",NA,0,0,0,0,0,0,126860299
"15",NA,0,0,0,0,0,0,126860299
"16",NA,1,0,1,0,7.88268676554199e-09,7.88268676554199e-09,126860299
"17",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"18",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"19",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"20",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"21",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"22",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"23",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"24",NA,0,0,1,0,7.88268676554199e-09,0,126860299
"25",NA,1,0,2,0,1.5765373531084e-08,7.88268676554199e-09,126860299
"26",NA,0,0,2,0,1.5765373531084e-08,0,126860299
"27",NA,1,0,3,0,2.3648060296626e-08,7.88268676554199e-09,126860299
"28",NA,0,0,3,0,2.3648060296626e-08,0,126860299
"29",NA,1,0,4,0,3.1530747062168e-08,7.88268676554199e-09,126860299
"30",NA,3,0,7,0,5.51788073587939e-08,2.3648060296626e-08,126860299
"31",NA,4,0,11,0,8.67095544209619e-08,3.1530747062168e-08,126860299
"32",NA,3,0,14,0,1.10357614717588e-07,2.3648060296626e-08,126860299
"33",NA,1,0,15,0,1.1824030148313e-07,7.88268676554199e-09,126860299
"34",NA,4,0,19,0,1.49771048545298e-07,3.1530747062168e-08,126860299
"35",NA,1,0,20,0,1.5765373531084e-07,7.88268676554199e-09,126860299
"36",NA,0,0,20,0,1.5765373531084e-07,0,126860299
"37",NA,5,0,25,0,1.9706716913855e-07,3.941343382771e-08,126860299
"38",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"39",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"40",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"41",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"42",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"43",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"44",NA,0,0,25,0,1.9706716913855e-07,0,126860299
"45",NA,4,1,29,1,2.28597916200718e-07,3.1530747062168e-08,126860299
"46",NA,1,0,30,1,2.3648060296626e-07,7.88268676554199e-09,126860299
"47",NA,8,0,38,1,2.99542097090596e-07,6.30614941243359e-08,126860299
"48",NA,14,0,52,1,4.09899711808184e-07,1.10357614717588e-07,126860299
"49",NA,7,0,59,1,4.65078519166978e-07,5.51788073587939e-08,126860299
"50",NA,0,0,59,1,4.65078519166978e-07,0,126860299
"51",NA,7,0,66,1,5.20257326525771e-07,5.51788073587939e-08,126860299
"52",NA,18,0,84,1,6.62145688305527e-07,1.41888361779756e-07,126860299
"53",NA,9,0,93,1,7.33089869195405e-07,7.09441808898779e-08,126860299
"54",NA,12,0,105,1,8.27682110381909e-07,9.45922411865039e-08,126860299
"55",NA,27,0,132,1,1.04051465305154e-06,2.12832542669634e-07,126860299
"56",NA,12,0,144,1,1.13510689423805e-06,9.45922411865039e-08,126860299
"57",NA,0,0,144,1,1.13510689423805e-06,0,126860299
"58",NA,20,0,164,1,1.29276062954889e-06,1.5765373531084e-07,126860299
"59",NA,22,2,186,3,1.46617973839081e-06,1.73419108841924e-07,126860299
"60",NA,24,0,210,3,1.65536422076382e-06,1.89184482373008e-07,126860299
"61",NA,20,0,230,3,1.81301795607466e-06,1.5765373531084e-07,126860299
"62",NA,9,2,239,5,1.88396213696454e-06,7.09441808898779e-08,126860299
"63",NA,15,1,254,6,2.00220243844767e-06,1.1824030148313e-07,126860299
"64",NA,0,0,254,6,2.00220243844767e-06,0,126860299
"65",NA,14,0,268,6,2.11256005316525e-06,1.10357614717588e-07,126860299
"66",NA,49,0,317,6,2.49881170467681e-06,3.86251651511558e-07,126860299
"67",NA,32,0,349,6,2.75105768117416e-06,2.52245976497344e-07,126860299
"68",NA,59,0,408,6,3.21613620034113e-06,4.65078519166978e-07,126860299
"69",NA,47,0,455,6,3.58662247832161e-06,3.70486277980474e-07,126860299
"70",NA,33,1,488,7,3.84675114158449e-06,2.60128663262886e-07,126860299
"71",NA,26,2,514,9,4.05170099748858e-06,2.04949855904092e-07,126860299
"72",NA,54,3,568,12,4.47736608282785e-06,4.25665085339268e-07,126860299
"73",NA,51,3,619,15,4.87938310787049e-06,4.02017025042642e-07,126860299
"74",NA,56,4,675,19,5.32081356674084e-06,4.41430458870352e-07,126860299
"75",NA,62,2,737,21,5.80954014620445e-06,4.88726579463604e-07,126860299
"76",NA,43,1,780,22,6.14849567712275e-06,3.38955530918306e-07,126860299
"77",NA,34,2,814,24,6.41650702715118e-06,2.68011350028428e-07,126860299
"78",NA,10,4,824,28,6.4953338948066e-06,7.88268676554199e-08,126860299
"79",NA,5,0,829,28,6.53474732863431e-06,3.941343382771e-08,126860299
"80",NA,44,1,873,29,6.88158554631816e-06,3.46838217683848e-07,126860299
"81",NA,77,4,950,33,7.48855242726489e-06,6.06966880946733e-07,126860299
"82",NA,57,2,1007,35,7.93786557290079e-06,4.49313145635894e-07,126860299
"83",NA,39,1,1046,36,8.24529035675692e-06,3.07424783856138e-07,126860299
"84",NA,43,5,1089,41,8.58424588767523e-06,3.38955530918306e-07,126860299
"85",NA,39,1,1128,42,8.89167067153137e-06,3.07424783856138e-07,126860299
"86",NA,65,1,1193,43,9.4040453112916e-06,5.1237463976023e-07,126860299
"87",NA,75,2,1268,45,9.99524681870725e-06,5.91201507415649e-07,126860299
"88",NA,96,1,1364,46,1.07519847481993e-05,7.56737929492031e-07,126860299
"89",NA,135,3,1499,49,1.18161474615474e-05,1.06416271334817e-06,126860299
"90",NA,194,3,1693,52,1.33453886940626e-05,1.52924123251515e-06,126860299
"91",NA,173,2,1866,54,1.47090935045014e-05,1.36370481043876e-06,126860299
"92",NA,87,2,1953,56,1.53948872531035e-05,6.85793748602153e-07,126860299
"93",NA,0,0,1953,56,1.53948872531035e-05,0,126860299
"94",NA,225,1,2178,57,1.71684917753505e-05,1.77360452224695e-06,126860299
"95",NA,439,6,2617,63,2.06289912654234e-05,3.46049949007293e-06,126860299
"96",NA,318,6,2935,69,2.31356856568657e-05,2.50669439144235e-06,126860299
"97",NA,336,1,3271,70,2.57842684100879e-05,2.64858275322211e-06,126860299
"98",NA,383,3,3654,73,2.88033374412904e-05,3.01906903120258e-06,126860299
"99",NA,163,7,3817,80,3.00882153840738e-05,1.28487794278334e-06,126860299
"100",NA,89,0,3906,80,3.0789774506207e-05,7.01559122133237e-07,126860299
"101",NA,351,1,4257,81,3.35565975609123e-05,2.76682305470524e-06,126860299
"102",NA,410,4,4667,85,3.67884991347845e-05,3.23190157387222e-06,126860299
"103",NA,680,3,5347,88,4.2148726135353e-05,5.36022700056855e-06,126860299
"104",NA,1401,10,6748,98,5.31923702938774e-05,1.10436441585243e-05,126860299
"105",NA,507,4,7255,102,5.71888924840072e-05,3.99652219012979e-06,126860299
"106",NA,390,7,7645,109,6.02631403225685e-05,3.07424783856138e-06,126860299
"107",NA,455,10,8100,119,6.38497628008901e-05,3.58662247832161e-06,126860299
"108",NA,482,17,8582,136,6.76492178218814e-05,3.79945502099124e-06,126860299
"109",NA,585,12,9167,148,7.22605895797234e-05,4.61137175784207e-06,126860299
