"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/08",1,0,1,0,1,2.47325300537339e-07,2.47325300537339e-07,2.47325300537339e-07,4043258
"2","2020/03/11",2,0,3,0,3,7.41975901612017e-07,4.94650601074678e-07,7.41975901612017e-07,4043258
"3","2020/03/12",1,0,4,0,4,9.89301202149356e-07,2.47325300537339e-07,9.89301202149356e-07,4043258
"4","2020/03/13",2,0,6,0,6,1.48395180322403e-06,4.94650601074678e-07,1.48395180322403e-06,4043258
"5","2020/03/14",2,0,8,0,8,1.97860240429871e-06,4.94650601074678e-07,1.97860240429871e-06,4043258
"6","2020/03/15",12,0,20,0,20,4.94650601074678e-06,2.96790360644807e-06,4.94650601074678e-06,4043258
"7","2020/03/16",3,0,23,0,23,5.6884819123588e-06,7.41975901612017e-07,5.6884819123588e-06,4043258
"8","2020/03/17",6,0,29,0,29,7.17243371558283e-06,1.48395180322403e-06,7.17243371558283e-06,4043258
"9","2020/03/18",1,0,30,0,30,7.41975901612017e-06,2.47325300537339e-07,7.41975901612017e-06,4043258
"10","2020/03/19",6,1,36,1,36,8.9037108193442e-06,1.48395180322403e-06,8.9037108193442e-06,4043258
"11","2020/03/20",13,0,49,1,49,1.21189397263296e-05,3.21522890698541e-06,1.21189397263296e-05,4043258
"12","2020/03/21",17,0,66,1,66,1.63234698354644e-05,4.20453010913476e-06,1.63234698354644e-05,4043258
"13","2020/03/22",14,0,80,1,79,1.97860240429871e-05,3.46255420752275e-06,1.95386987424498e-05,4043258
"14","2020/03/23",14,0,94,1,91,2.32485782505099e-05,3.46255420752275e-06,2.25066023488978e-05,4043258
"15","2020/03/24",15,0,109,1,105,2.69584577585699e-05,3.70987950806008e-06,2.59691565564206e-05,4043258
"16","2020/03/25",16,0,125,1,119,3.09156625671674e-05,3.95720480859742e-06,2.94317107639433e-05,4043258
"17","2020/03/26",24,0,149,1,141,3.68514697800635e-05,5.93580721289613e-06,3.48728673757648e-05,4043258
"18","2020/03/27",28,0,177,1,157,4.3776578195109e-05,6.92510841504549e-06,3.88300721843622e-05,4043258
"19","2020/03/28",22,1,199,2,176,4.92177348069305e-05,5.44115661182146e-06,4.35292528945717e-05,4043258
"20","2020/03/29",32,0,231,2,202,5.71321444241253e-05,7.91440961719485e-06,4.99597107085425e-05,4043258
"21","2020/03/30",32,0,263,2,233,6.50465540413201e-05,7.91440961719485e-06,5.76267950252e-05,4043258
"22","2020/03/31",35,0,298,2,262,7.3702939560127e-05,8.65638551880686e-06,6.47992287407828e-05,4043258
"23","2020/04/01",55,2,353,4,304,8.73058310896807e-05,1.36028915295536e-05,7.5186891363351e-05,4043258
"24","2020/04/02",70,1,423,5,357,0.000104618602127294,1.73127710376137e-05,8.829513229183e-05,4043258
"25","2020/04/03",82,1,505,6,425,0.000124899276771356,2.02806746440618e-05,0.000105113252728369,4043258
"26","2020/04/04",86,2,591,8,497,0.000146169252617567,2.12699758462111e-05,0.000122920674367057,4043258
"27","2020/04/05",161,4,752,12,643,0.000185988626004079,3.98193733865116e-05,0.000159030168245509,4043258
"28","2020/04/06",112,3,864,15,739,0.000213689059664261,2.7700433660182e-05,0.000182773397097093,4043258
"29","2020/04/07",101,4,965,19,816,0.000238668915018532,2.49798553542712e-05,0.000201817445238469,4043258
"30","2020/04/08",91,3,1056,22,879,0.00026117551736743,2.25066023488978e-05,0.000217398939172321,4043258
"31","2020/04/09",118,5,1174,27,975,0.000290359902830836,2.9184385463406e-05,0.000241142168023905,4043258
"32","2020/04/10",115,2,1289,29,1058,0.00031880231239263,2.8442409561794e-05,0.000261670167968505,4043258
"33","2020/04/11",149,0,1438,29,1175,0.000355653782172693,3.68514697800635e-05,0.000290607228131373,4043258
"34","2020/04/12",122,1,1560,30,1262,0.000385827468838249,3.01736866655554e-05,0.000312124529278122,4043258
"35","2020/04/13",102,2,1662,32,1309,0.000411054649493057,2.52271806548086e-05,0.000323748818403377,4043258
"36","2020/04/14",50,4,1712,36,1289,0.000423420914519924,1.23662650268669e-05,0.00031880231239263,4043258
"37","2020/04/15",222,4,1934,40,1429,0.000478327131239214,5.49062167192892e-05,0.000353427854467857,4043258
"38","2020/04/16",115,6,2049,46,1458,0.000506769540801008,2.8442409561794e-05,0.00036060028818344,4043258
"39","2020/04/17",105,8,2154,54,1402,0.000532738697357428,2.59691565564206e-05,0.000346750071353349,4043258
"40","2020/04/18",110,2,2264,56,1400,0.000559944480416535,2.72057830591073e-05,0.000346255420752275,4043258
"41","2020/04/19",87,4,2351,60,1386,0.000581461781563284,2.15173011467485e-05,0.000342792866544752,4043258
"42","2020/04/20",121,7,2472,67,1416,0.000611388142928302,2.9926361365018e-05,0.000350212625560872,4043258
"43","2020/04/21",76,3,2548,70,1374,0.00063018486576914,1.87967228408378e-05,0.000339824962938304,4043258
"44","2020/04/22",66,3,2614,73,1325,0.000646508335604604,1.63234698354644e-05,0.000327706023211974,4043258
"45","2020/04/23",164,3,2778,76,1340,0.000687069684892728,4.05613492881236e-05,0.000331415902720034,4043258
"46","2020/04/24",148,4,2926,80,1366,0.000723673829372254,3.66041444795262e-05,0.000337846360534005,4043258
"47","2020/04/25",184,7,3110,87,1448,0.000769181684671124,4.55078552988704e-05,0.000358127035178067,4043258
"48","2020/04/26",194,7,3304,94,1592,0.000817162792975368,4.79811083042438e-05,0.000393741878455444,4043258
"49","2020/04/27",104,2,3408,96,1474,0.000842884624231251,2.57218312558832e-05,0.000364557492992038,4043258
"50","2020/04/28",73,6,3481,102,1432,0.000860939371170477,1.80547469392257e-05,0.000354169830369469,4043258
"51","2020/04/29",157,5,3638,107,1484,0.000899769443354839,3.88300721843622e-05,0.000367030745997411,4043258
"52","2020/04/30",133,4,3771,111,1507,0.000932663708326305,3.28942649714661e-05,0.00037271922790977,4043258
"53","2020/05/01",126,8,3897,119,1546,0.00096382669619401,3.11629878677047e-05,0.000382364914630726,4043258
"54","2020/05/02",83,3,3980,122,1508,0.000984354696138609,2.05279999445991e-05,0.000372966553210307,4043258
"55","2020/05/03",72,2,4052,124,1504,0.0010021621177773,1.78074216386884e-05,0.000371977252008158,4043258
"56","2020/05/04",69,1,4121,125,1507,0.00101922756351437,1.70654457370764e-05,0.00037271922790977,4043258
"57","2020/05/05",127,7,4248,132,1470,0.00105063787668262,3.1410313168242e-05,0.000363568191789888,4043258
"58","2020/05/06",115,4,4363,136,1437,0.00107908028624441,2.8442409561794e-05,0.000355406456872156,4043258
"59","2020/05/07",113,7,4476,143,1366,0.00110702804520513,2.79477589607193e-05,0.000337846360534005,4043258
"60","2020/05/08",129,2,4605,145,1301,0.00113893300897445,3.19049637693167e-05,0.000321770215999078,4043258
"61","2020/05/09",123,7,4728,152,1320,0.00116935402094054,3.04210119660927e-05,0.000326469396709287,4043258
"62","2020/05/10",139,9,4867,161,1386,0.00120373223771523,3.43782167746901e-05,0.000342792866544752,4043258
"63","2020/05/11",60,8,4927,169,1289,0.00121857175574747,1.48395180322403e-05,0.00031880231239263,4043258
"64","2020/05/12",68,6,4995,175,1224,0.00123538987618401,1.6818120436539e-05,0.000302726167857703,4043258
"65","2020/05/13",159,7,5154,182,1257,0.00127471459896944,3.93247227854369e-05,0.000310887902775435,4043258
"66","2020/05/14",252,3,5406,185,1426,0.00133704057470485,6.23259757354094e-05,0.000352685878566245,4043258
"67","2020/05/15",147,9,5553,194,1501,0.00137339739388384,3.63568191789888e-05,0.000371235276106546,4043258
"68","2020/05/16",192,3,5745,197,1624,0.00142088385158701,4.74864577031691e-05,0.000401656288072638,4043258
"69","2020/05/17",189,10,5934,207,1686,0.00146762833338857,4.67444818015571e-05,0.000416990456705953,4043258
"70","2020/05/18",126,4,6060,211,1697,0.00149879132125627,3.11629878677047e-05,0.000419711035011864,4043258
"71","2020/05/19",78,4,6138,215,1662,0.00151808269469819,1.92913734419124e-05,0.000411054649493057,4043258
"72","2020/05/20",202,6,6340,221,1735,0.00156804240540673,4.99597107085425e-05,0.000429109396432283,4043258
"73","2020/05/21",213,7,6553,228,1825,0.00162072269442118,5.26802890144532e-05,0.000451368673480644,4043258
"74","2020/05/22",151,5,6704,233,1837,0.00165806881480232,3.73461203811382e-05,0.000454336577087092,4043258
"75","2020/05/23",143,4,6847,237,1920,0.00169343633277916,3.53675179768395e-05,0.000474864577031691,4043258
"76","2020/05/24",147,5,6994,242,1999,0.00172979315195815,3.63568191789888e-05,0.000494403275774141,4043258
"77","2020/05/25",99,8,7093,250,1939,0.00175427835671135,2.44852047531966e-05,0.0004795637577419,4043258
"78","2020/05/26",54,11,7147,261,1741,0.00176763392294036,1.33555662290163e-05,0.000430593348235507,4043258
"79","2020/05/27",158,6,7305,267,1752,0.00180671132042526,3.90773974848996e-05,0.000433313926541418,4043258
"80","2020/05/28",232,7,7537,274,1792,0.00186409079014992,5.73794697246626e-05,0.000443206938562911,4043258
"81","2020/05/29",188,8,7725,282,1791,0.00191058794665094,4.64971565010197e-05,0.000442959613262374,4043258
"82","2020/05/30",171,6,7896,288,1836,0.00195288057304283,4.2292626391885e-05,0.000454089251786554,4043258
"83","2020/05/31",202,3,8098,291,1960,0.00200284028375137,4.99597107085425e-05,0.000484757589053184,4043258
"84","2020/06/01",153,4,8251,295,1911,0.00204068105473358,3.78407709822129e-05,0.000472638649326855,4043258
"85","2020/06/02",109,12,8360,307,1807,0.00206763951249215,2.69584577585699e-05,0.000446916818070971,4043258
