"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","p_cases_active","population"
"1",NA,3,0,3,0,1.11237567625952e-07,1.11237567625952e-07,1.11237567625952e-07,26969306
"2",NA,0,0,3,0,1.11237567625952e-07,0,1.11237567625952e-07,26969306
"3",NA,0,0,3,0,1.11237567625952e-07,0,1.11237567625952e-07,26969306
"4",NA,14,0,17,0,6.30346216547063e-07,5.1910864892111e-07,6.30346216547063e-07,26969306
"5",NA,2,0,19,0,7.04504594964364e-07,7.41583784173015e-08,7.04504594964364e-07,26969306
"6",NA,0,0,19,0,7.04504594964364e-07,0,7.04504594964364e-07,26969306
"7",NA,4,0,23,0,8.52821351798967e-07,1.48316756834603e-07,8.52821351798967e-07,26969306
"8",NA,1,0,24,0,8.89900541007618e-07,3.70791892086508e-08,8.89900541007618e-07,26969306
"9",NA,4,0,28,0,1.03821729784222e-06,1.48316756834603e-07,1.03821729784222e-06,26969306
"10",NA,9,0,37,0,1.37193000072008e-06,3.33712702877857e-07,1.37193000072008e-06,26969306
"11",NA,7,0,44,0,1.63148432518063e-06,2.59554324460555e-07,1.63148432518063e-06,26969306
"12",NA,2,0,46,0,1.70564270359793e-06,7.41583784173015e-08,1.70564270359793e-06,26969306
"13",NA,8,0,54,0,2.00227621726714e-06,2.96633513669206e-07,1.89103864964119e-06,26969306
"14",NA,5,0,59,0,2.18767216331039e-06,1.85395946043254e-07,2.07643459568444e-06,26969306
"15",NA,6,0,65,0,2.4101472985623e-06,2.22475135251905e-07,2.29890973093635e-06,26969306
"16",NA,6,0,71,0,2.6326224338142e-06,2.22475135251905e-07,2.00227621726714e-06,26969306
"17",NA,1,0,72,0,2.66970162302285e-06,3.70791892086508e-08,1.96519702805849e-06,26969306
"18",NA,5,0,77,0,2.85509756906611e-06,1.85395946043254e-07,2.15059297410174e-06,26969306
"19",NA,8,0,85,0,3.15173108273531e-06,2.96633513669206e-07,2.29890973093635e-06,26969306
"20",NA,8,0,93,0,3.44836459640452e-06,2.96633513669206e-07,2.5584640553969e-06,26969306
"21",NA,0,0,93,0,3.44836459640452e-06,0,2.4101472985623e-06,26969306
"22",NA,9,0,102,0,3.78207729928238e-06,3.33712702877857e-07,2.4101472985623e-06,26969306
"23",NA,0,0,102,0,3.78207729928238e-06,0,2.15059297410174e-06,26969306
