"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/10",1,0,1,0,1,3.10061559622047e-07,3.10061559622047e-07,3.10061559622047e-07,3225166
"2","2020/03/15",0,0,1,0,1,3.10061559622047e-07,0,3.10061559622047e-07,3225166
"3","2020/03/18",3,0,4,0,4,1.24024623848819e-06,9.30184678866142e-07,1.24024623848819e-06,3225166
"4","2020/03/19",1,0,5,0,5,1.55030779811024e-06,3.10061559622047e-07,1.55030779811024e-06,3225166
"5","2020/03/20",0,0,5,0,5,1.55030779811024e-06,0,1.55030779811024e-06,3225166
"6","2020/03/21",1,0,6,0,6,1.86036935773228e-06,3.10061559622047e-07,1.86036935773228e-06,3225166
"7","2020/03/22",4,0,10,0,10,3.10061559622047e-06,1.24024623848819e-06,3.10061559622047e-06,3225166
"8","2020/03/23",0,0,10,0,10,3.10061559622047e-06,0,3.10061559622047e-06,3225166
"9","2020/03/24",0,0,10,0,10,3.10061559622047e-06,0,3.10061559622047e-06,3225166
"10","2020/03/25",0,0,10,0,10,3.10061559622047e-06,0,3.10061559622047e-06,3225166
"11","2020/03/26",0,0,10,0,10,3.10061559622047e-06,0,3.10061559622047e-06,3225166
"12","2020/03/27",1,0,11,0,11,3.41067715584252e-06,3.10061559622047e-07,3.41067715584252e-06,3225166
"13","2020/03/28",0,0,11,0,10,3.41067715584252e-06,0,3.10061559622047e-06,3225166
"14","2020/03/29",1,0,12,0,11,3.72073871546457e-06,3.10061559622047e-07,3.41067715584252e-06,3225166
"15","2020/03/30",0,0,12,0,8,3.72073871546457e-06,0,2.48049247697638e-06,3225166
"16","2020/03/31",0,0,12,0,7,3.72073871546457e-06,0,2.17043091735433e-06,3225166
"17","2020/04/01",0,0,12,0,7,3.72073871546457e-06,0,2.17043091735433e-06,3225166
"18","2020/04/02",2,0,14,0,8,4.34086183470866e-06,6.20123119244095e-07,2.48049247697638e-06,3225166
"19","2020/04/03",0,0,14,0,4,4.34086183470866e-06,0,1.24024623848819e-06,3225166
"20","2020/04/04",0,0,14,0,4,4.34086183470866e-06,0,1.24024623848819e-06,3225166
"21","2020/04/05",0,0,14,0,4,4.34086183470866e-06,0,1.24024623848819e-06,3225166
"22","2020/04/06",0,0,14,0,4,4.34086183470866e-06,0,1.24024623848819e-06,3225166
"23","2020/04/07",1,0,15,0,5,4.65092339433071e-06,3.10061559622047e-07,1.55030779811024e-06,3225166
"24","2020/04/08",0,0,15,0,4,4.65092339433071e-06,0,1.24024623848819e-06,3225166
"25","2020/04/09",1,0,16,0,5,4.96098495395276e-06,3.10061559622047e-07,1.55030779811024e-06,3225166
"26","2020/04/10",0,0,16,0,4,4.96098495395276e-06,0,1.24024623848819e-06,3225166
"27","2020/04/11",0,0,16,0,4,4.96098495395276e-06,0,1.24024623848819e-06,3225166
"28","2020/04/12",0,0,16,0,4,4.96098495395276e-06,0,1.24024623848819e-06,3225166
"29","2020/04/13",0,0,16,0,4,4.96098495395276e-06,0,1.24024623848819e-06,3225166
"30","2020/04/14",0,0,16,0,2,4.96098495395276e-06,0,6.20123119244095e-07,3225166
"31","2020/04/15",14,0,30,0,16,9.30184678866142e-06,4.34086183470866e-06,4.96098495395276e-06,3225166
"32","2020/04/16",0,0,30,0,16,9.30184678866142e-06,0,4.96098495395276e-06,3225166
"33","2020/04/17",1,0,31,0,17,9.61190834828347e-06,3.10061559622047e-07,5.27104651357481e-06,3225166
"34","2020/04/18",0,0,31,0,17,9.61190834828347e-06,0,5.27104651357481e-06,3225166
"35","2020/04/19",0,0,31,0,16,9.61190834828347e-06,0,4.96098495395276e-06,3225166
"36","2020/04/20",1,0,32,0,17,9.92196990790551e-06,3.10061559622047e-07,5.27104651357481e-06,3225166
"37","2020/04/21",2,0,34,0,18,1.05420930271496e-05,6.20123119244095e-07,5.58110807319685e-06,3225166
"38","2020/04/22",1,0,35,0,19,1.08521545867717e-05,3.10061559622047e-07,5.8911696328189e-06,3225166
"39","2020/04/23",0,0,35,0,19,1.08521545867717e-05,0,5.8911696328189e-06,3225166
"40","2020/04/24",1,0,36,0,20,1.11622161463937e-05,3.10061559622047e-07,6.20123119244095e-06,3225166
"41","2020/04/25",0,0,36,0,20,1.11622161463937e-05,0,6.20123119244095e-06,3225166
"42","2020/04/26",2,0,38,0,22,1.17823392656378e-05,6.20123119244095e-07,6.82135431168504e-06,3225166
"43","2020/04/27",0,0,38,0,8,1.17823392656378e-05,0,2.48049247697638e-06,3225166
"44","2020/04/28",0,0,38,0,8,1.17823392656378e-05,0,2.48049247697638e-06,3225166
"45","2020/04/29",0,0,38,0,7,1.17823392656378e-05,0,2.17043091735433e-06,3225166
"46","2020/04/30",0,0,38,0,7,1.17823392656378e-05,0,2.17043091735433e-06,3225166
"47","2020/05/01",0,0,38,0,7,1.17823392656378e-05,0,2.17043091735433e-06,3225166
"48","2020/05/02",1,0,39,0,7,1.20924008252598e-05,3.10061559622047e-07,2.17043091735433e-06,3225166
"49","2020/05/03",0,0,39,0,5,1.20924008252598e-05,0,1.55030779811024e-06,3225166
"50","2020/05/04",1,0,40,0,5,1.24024623848819e-05,3.10061559622047e-07,1.55030779811024e-06,3225166
"51","2020/05/05",1,0,41,0,6,1.27125239445039e-05,3.10061559622047e-07,1.86036935773228e-06,3225166
"52","2020/05/06",0,0,41,0,5,1.27125239445039e-05,0,1.55030779811024e-06,3225166
"53","2020/05/07",0,0,41,0,5,1.27125239445039e-05,0,1.55030779811024e-06,3225166
"54","2020/05/08",1,0,42,0,4,1.3022585504126e-05,3.10061559622047e-07,1.24024623848819e-06,3225166
"55","2020/05/09",0,0,42,0,4,1.3022585504126e-05,0,1.24024623848819e-06,3225166
"56","2020/05/10",0,0,42,0,4,1.3022585504126e-05,0,1.24024623848819e-06,3225166
"57","2020/05/11",0,0,42,0,4,1.3022585504126e-05,0,1.24024623848819e-06,3225166
"58","2020/05/12",0,0,42,0,4,1.3022585504126e-05,0,1.24024623848819e-06,3225166
"59","2020/05/13",0,0,42,0,4,1.3022585504126e-05,0,1.24024623848819e-06,3225166
"60","2020/05/14",19,0,61,0,22,1.89137551369449e-05,5.8911696328189e-06,6.82135431168504e-06,3225166
"61","2020/05/15",0,0,61,0,22,1.89137551369449e-05,0,6.82135431168504e-06,3225166
"62","2020/05/16",74,0,135,0,95,4.18583105489764e-05,2.29445554120315e-05,2.94558481640945e-05,3225166
"63","2020/05/17",1,0,136,0,95,4.21683721085984e-05,3.10061559622047e-07,2.94558481640945e-05,3225166
"64","2020/05/18",4,0,140,0,99,4.34086183470866e-05,1.24024623848819e-06,3.06960944025827e-05,3225166
"65","2020/05/19",0,0,140,0,99,4.34086183470866e-05,0,3.06960944025827e-05,3225166
"66","2020/05/20",0,0,140,0,98,4.34086183470866e-05,0,3.03860328429606e-05,3225166
"67","2020/05/21",0,0,140,0,98,4.34086183470866e-05,0,3.03860328429606e-05,3225166
"68","2020/05/22",1,0,141,0,99,4.37186799067087e-05,3.10061559622047e-07,3.06960944025827e-05,3225166
"69","2020/05/23",0,0,141,0,99,4.37186799067087e-05,0,3.06960944025827e-05,3225166
"70","2020/05/24",0,0,141,0,99,4.37186799067087e-05,0,3.06960944025827e-05,3225166
"71","2020/05/25",0,0,141,0,99,4.37186799067087e-05,0,3.06960944025827e-05,3225166
"72","2020/05/26",0,0,141,0,80,4.37186799067087e-05,0,2.48049247697638e-05,3225166
"73","2020/05/27",7,0,148,0,87,4.5889110824063e-05,2.17043091735433e-06,2.69753556871181e-05,3225166
"74","2020/05/28",13,0,161,0,26,4.99199110991496e-05,4.03080027508662e-06,8.06160055017323e-06,3225166
"75","2020/05/29",18,0,179,0,43,5.55010191723465e-05,5.58110807319685e-06,1.3332647063748e-05,3225166
"76","2020/05/30",0,0,179,0,39,5.55010191723465e-05,0,1.20924008252598e-05,3225166
"77","2020/05/31",0,0,179,0,39,5.55010191723465e-05,0,1.20924008252598e-05,3225166
"78","2020/06/01",6,0,185,0,45,5.73613885300788e-05,1.86036935773228e-06,1.39527701829921e-05,3225166
"79","2020/06/02",0,0,185,0,45,5.73613885300788e-05,0,1.39527701829921e-05,3225166
"80","2020/06/03",0,0,185,0,44,5.73613885300788e-05,0,1.36427086233701e-05,3225166
"81","2020/06/04",1,0,186,0,45,5.76714500897008e-05,3.10061559622047e-07,1.39527701829921e-05,3225166
"82","2020/06/05",5,0,191,0,50,5.9221757887811e-05,1.55030779811024e-06,1.55030779811024e-05,3225166
"83","2020/06/06",0,0,191,0,50,5.9221757887811e-05,0,1.55030779811024e-05,3225166
"84","2020/06/07",2,0,193,0,52,5.98418810070551e-05,6.20123119244095e-07,1.61232011003465e-05,3225166
"85","2020/06/08",1,0,194,0,46,6.01519425666772e-05,3.10061559622047e-07,1.42628317426142e-05,3225166
"86","2020/06/09",0,0,194,0,33,6.01519425666772e-05,0,1.02320314675276e-05,3225166
"87","2020/06/10",0,0,194,0,15,6.01519425666772e-05,0,4.65092339433071e-06,3225166
"88","2020/06/11",0,0,194,0,15,6.01519425666772e-05,0,4.65092339433071e-06,3225166
"89","2020/06/12",3,0,197,0,18,6.10821272455433e-05,9.30184678866142e-07,5.58110807319685e-06,3225166
"90","2020/06/13",0,0,197,0,12,6.10821272455433e-05,0,3.72073871546457e-06,3225166
"91","2020/06/14",0,0,197,0,12,6.10821272455433e-05,0,3.72073871546457e-06,3225166
"92","2020/06/15",0,0,197,0,12,6.10821272455433e-05,0,3.72073871546457e-06,3225166
"93","2020/06/16",0,0,197,0,11,6.10821272455433e-05,0,3.41067715584252e-06,3225166
"94","2020/06/17",0,0,197,0,6,6.10821272455433e-05,0,1.86036935773228e-06,3225166
"95","2020/06/18",4,0,201,0,10,6.23223734840315e-05,1.24024623848819e-06,3.10061559622047e-06,3225166
"96","2020/06/19",3,0,204,0,11,6.32525581628977e-05,9.30184678866142e-07,3.41067715584252e-06,3225166
"97","2020/06/20",0,0,204,0,10,6.32525581628977e-05,0,3.10061559622047e-06,3225166
"98","2020/06/21",2,0,206,0,12,6.38726812821418e-05,6.20123119244095e-07,3.72073871546457e-06,3225166
"99","2020/06/22",7,0,213,0,19,6.60431121994961e-05,2.17043091735433e-06,5.8911696328189e-06,3225166
"100","2020/06/23",2,0,215,0,21,6.66632353187402e-05,6.20123119244095e-07,6.51129275206299e-06,3225166
"101","2020/06/24",0,0,215,0,18,6.66632353187402e-05,0,5.58110807319685e-06,3225166
