"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/08",2,0,2,0,2,3.76678337417154e-06,3.76678337417154e-06,3.76678337417154e-06,530957
"2","2020/03/09",2,0,4,0,4,7.53356674834309e-06,3.76678337417154e-06,7.53356674834309e-06,530957
"3","2020/03/11",2,0,6,0,6,1.13003501225146e-05,3.76678337417154e-06,1.13003501225146e-05,530957
"4","2020/03/12",2,0,8,0,8,1.50671334966862e-05,3.76678337417154e-06,1.50671334966862e-05,530957
"5","2020/03/14",1,0,9,0,9,1.69505251837719e-05,1.88339168708577e-06,1.69505251837719e-05,530957
"6","2020/03/15",0,0,9,0,9,1.69505251837719e-05,0,1.69505251837719e-05,530957
"7","2020/03/16",4,0,13,0,13,2.4484091932115e-05,7.53356674834309e-06,2.4484091932115e-05,530957
"8","2020/03/17",0,0,13,0,13,2.4484091932115e-05,0,2.4484091932115e-05,530957
"9","2020/03/18",0,0,13,0,13,2.4484091932115e-05,0,2.4484091932115e-05,530957
"10","2020/03/19",0,0,13,0,13,2.4484091932115e-05,0,2.4484091932115e-05,530957
"11","2020/03/20",0,0,13,0,13,2.4484091932115e-05,0,2.4484091932115e-05,530957
"12","2020/03/21",0,0,13,0,13,2.4484091932115e-05,0,2.4484091932115e-05,530957
"13","2020/03/22",0,0,13,0,11,2.4484091932115e-05,0,2.07173085579435e-05,530957
"14","2020/03/23",0,0,13,0,9,2.4484091932115e-05,0,1.69505251837719e-05,530957
"15","2020/03/24",0,0,13,0,7,2.4484091932115e-05,0,1.31837418096004e-05,530957
"16","2020/03/25",0,0,13,0,5,2.4484091932115e-05,0,9.41695843542886e-06,530957
"17","2020/03/26",0,0,13,0,4,2.4484091932115e-05,0,7.53356674834309e-06,530957
"18","2020/03/27",0,0,13,0,4,2.4484091932115e-05,0,7.53356674834309e-06,530957
"19","2020/03/28",1,0,14,0,1,2.63674836192008e-05,1.88339168708577e-06,1.88339168708577e-06,530957
"20","2020/03/29",2,0,16,0,3,3.01342669933723e-05,3.76678337417154e-06,5.65017506125731e-06,530957
"21","2020/03/30",1,0,17,0,4,3.20176586804581e-05,1.88339168708577e-06,7.53356674834309e-06,530957
"22","2020/03/31",0,0,17,0,4,3.20176586804581e-05,0,7.53356674834309e-06,530957
"23","2020/04/01",1,0,18,0,5,3.39010503675439e-05,1.88339168708577e-06,9.41695843542886e-06,530957
"24","2020/04/02",1,0,19,0,6,3.57844420546297e-05,1.88339168708577e-06,1.13003501225146e-05,530957
"25","2020/04/03",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"26","2020/04/04",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"27","2020/04/05",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"28","2020/04/06",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"29","2020/04/07",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"30","2020/04/08",0,0,19,0,6,3.57844420546297e-05,0,1.13003501225146e-05,530957
"31","2020/04/09",0,0,19,0,5,3.57844420546297e-05,0,9.41695843542886e-06,530957
"32","2020/04/10",0,0,19,0,3,3.57844420546297e-05,0,5.65017506125731e-06,530957
"33","2020/04/11",0,0,19,0,2,3.57844420546297e-05,0,3.76678337417154e-06,530957
"34","2020/04/12",0,0,19,0,2,3.57844420546297e-05,0,3.76678337417154e-06,530957
"35","2020/04/13",1,0,20,0,2,3.76678337417154e-05,1.88339168708577e-06,3.76678337417154e-06,530957
"36","2020/04/14",0,0,20,0,1,3.76678337417154e-05,0,1.88339168708577e-06,530957
"37","2020/04/15",1,0,21,0,2,3.95512254288012e-05,1.88339168708577e-06,3.76678337417154e-06,530957
"38","2020/04/16",0,0,21,0,2,3.95512254288012e-05,0,3.76678337417154e-06,530957
"39","2020/04/17",4,0,25,0,6,4.70847921771443e-05,7.53356674834309e-06,1.13003501225146e-05,530957
"40","2020/04/18",4,0,29,0,10,5.46183589254874e-05,7.53356674834309e-06,1.88339168708577e-05,530957
"41","2020/04/19",6,0,35,0,16,6.5918709048002e-05,1.13003501225146e-05,3.01342669933723e-05,530957
"42","2020/04/20",17,0,52,0,33,9.79363677284601e-05,3.20176586804581e-05,6.21519256738305e-05,530957
"43","2020/04/21",17,0,69,0,50,0.000129954026408918,3.20176586804581e-05,9.41695843542886e-05,530957
"44","2020/04/22",16,0,85,0,66,0.000160088293402291,3.01342669933723e-05,0.000124303851347661,530957
"45","2020/04/23",0,0,85,0,66,0.000160088293402291,0,0.000124303851347661,530957
"46","2020/04/24",25,0,110,0,91,0.000207173085579435,4.70847921771443e-05,0.000171388643524805,530957
"47","2020/04/25",18,0,128,0,108,0.000241074135946979,3.39010503675439e-05,0.000203406302205263,530957
"48","2020/04/26",9,0,137,0,117,0.000258024661130751,1.69505251837719e-05,0.000220356827389035,530957
"49","2020/04/27",77,0,214,0,193,0.000403045821036355,0.000145021159905604,0.000363494595607554,530957
"50","2020/04/28",0,0,214,0,193,0.000403045821036355,0,0.000363494595607554,530957
"51","2020/04/29",31,0,245,0,220,0.000461430963336014,5.83851422996589e-05,0.00041434617115887,530957
"52","2020/04/30",32,0,277,0,248,0.000521699497322759,6.02685339867447e-05,0.000467081138397271,530957
"53","2020/05/01",191,1,468,1,433,0.000881427309556141,0.000359727812233382,0.000815508600508139,530957
"54","2020/05/02",23,0,491,1,439,0.000924745318359114,4.33180088029727e-05,0.000826808950630654,530957
"55","2020/05/03",28,0,519,1,450,0.000977480285597515,5.27349672384016e-05,0.000847526259188597,530957
"56","2020/05/04",8,0,527,1,442,0.000992547419094202,1.50671334966862e-05,0.000832459125691911,530957
"57","2020/05/05",24,0,551,1,466,0.00103774881958426,4.52014004900585e-05,0.00087766052618197,530957
"58","2020/05/06",22,0,573,1,463,0.00107918343670015,4.1434617115887e-05,0.000872010351120712,530957
"59","2020/05/07",44,1,617,2,489,0.00116205267093192,8.28692342317739e-05,0.000920978534984942,530957
"60","2020/05/08",25,1,642,3,505,0.00120913746310907,4.70847921771443e-05,0.000951112801978315,530957
"61","2020/05/09",2,0,644,3,430,0.00121290424648324,3.76678337417154e-06,0.000809858425446882,530957
"62","2020/05/10",146,0,790,3,576,0.00148787943279776,0.000274975186314523,0.0010848336117614,530957
"63","2020/05/11",45,0,835,3,590,0.00157263205871662,8.47526259188597e-05,0.00111120109538061,530957
"64","2020/05/12",62,0,897,3,620,0.00168940234331594,0.000116770284599318,0.00116770284599318,530957
"65","2020/05/13",7,0,904,3,436,0.00170258608512554,1.31837418096004e-05,0.000821158775569396,530957
"66","2020/05/14",51,1,955,4,464,0.00179863906116691,9.60529760413743e-05,0.000873893742807798,530957
"67","2020/05/15",27,0,982,4,463,0.00184949063671823,5.08515755513158e-05,0.000872010351120712,530957
"68","2020/05/16",49,0,1031,4,504,0.00194177682938543,9.22861926672028e-05,0.000949229410291229,530957
"69","2020/05/17",47,0,1078,4,527,0.00203029623867846,8.85194092930313e-05,0.000992547419094202,530957
"70","2020/05/18",16,0,1094,4,521,0.00206043050567183,3.01342669933723e-05,0.000981247068971687,530957
"71","2020/05/19",12,0,1106,4,489,0.00208303120591686,2.26007002450293e-05,0.000920978534984942,530957
"72","2020/05/20",37,0,1143,4,501,0.00215271669833904,6.96854924221735e-05,0.000943579235229972,530957
"73","2020/05/21",43,0,1186,4,542,0.00223370254088373,8.09858425446882e-05,0.00102079829440049,530957
"74","2020/05/22",30,0,1216,4,426,0.0022902042914963,5.65017506125731e-05,0.000802324858698539,530957
"75","2020/05/23",58,0,1274,4,439,0.00239944100934727,0.000109236717850975,0.000826808950630654,530957
"76","2020/05/24",29,0,1303,4,406,0.00245405936827276,5.46183589254874e-05,0.000764657024956823,530957
"77","2020/05/25",68,0,1371,4,467,0.00258213000299459,0.000128070634721832,0.000879543917869055,530957
"78","2020/05/26",24,0,1395,4,440,0.00262733140348465,4.52014004900585e-05,0.000828692342317739,530957
"79","2020/05/27",43,1,1438,5,456,0.00270831724602934,8.09858425446882e-05,0.000858826609311112,530957
"80","2020/05/28",19,0,1457,5,426,0.00274410168808397,3.57844420546297e-05,0.000802324858698539,530957
"81","2020/05/29",56,0,1513,5,435,0.00284957162256077,0.000105469934476803,0.000819275383882311,530957
"82","2020/05/30",78,0,1591,5,497,0.00299647617415346,0.00014690455159269,0.000936045668481628,530957
"83","2020/05/31",81,0,1672,5,566,0.00314903090080741,0.000152554726653947,0.00106599969489055,530957
"84","2020/06/01",101,0,1773,5,630,0.00333925346120307,0.000190222560395663,0.00118653676286404,530957
"85","2020/06/02",56,1,1829,6,643,0.00344472339567988,0.000105469934476803,0.00121102085479615,530957
"86","2020/06/03",12,1,1841,7,625,0.00346732409592491,2.26007002450293e-05,0.00117711980442861,530957
"87","2020/06/04",9,0,1850,7,576,0.00348427462110868,1.69505251837719e-05,0.0010848336117614,530957
"88","2020/06/05",22,0,1872,7,569,0.00352570923822456,4.1434617115887e-05,0.0010716498699518,530957
"89","2020/06/06",11,0,1883,7,512,0.00354642654678251,2.07173085579435e-05,0.000964296543787915,530957
"90","2020/06/07",18,0,1901,7,506,0.00358032759715005,3.39010503675439e-05,0.0009529961936654,530957
"91","2020/06/08",2,1,1903,8,465,0.00358409438052422,3.76678337417154e-06,0.000875777134494884,530957
"92","2020/06/09",13,0,1916,8,459,0.00360857847245634,2.4484091932115e-05,0.000864476784372369,530957
"93","2020/06/10",26,0,1942,8,429,0.00365754665632057,4.89681838642301e-05,0.000807975033759796,530957
