"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/07",1,0,1,0,1,1.43600501108309e-07,1.43600501108309e-07,1.43600501108309e-07,6963764
"2","2020/03/11",4,0,5,0,5,7.18002505541543e-07,5.74402004433235e-07,7.18002505541543e-07,6963764
"3","2020/03/12",13,0,18,0,18,2.58480901994956e-06,1.86680651440801e-06,2.58480901994956e-06,6963764
"4","2020/03/13",6,0,24,0,24,3.44641202659941e-06,8.61603006649852e-07,3.44641202659941e-06,6963764
"5","2020/03/14",17,0,41,0,41,5.88762054544065e-06,2.44120851884125e-06,5.88762054544065e-06,6963764
"6","2020/03/15",5,0,46,0,46,6.6056230509822e-06,7.18002505541543e-07,6.6056230509822e-06,6963764
"7","2020/03/16",9,0,55,0,55,7.89802756095698e-06,1.29240450997478e-06,7.89802756095698e-06,6963764
"8","2020/03/17",2,0,57,0,57,8.18522856317359e-06,2.87201002216617e-07,8.18522856317359e-06,6963764
"9","2020/03/18",15,0,72,0,72,1.03392360797982e-05,2.15400751662463e-06,1.03392360797982e-05,6963764
"10","2020/03/19",22,0,94,0,94,1.3498447104181e-05,3.15921102438279e-06,1.3498447104181e-05,6963764
"11","2020/03/20",32,0,126,0,126,1.80936631396469e-05,4.59521603546588e-06,1.80936631396469e-05,6963764
"12","2020/03/21",9,1,135,1,135,1.93860676496217e-05,1.29240450997478e-06,1.93860676496217e-05,6963764
"13","2020/03/22",14,0,149,1,148,2.1396474665138e-05,2.01040701551632e-06,2.12528741640297e-05,6963764
"14","2020/03/23",39,0,188,1,183,2.6996894208362e-05,5.60041954322404e-06,2.62788917028205e-05,6963764
"15","2020/03/24",34,0,222,1,204,3.18793112460445e-05,4.8824170376825e-06,2.9294502226095e-05,6963764
"16","2020/03/25",27,0,249,1,225,3.57565247759689e-05,3.87721352992433e-06,3.23101127493695e-05,6963764
"17","2020/03/26",54,1,303,2,262,4.35109518358175e-05,7.75442705984867e-06,3.76233312903769e-05,6963764
"18","2020/03/27",81,1,384,3,338,5.51425924255905e-05,1.1631640589773e-05,4.85369693746083e-05,6963764
"19","2020/03/28",73,3,457,6,402,6.56254290064971e-05,1.04828365809065e-05,5.77274014455401e-05,6963764
"20","2020/03/29",202,4,659,10,602,9.46327302303754e-05,2.90073012238784e-05,8.64475016672018e-05,6963764
"21","2020/03/30",82,3,741,13,669,0.000106407971321257,1.17752410908813e-05,9.60687352414585e-05,6963764
"22","2020/03/31",44,3,785,16,691,0.000112726393370022,6.31842204876558e-06,9.92279462658413e-05,6963764
"23","2020/04/01",115,7,900,23,774,0.000129240450997478,1.65140576274555e-05,0.000111146787857831,6963764
"24","2020/04/02",160,0,1060,23,925,0.000152216531174807,2.29760801773294e-05,0.000132830463525186,6963764
"25","2020/04/03",111,8,1171,31,1022,0.000168156186797829,1.59396556230223e-05,0.000146759712132691,6963764
"26","2020/04/04",305,8,1476,39,1288,0.000211954339635864,4.37981528380341e-05,0.000184957445427502,6963764
"27","2020/04/05",148,5,1624,44,1402,0.000233207213799893,2.12528741640297e-05,0.000201327902553849,6963764
"28","2020/04/06",284,7,1908,51,1659,0.000273989756114653,4.07825423147597e-05,0.000238233231338684,6963764
"29","2020/04/07",292,7,2200,58,1897,0.000315921102438279,4.19313463236261e-05,0.000272410150602462,6963764
"30","2020/04/08",247,3,2447,61,2063,0.000351390426212031,3.54693237737522e-05,0.000296247833786441,6963764
"31","2020/04/09",219,4,2666,65,2209,0.000382838935954751,3.14485097427196e-05,0.000317213506948254,6963764
"32","2020/04/10",201,1,2867,66,2208,0.000411702636677521,2.886370072277e-05,0.000317069906447146,6963764
"33","2020/04/11",238,5,3105,71,2364,0.000445879555941298,3.41769192637775e-05,0.000339471584620042,6963764
"34","2020/04/12",275,3,3380,74,2595,0.000485369693746083,3.94901378047849e-05,0.000372643300376061,6963764
"35","2020/04/13",250,6,3630,80,2730,0.00052126981902316,3.59001252770772e-05,0.000392029368025683,6963764
"36","2020/04/14",424,5,4054,85,2994,0.000582156431493083,6.08866124699229e-05,0.000429939900318276,6963764
"37","2020/04/15",411,9,4465,94,3294,0.000641176237448598,5.90198059555149e-05,0.000473020050650769,6963764
"38","2020/04/16",408,5,4873,99,3397,0.000699765241900788,5.85890044521899e-05,0.000487810902264925,6963764
"39","2020/04/17",445,4,5318,103,3694,0.000763667464893985,6.39022229931974e-05,0.000530460251094092,6963764
"40","2020/04/18",372,7,5690,110,3782,0.000817086851306276,5.34193864122908e-05,0.000543097095191623,6963764
"41","2020/04/19",304,7,5994,117,3794,0.000860741403643202,4.36545523369258e-05,0.000544820301204923,6963764
"42","2020/04/20",324,5,6318,122,3871,0.000907267966002294,4.6526562359092e-05,0.000555877539790263,6963764
"43","2020/04/21",312,3,6630,125,3964,0.000952071322348086,4.48033563457923e-05,0.000569232386393336,6963764
"44","2020/04/22",260,0,6890,125,4023,0.000989407452636247,3.73361302881603e-05,0.000577704815958726,6963764
"45","2020/04/23",224,9,7114,134,4009,0.00102157396488451,3.21665122482611e-05,0.000575694408943209,6963764
"46","2020/04/24",162,5,7276,139,3896,0.00104483724606405,2.3263281179546e-05,0.000559467552317971,6963764
"47","2020/04/25",207,5,7483,144,3853,0.00107456254979347,2.97253037294199e-05,0.000553292730770313,6963764
"48","2020/04/26",296,7,7779,151,3725,0.00111706829812153,4.25057483280594e-05,0.00053491186662845,6963764
"49","2020/04/27",263,5,8042,156,3577,0.00115483522991302,3.77669317914852e-05,0.00051365899246442,6963764
"50","2020/04/28",233,6,8275,162,3402,0.00118829414667125,3.34589167582359e-05,0.000488528904770466,6963764
"51","2020/04/29",222,6,8497,168,3179,0.0012201734579173,3.18793112460445e-05,0.000456505993023313,6963764
"52","2020/04/30",227,5,8724,173,3034,0.00125277077166888,3.25973137515861e-05,0.000435683920362609,6963764
"53","2020/05/01",285,6,9009,179,3015,0.00129369691448475,4.0926142815868e-05,0.000432955510841551,6963764
"54","2020/05/02",196,6,9205,185,2887,0.00132184261270198,2.81456982172285e-05,0.000414574646699687,6963764
"55","2020/05/03",157,4,9362,189,2732,0.00134438789137599,2.25452786740045e-05,0.000392316569027899,6963764
"56","2020/05/04",102,4,9464,193,2574,0.00135903514248903,1.46472511130475e-05,0.000369627689852787,6963764
"57","2020/05/05",93,4,9557,197,2443,0.00137238998909211,1.33548466030727e-05,0.000350816024207598,6963764
"58","2020/05/06",120,3,9677,200,2401,0.0013896220492251,1.7232060132997e-05,0.000344784803161049,6963764
"59","2020/05/07",114,3,9791,203,2308,0.00140599250635145,1.63704571263472e-05,0.000331429956557976,6963764
"60","2020/05/08",57,3,9848,206,2069,0.00141417773491462,8.18522856317359e-06,0.000297109436793091,6963764
"61","2020/05/09",95,3,9943,209,1901,0.00142781978251991,1.36420476052893e-05,0.000272984552606895,6963764
"62","2020/05/10",89,4,10032,213,1757,0.00144060022711855,1.27804445986395e-05,0.000252306080447298,6963764
"63","2020/05/11",82,2,10114,215,1617,0.00145237546820943,1.17752410908813e-05,0.000232202010292135,6963764
"64","2020/05/12",62,3,10176,218,1452,0.00146127869927815,8.90323106871514e-06,0.000208507927609264,6963764
"65","2020/05/13",67,2,10243,220,1234,0.00147089993285241,9.62123357425668e-06,0.000177203018367653,6963764
"66","2020/05/14",52,2,10295,222,1090,0.00147836715891004,7.46722605763205e-06,0.000156524546208056,6963764
"67","2020/05/15",79,2,10374,224,1012,0.00148971159849759,1.13444395875564e-05,0.000145323707121608,6963764
"68","2020/05/16",64,1,10438,225,974,0.00149890203056853,9.19043207093176e-06,0.000139866888079493,6963764
"69","2020/05/17",58,3,10496,228,939,0.00150723085963281,8.3288290642819e-06,0.000134840870540702,6963764
"70","2020/05/18",114,2,10610,230,933,0.00152360131675916,1.63704571263472e-05,0.000133979267534052,6963764
"71","2020/05/19",89,1,10699,231,908,0.00153638176135779,1.27804445986395e-05,0.000130389255006344,6963764
"72","2020/05/20",34,3,10733,234,885,0.00154126417839548,4.8824170376825e-06,0.000127086443480853,6963764
"73","2020/05/21",100,1,10833,235,890,0.00155562422850631,1.43600501108309e-05,0.000127804445986395,6963764
"74","2020/05/22",86,2,10919,237,887,0.00156797387160162,1.23496430953145e-05,0.00012737364448307,6963764
"75","2020/05/23",105,0,11024,237,910,0.00158305192421799,1.50780526163724e-05,0.000130676456008561,6963764
