"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/17",1,0,1,0,1,6.47546517475403e-08,6.47546517475403e-08,6.47546517475403e-08,15442906
"2","2020/03/18",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"3","2020/03/19",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"4","2020/03/20",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"5","2020/03/21",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"6","2020/03/22",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"7","2020/03/23",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"8","2020/03/24",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"9","2020/03/25",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"10","2020/03/26",0,0,1,0,1,6.47546517475403e-08,0,6.47546517475403e-08,15442906
"11","2020/03/27",1,0,2,0,2,1.29509303495081e-07,6.47546517475403e-08,1.29509303495081e-07,15442906
"12","2020/03/28",1,0,3,0,3,1.94263955242621e-07,6.47546517475403e-08,1.94263955242621e-07,15442906
"13","2020/03/29",0,0,3,0,2,1.94263955242621e-07,0,1.29509303495081e-07,15442906
"14","2020/03/30",0,0,3,0,2,1.94263955242621e-07,0,1.29509303495081e-07,15442906
"15","2020/03/31",0,0,3,0,2,1.94263955242621e-07,0,1.29509303495081e-07,15442906
"16","2020/04/01",0,0,3,0,2,1.94263955242621e-07,0,1.29509303495081e-07,15442906
"17","2020/04/02",2,0,5,0,4,3.23773258737701e-07,1.29509303495081e-07,2.59018606990161e-07,15442906
"18","2020/04/03",0,0,5,0,4,3.23773258737701e-07,0,2.59018606990161e-07,15442906
"19","2020/04/04",0,0,5,0,4,3.23773258737701e-07,0,2.59018606990161e-07,15442906
"20","2020/04/05",2,0,7,0,6,4.53282562232782e-07,1.29509303495081e-07,3.88527910485242e-07,15442906
"21","2020/04/06",0,0,7,0,6,4.53282562232782e-07,0,3.88527910485242e-07,15442906
"22","2020/04/07",0,0,7,0,6,4.53282562232782e-07,0,3.88527910485242e-07,15442906
"23","2020/04/08",1,0,8,0,6,5.18037213980322e-07,6.47546517475403e-08,3.88527910485242e-07,15442906
"24","2020/04/09",0,0,8,0,5,5.18037213980322e-07,0,3.23773258737701e-07,15442906
"25","2020/04/10",4,1,12,1,9,7.77055820970483e-07,2.59018606990161e-07,5.82791865727862e-07,15442906
"26","2020/04/11",9,0,21,1,18,1.35984768669835e-06,5.82791865727862e-07,1.16558373145572e-06,15442906
"27","2020/04/12",0,0,21,1,18,1.35984768669835e-06,0,1.16558373145572e-06,15442906
"28","2020/04/13",4,1,25,2,22,1.61886629368851e-06,2.59018606990161e-07,1.42460233844589e-06,15442906
"29","2020/04/14",0,0,25,2,20,1.61886629368851e-06,0,1.29509303495081e-06,15442906
"30","2020/04/15",35,0,60,2,55,3.88527910485242e-06,2.26641281116391e-06,3.56150584611471e-06,15442906
"31","2020/04/16",20,3,80,5,75,5.18037213980322e-06,1.29509303495081e-06,4.85659888106552e-06,15442906
"32","2020/04/17",0,0,80,5,73,5.18037213980322e-06,0,4.72708957757044e-06,15442906
"33","2020/04/18",36,0,116,5,109,7.51153960271467e-06,2.33116746291145e-06,7.05825704048189e-06,15442906
"34","2020/04/19",19,2,135,7,128,8.74187798591793e-06,1.23033838320326e-06,8.28859542368515e-06,15442906
"35","2020/04/20",29,0,164,7,156,1.06197628865966e-05,1.87788490067867e-06,1.01017256726163e-05,15442906
"36","2020/04/21",73,1,237,8,229,1.5346852464167e-05,4.72708957757044e-06,1.48288152501867e-05,15442906
"37","2020/04/22",49,0,286,8,274,1.85198303997965e-05,3.17297793562947e-06,1.7742774578826e-05,15442906
"38","2020/04/23",0,6,286,14,265,1.85198303997965e-05,0,1.71599827130982e-05,15442906
"39","2020/04/24",42,0,328,14,307,2.12395257731932e-05,2.71969537339669e-06,1.98796780864949e-05,15442906
"40","2020/04/25",0,2,328,16,303,2.12395257731932e-05,0,1.96206594795047e-05,15442906
"41","2020/04/26",62,2,390,18,365,2.52543141815407e-05,4.0147884083475e-06,2.36354478878522e-05,15442906
"42","2020/04/27",46,5,436,23,376,2.82330281619276e-05,2.97871398038685e-06,2.43477490570751e-05,15442906
"43","2020/04/28",44,3,480,26,400,3.10822328388193e-05,2.84920467689177e-06,2.59018606990161e-05,15442906
"44","2020/04/29",48,2,528,28,448,3.41904561227013e-05,3.10822328388193e-06,2.9010083982898e-05,15442906
"45","2020/04/30",54,0,582,28,466,3.76872073170684e-05,3.49675119436717e-06,3.01756677143538e-05,15442906
"46","2020/05/01",19,0,601,28,466,3.89175457002717e-05,1.23033838320326e-06,3.01756677143538e-05,15442906
