"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2020/04/09",4,0,4,0,1.86004984933596e-05,1.86004984933596e-05,215048
"2","2020/04/10",0,0,4,0,1.86004984933596e-05,0,215048
"3","2020/04/11",0,0,4,0,1.86004984933596e-05,0,215048
"4","2020/04/12",0,0,4,0,1.86004984933596e-05,0,215048
"5","2020/04/13",0,0,4,0,1.86004984933596e-05,0,215048
"6","2020/04/14",0,0,4,0,1.86004984933596e-05,0,215048
"7","2020/04/15",0,0,4,0,1.86004984933596e-05,0,215048
"8","2020/04/16",0,0,4,0,1.86004984933596e-05,0,215048
"9","2020/04/17",0,0,4,0,1.86004984933596e-05,0,215048
"10","2020/04/18",0,0,4,0,1.86004984933596e-05,0,215048
"11","2020/04/19",0,0,4,0,1.86004984933596e-05,0,215048
"12","2020/04/20",0,0,4,0,1.86004984933596e-05,0,215048
"13","2020/04/21",0,0,4,0,1.86004984933596e-05,0,215048
"14","2020/04/22",0,0,4,0,1.86004984933596e-05,0,215048
"15","2020/04/23",3,0,7,0,3.25508723633793e-05,1.39503738700197e-05,215048
"16","2020/04/24",1,0,8,0,3.72009969867192e-05,4.65012462333991e-06,215048
"17","2020/04/25",0,0,8,0,3.72009969867192e-05,0,215048
"18","2020/04/26",0,0,8,0,3.72009969867192e-05,0,215048
"19","2020/04/27",0,0,8,0,3.72009969867192e-05,0,215048
"20","2020/04/28",0,0,8,0,3.72009969867192e-05,0,215048
"21","2020/04/29",3,0,11,0,5.1151370856739e-05,1.39503738700197e-05,215048
"22","2020/04/30",3,0,14,0,6.51017447267587e-05,1.39503738700197e-05,215048
"23","2020/05/01",2,1,16,1,7.44019939734385e-05,9.30024924667981e-06,215048
"24","2020/05/02",2,0,18,1,8.37022432201183e-05,9.30024924667981e-06,215048
"25","2020/05/03",0,0,18,1,8.37022432201183e-05,0,215048
"26","2020/05/04",0,0,18,1,8.37022432201183e-05,0,215048
"27","2020/05/05",156,2,174,3,0.000809121684461144,0.000725419441241025,215048
"28","2020/05/06",0,0,174,3,0.000809121684461144,0,215048
"29","2020/05/07",0,0,174,3,0.000809121684461144,0,215048
"30","2020/05/08",13,1,187,4,0.000869573304564562,6.04516201034188e-05,215048
"31","2020/05/09",21,1,208,5,0.0009672259216547,9.7652617090138e-05,215048
"32","2020/05/10",0,0,208,5,0.0009672259216547,0,215048
"33","2020/05/11",0,0,208,5,0.0009672259216547,0,215048
"34","2020/05/12",4,0,212,5,0.00098582642014806,1.86004984933596e-05,215048
"35","2020/05/13",8,1,220,6,0.00102302741713478,3.72009969867192e-05,215048
"36","2020/05/14",15,1,235,7,0.00109277928648488,6.97518693500986e-05,215048
"37","2020/05/15",0,0,235,7,0.00109277928648488,0,215048
"38","2020/05/16",0,0,235,7,0.00109277928648488,0,215048
"39","2020/05/17",0,0,235,7,0.00109277928648488,0,215048
"40","2020/05/18",0,0,235,7,0.00109277928648488,0,215048
"41","2020/05/19",11,0,246,7,0.00114393065734162,5.1151370856739e-05,215048
"42","2020/05/20",5,1,251,8,0.00116718128045832,2.32506231166995e-05,215048
"43","2020/05/21",0,0,251,8,0.00116718128045832,0,215048
"44","2020/05/22",0,0,251,8,0.00116718128045832,0,215048
"45","2020/05/23",0,0,251,8,0.00116718128045832,0,215048
"46","2020/05/24",40,0,291,8,0.00135318626539191,0.000186004984933596,215048
"47","2020/05/25",8,1,299,9,0.00139038726237863,3.72009969867192e-05,215048
"48","2020/05/26",0,2,299,11,0.00139038726237863,0,215048
"49","2020/05/27",142,1,441,12,0.0020507049588929,0.000660317696514267,215048
"50","2020/05/28",2,0,443,12,0.00206000520813958,9.30024924667981e-06,215048
"51","2020/05/29",15,0,458,12,0.00212975707748968,6.97518693500986e-05,215048
"52","2020/05/30",5,0,463,12,0.00215300770060638,2.32506231166995e-05,215048
"53","2020/05/31",16,0,479,12,0.00222740969457981,7.44019939734385e-05,215048
"54","2020/06/01",4,0,483,12,0.00224601019307317,1.86004984933596e-05,215048
"55","2020/06/02",1,0,484,12,0.00225066031769651,4.65012462333991e-06,215048
"56","2020/06/03",0,0,484,12,0.00225066031769651,0,215048
"57","2020/06/04",0,0,484,12,0.00225066031769651,0,215048
"58","2020/06/05",15,0,499,12,0.00232041218704661,6.97518693500986e-05,215048
"59","2020/06/06",10,0,509,12,0.00236691343328001,4.65012462333991e-05,215048
"60","2020/06/07",4,0,513,12,0.00238551393177337,1.86004984933596e-05,215048
"61","2020/06/08",1,0,514,12,0.00239016405639671,4.65012462333991e-06,215048
"62","2020/06/09",0,0,514,12,0.00239016405639671,0,215048
"63","2020/06/10",0,0,514,12,0.00239016405639671,0,215048
"64","2020/06/11",118,0,632,12,0.00293887876195082,0.000548714705554109,215048
"65","2020/06/12",7,0,639,12,0.0029714296343142,3.25508723633793e-05,215048
"66","2020/06/13",11,0,650,12,0.00302258100517094,5.1151370856739e-05,215048
"67","2020/06/14",9,0,659,12,0.003064432126781,4.18511216100592e-05,215048
"68","2020/06/15",2,0,661,12,0.00307373237602768,9.30024924667981e-06,215048
"69","2020/06/16",0,0,661,12,0.00307373237602768,0,215048
"70","2020/06/17",10,0,671,12,0.00312023362226108,4.65012462333991e-05,215048
"71","2020/06/18",12,0,683,12,0.00317603511774116,5.58014954800789e-05,215048
"72","2020/06/19",5,0,688,12,0.00319928574085786,2.32506231166995e-05,215048
"73","2020/06/20",5,0,693,12,0.00322253636397455,2.32506231166995e-05,215048
"74","2020/06/21",5,0,698,12,0.00324578698709125,2.32506231166995e-05,215048
"75","2020/06/22",0,0,698,12,0.00324578698709125,0,215048
