"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/23",1,0,1,0,5.85818551373827e-08,5.85818551373827e-08,5.85818551373827e-08,17070132
"2","2020/03/24",0,0,1,0,5.85818551373827e-08,0,5.85818551373827e-08,17070132
"3","2020/03/25",0,0,1,0,5.85818551373827e-08,0,5.85818551373827e-08,17070132
"4","2020/03/26",0,0,1,0,5.85818551373827e-08,0,5.85818551373827e-08,17070132
"5","2020/03/27",4,0,5,0,2.92909275686913e-07,2.34327420549531e-07,2.92909275686913e-07,17070132
"6","2020/03/28",0,0,5,0,2.92909275686913e-07,0,2.92909275686913e-07,17070132
"7","2020/03/29",0,0,5,0,2.92909275686913e-07,0,2.92909275686913e-07,17070132
"8","2020/03/30",4,1,9,1,5.27236696236444e-07,2.34327420549531e-07,5.27236696236444e-07,17070132
"9","2020/03/31",1,1,10,2,5.85818551373826e-07,5.85818551373827e-08,5.85818551373826e-07,17070132
"10","2020/04/01",0,0,10,2,5.85818551373826e-07,0,5.85818551373826e-07,17070132
"11","2020/04/02",0,0,10,2,5.85818551373826e-07,0,5.85818551373826e-07,17070132
"12","2020/04/03",6,0,16,2,9.37309682198122e-07,3.51491130824296e-07,9.37309682198122e-07,17070132
"13","2020/04/04",0,0,16,2,9.37309682198122e-07,0,8.7872782706074e-07,17070132
"14","2020/04/05",0,0,16,2,9.37309682198122e-07,0,8.7872782706074e-07,17070132
"15","2020/04/06",3,0,19,2,1.11305524761027e-06,1.75745565412148e-07,1.05447339247289e-06,17070132
"16","2020/04/07",0,0,19,2,1.11305524761027e-06,0,1.05447339247289e-06,17070132
"17","2020/04/08",0,0,19,2,1.11305524761027e-06,0,8.20145971923357e-07,17070132
"18","2020/04/09",0,0,19,2,1.11305524761027e-06,0,8.20145971923357e-07,17070132
"19","2020/04/10",0,0,19,2,1.11305524761027e-06,0,8.20145971923357e-07,17070132
