"","date","cases","deaths","cum_cases","cum_deaths","p_cases","population"
"1","2020/05/01",15,0,15,0,1.60926542075907e-06,9321023
"2","2020/05/02",0,0,15,0,1.60926542075907e-06,9321023
"3","2020/05/03",17,0,32,0,3.43309956428602e-06,9321023
"4","2020/05/04",44,2,76,2,8.1536114651793e-06,9321023
"5","2020/05/05",154,1,230,3,2.46754031183058e-05,9321023
"6","2020/05/06",63,2,293,5,3.14343178854939e-05,9321023
"7","2020/05/07",86,3,379,8,4.06607729645126e-05,9321023
"8","2020/05/08",82,4,461,12,4.94580905979955e-05,9321023
"9","2020/05/09",61,0,522,12,5.60024366424157e-05,9321023
"10","2020/05/10",90,8,612,20,6.56580291669702e-05,9321023
"11","2020/05/11",0,0,612,20,6.56580291669702e-05,9321023
"12","2020/05/12",49,1,661,21,7.09149628747832e-05,9321023
"13","2020/05/13",68,2,729,23,7.8210299448891e-05,9321023
"14","2020/05/14",72,0,801,23,8.59347734685345e-05,9321023
"15","2020/05/15",106,6,907,29,9.7306915775232e-05,9321023
"16","2020/05/16",211,4,1118,33,0.000119943916027243,9321023
"17","2020/05/17",204,3,1322,36,0.000141829925749566,9321023
"18","2020/05/18",202,3,1524,39,0.000163501366749122,9321023
"19","2020/05/19",205,2,1729,41,0.000185494660832829,9321023
"20","2020/05/20",0,0,1729,41,0.000185494660832829,9321023
"21","2020/05/21",207,3,1936,44,0.000207702523639304,9321023
"22","2020/05/22",204,0,2140,44,0.000229588533361628,9321023
"23","2020/05/23",210,0,2350,44,0.000252118249252255,9321023
"24","2020/05/24",201,0,2551,44,0.000273682405890426,9321023
"25","2020/05/25",187,0,2738,44,0.000293744581469223,9321023
"26","2020/05/26",362,2,3100,46,0.000332581520290208,9321023
"27","2020/05/27",0,0,3100,46,0.000332581520290208,9321023
"28","2020/05/28",0,0,3100,46,0.000332581520290208,9321023
"29","2020/05/29",463,1,3563,47,0.000382254179610972,9321023
"30","2020/05/30",0,0,3563,47,0.000382254179610972,9321023
"31","2020/05/31",244,0,3807,47,0.000408431563788653,9321023
"32","2020/06/01",0,0,3807,47,0.000408431563788653,9321023
"33","2020/06/02",123,0,3930,47,0.000421627540238877,9321023
"34","2020/06/03",83,0,4013,47,0.000430532142233744,9321023
"35","2020/06/04",87,0,4100,47,0.000439865881674147,9321023
"36","2020/06/05",189,1,4289,48,0.000460142625975711,9321023
"37","2020/06/06",81,0,4370,48,0.00046883265924781,9321023
"38","2020/06/07",83,0,4453,48,0.000477737261242677,9321023
"39","2020/06/08",76,0,4529,48,0.000485890872707856,9321023
"40","2020/06/09",80,0,4609,48,0.000494473621618571,9321023
"41","2020/06/10",81,0,4690,48,0.00050316365489067,9321023
"42","2020/06/11",73,0,4763,48,0.000510995413271698,9321023
"43","2020/06/12",71,1,4834,49,0.000518612602929957,9321023
"44","2020/06/13",68,0,4902,49,0.000525907939504065,9321023
"45","2020/06/14",69,1,4971,50,0.000533310560439557,9321023
"46","2020/06/15",64,0,5035,50,0.000540176759568129,9321023
"47","2020/06/16",62,0,5097,50,0.000546828389973933,9321023
"48","2020/06/17",63,0,5160,50,0.000553587304741121,9321023
"49","2020/06/18",61,1,5221,51,0.000560131650785542,9321023
"50","2020/06/19",58,0,5279,51,0.00056635414374581,9321023
