"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/19",2,0,2,0,2,1.11975600068843e-07,1.11975600068843e-07,1.11975600068843e-07,17861034
"2","2020/03/20",0,0,2,0,2,1.11975600068843e-07,0,1.11975600068843e-07,17861034
"3","2020/03/21",0,0,2,0,2,1.11975600068843e-07,0,1.11975600068843e-07,17861034
"4","2020/03/22",0,0,2,0,2,1.11975600068843e-07,0,1.11975600068843e-07,17861034
"5","2020/03/23",1,0,3,0,3,1.67963400103264e-07,5.59878000344213e-08,1.67963400103264e-07,17861034
"6","2020/03/24",0,0,3,0,3,1.67963400103264e-07,0,1.67963400103264e-07,17861034
"7","2020/03/25",0,0,3,0,3,1.67963400103264e-07,0,1.67963400103264e-07,17861034
"8","2020/03/26",9,0,12,0,12,6.71853600413056e-07,5.03890200309792e-07,6.71853600413056e-07,17861034
"9","2020/03/27",2,0,14,0,14,7.83829200481898e-07,1.11975600068843e-07,7.83829200481898e-07,17861034
"10","2020/03/28",2,0,16,0,16,8.95804800550741e-07,1.11975600068843e-07,8.95804800550741e-07,17861034
"11","2020/03/29",12,0,28,0,28,1.5676584009638e-06,6.71853600413056e-07,1.5676584009638e-06,17861034
"12","2020/03/30",1,0,29,0,29,1.62364620099822e-06,5.59878000344213e-08,1.62364620099822e-06,17861034
"13","2020/03/31",6,0,35,0,33,1.95957300120475e-06,3.35926800206528e-07,1.8475974011359e-06,17861034
"14","2020/04/01",0,0,35,0,33,1.95957300120475e-06,0,1.8475974011359e-06,17861034
"15","2020/04/02",1,0,36,0,34,2.01556080123917e-06,5.59878000344213e-08,1.90358520117032e-06,17861034
"16","2020/04/03",3,1,39,1,37,2.18352420134243e-06,1.67963400103264e-07,2.07154860127359e-06,17861034
"17","2020/04/04",0,0,39,1,36,2.18352420134243e-06,0,2.01556080123917e-06,17861034
"18","2020/04/05",0,0,39,1,36,2.18352420134243e-06,0,2.01556080123917e-06,17861034
"19","2020/04/06",0,0,39,1,36,2.18352420134243e-06,0,2.01556080123917e-06,17861034
"20","2020/04/07",0,0,39,1,27,2.18352420134243e-06,0,1.51167060092938e-06,17861034
"21","2020/04/08",0,0,39,1,25,2.18352420134243e-06,0,1.39969500086053e-06,17861034
"22","2020/04/09",0,0,39,1,23,2.18352420134243e-06,0,1.28771940079169e-06,17861034
"23","2020/04/10",0,0,39,1,11,2.18352420134243e-06,0,6.15865800378634e-07,17861034
"24","2020/04/11",1,1,40,2,11,2.23951200137685e-06,5.59878000344213e-08,6.15865800378634e-07,17861034
"25","2020/04/12",0,0,40,2,5,2.23951200137685e-06,0,2.79939000172106e-07,17861034
"26","2020/04/13",3,0,43,2,8,2.40747540148012e-06,1.67963400103264e-07,4.4790240027537e-07,17861034
"27","2020/04/14",2,0,45,2,9,2.51945100154896e-06,1.11975600068843e-07,5.03890200309792e-07,17861034
"28","2020/04/15",0,0,45,2,6,2.51945100154896e-06,0,3.35926800206528e-07,17861034
"29","2020/04/16",3,0,48,2,9,2.68741440165222e-06,1.67963400103264e-07,5.03890200309792e-07,17861034
"30","2020/04/17",0,0,48,2,9,2.68741440165222e-06,0,5.03890200309792e-07,17861034
"31","2020/04/18",4,0,52,2,13,2.91136560178991e-06,2.23951200137685e-07,7.27841400447477e-07,17861034
"32","2020/04/19",5,0,57,2,18,3.19130460196201e-06,2.79939000172106e-07,1.00778040061958e-06,17861034
"33","2020/04/20",4,1,61,3,22,3.4152558020997e-06,2.23951200137685e-07,1.23173160075727e-06,17861034
"34","2020/04/21",4,0,65,3,26,3.63920700223738e-06,2.23951200137685e-07,1.45568280089495e-06,17861034
"35","2020/04/22",0,0,65,3,26,3.63920700223738e-06,0,1.45568280089495e-06,17861034
"36","2020/04/23",9,0,74,3,34,4.14309720254718e-06,5.03890200309792e-07,1.90358520117032e-06,17861034
"37","2020/04/24",2,0,76,3,36,4.25507280261602e-06,1.11975600068843e-07,2.01556080123917e-06,17861034
"38","2020/04/25",8,0,84,3,41,4.70297520289139e-06,4.4790240027537e-07,2.29549980141127e-06,17861034
"39","2020/04/26",0,0,84,3,39,4.70297520289139e-06,0,2.18352420134243e-06,17861034
"40","2020/04/27",4,0,88,3,43,4.92692640302907e-06,2.23951200137685e-07,2.40747540148012e-06,17861034
"41","2020/04/28",1,0,89,3,41,4.9829142030635e-06,5.59878000344213e-08,2.29549980141127e-06,17861034
"42","2020/04/29",6,0,95,3,47,5.31884100327002e-06,3.35926800206528e-07,2.6314266016178e-06,17861034
"43","2020/04/30",2,0,97,3,45,5.43081660333887e-06,1.11975600068843e-07,2.51945100154896e-06,17861034
"44","2020/05/01",9,0,106,3,49,5.93470680364866e-06,5.03890200309792e-07,2.74340220168664e-06,17861034
"45","2020/05/02",3,0,109,3,48,6.10267020375192e-06,1.67963400103264e-07,2.68741440165222e-06,17861034
"46","2020/05/03",10,0,119,3,54,6.66254820409613e-06,5.59878000344213e-07,3.02334120185875e-06,17861034
"47","2020/05/04",5,0,124,3,59,6.94248720426824e-06,2.79939000172106e-07,3.30328020203086e-06,17861034
"48","2020/05/05",13,0,137,3,63,7.67032860471572e-06,7.27841400447477e-07,3.52723140216854e-06,17861034
"49","2020/05/06",2,1,139,4,63,7.78230420478456e-06,1.11975600068843e-07,3.52723140216854e-06,17861034
"50","2020/05/07",7,0,146,4,62,8.17421880502551e-06,3.91914600240949e-07,3.47124360213412e-06,17861034
"51","2020/05/08",7,0,153,4,69,8.56613340526646e-06,3.91914600240949e-07,3.86315820237507e-06,17861034
"52","2020/05/09",14,0,167,4,79,9.34996260574836e-06,7.83829200481898e-07,4.42303620271928e-06,17861034
"53","2020/05/10",85,3,252,7,163,1.41089256086742e-05,4.75896300292581e-06,9.12601140561067e-06,17861034
"54","2020/05/11",15,0,267,7,172,1.49487426091905e-05,8.39817000516319e-07,9.62990160592046e-06,17861034
"55","2020/05/12",0,0,267,7,170,1.49487426091905e-05,0,9.51792600585162e-06,17861034
"56","2020/05/13",174,0,441,7,335,2.46906198151798e-05,9.74187720598931e-06,1.87559130115311e-05,17861034
"57","2020/05/14",5,0,446,7,337,2.49705588153519e-05,2.79939000172106e-07,1.88678886116e-05,17861034
"58","2020/05/15",208,0,654,7,535,3.66160212225115e-05,1.16454624071596e-05,2.99534730184154e-05,17861034
"59","2020/05/16",14,0,668,7,544,3.73998504229934e-05,7.83829200481898e-07,3.04573632187252e-05,17861034
"60","2020/05/17",11,0,679,7,542,3.80157162233721e-05,6.15865800378634e-07,3.03453876186563e-05,17861034
"61","2020/05/18",74,0,753,7,614,4.21588134259192e-05,4.14309720254718e-06,3.43765092211347e-05,17861034
"62","2020/05/19",8,0,761,7,615,4.26067158261946e-05,4.4790240027537e-07,3.44324970211691e-05,17861034
"63","2020/05/20",11,0,772,7,619,4.32225816265732e-05,6.15865800378634e-07,3.46564482213068e-05,17861034
"64","2020/05/21",60,0,832,7,665,4.65818496286385e-05,3.35926800206528e-06,3.72318870228902e-05,17861034
"65","2020/05/22",34,0,866,7,614,4.84854348298088e-05,1.90358520117032e-06,3.43765092211347e-05,17861034
"66","2020/05/23",54,0,920,7,653,5.15087760316676e-05,3.02334120185875e-06,3.65600334224771e-05,17861034
"67","2020/05/24",0,0,920,7,653,5.15087760316676e-05,0,3.65600334224771e-05,17861034
"68","2020/05/25",0,0,920,7,479,5.15087760316676e-05,0,2.68181562164878e-05,17861034
"69","2020/05/26",0,0,920,7,474,5.15087760316676e-05,0,2.65382172163157e-05,17861034
"70","2020/05/27",0,0,920,7,266,5.15087760316676e-05,0,1.48927548091561e-05,17861034
"71","2020/05/28",137,0,1057,7,389,5.91791046363833e-05,7.67032860471572e-06,2.17792542133899e-05,17861034
"72","2020/05/29",0,0,1057,7,378,5.91791046363833e-05,0,2.11633884130113e-05,17861034
"73","2020/05/30",0,0,1057,7,304,5.91791046363833e-05,0,1.70202912104641e-05,17861034
"74","2020/05/31",0,0,1057,7,296,5.91791046363833e-05,0,1.65723888101887e-05,17861034
"75","2020/06/01",0,0,1057,7,285,5.91791046363833e-05,0,1.59565230098101e-05,17861034
"76","2020/06/02",32,0,1089,7,257,6.09707142374848e-05,1.79160960110148e-06,1.43888646088463e-05,17861034
"77","2020/06/03",0,0,1089,7,223,6.09707142374848e-05,0,1.24852794076759e-05,17861034
"78","2020/06/04",0,0,1089,7,169,6.09707142374848e-05,0,9.4619382058172e-06,17861034
"79","2020/06/05",22,0,1111,7,191,6.22024458382421e-05,1.23173160075727e-06,1.06936698065745e-05,17861034
"80","2020/06/06",0,0,1111,7,191,6.22024458382421e-05,0,1.06936698065745e-05,17861034
