"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2020/03/21",1,0,1,0,6.82804850345223e-08,6.82804850345223e-08,14645473
"2","2020/03/22",1,0,2,0,1.36560970069045e-07,6.82804850345223e-08,14645473
"3","2020/03/23",0,0,2,0,1.36560970069045e-07,0,14645473
"4","2020/03/24",0,1,2,1,1.36560970069045e-07,0,14645473
"5","2020/03/25",0,0,2,1,1.36560970069045e-07,0,14645473
"6","2020/03/26",1,0,3,1,2.04841455103567e-07,6.82804850345223e-08,14645473
"7","2020/03/27",0,0,3,1,2.04841455103567e-07,0,14645473
"8","2020/03/28",2,0,5,1,3.41402425172611e-07,1.36560970069045e-07,14645473
"9","2020/03/29",2,0,7,1,4.77963395241656e-07,1.36560970069045e-07,14645473
"10","2020/03/30",0,0,7,1,4.77963395241656e-07,0,14645473
"11","2020/03/31",0,0,7,1,4.77963395241656e-07,0,14645473
"12","2020/04/01",1,0,8,1,5.46243880276178e-07,6.82804850345223e-08,14645473
"13","2020/04/02",0,0,8,1,5.46243880276178e-07,0,14645473
"14","2020/04/03",0,0,8,1,5.46243880276178e-07,0,14645473
"15","2020/04/04",1,0,9,1,6.145243653107e-07,6.82804850345223e-08,14645473
"16","2020/04/05",0,0,9,1,6.145243653107e-07,0,14645473
"17","2020/04/06",0,0,9,1,6.145243653107e-07,0,14645473
"18","2020/04/07",0,0,9,1,6.145243653107e-07,0,14645473
"19","2020/04/08",1,0,10,1,6.82804850345223e-07,6.82804850345223e-08,14645473
"20","2020/04/09",1,1,11,2,7.51085335379745e-07,6.82804850345223e-08,14645473
"21","2020/04/10",0,1,11,3,7.51085335379745e-07,0,14645473
"22","2020/04/11",0,0,11,3,7.51085335379745e-07,0,14645473
"23","2020/04/12",3,0,14,3,9.55926790483312e-07,2.04841455103567e-07,14645473
"24","2020/04/13",0,0,14,3,9.55926790483312e-07,0,14645473
"25","2020/04/14",3,0,17,3,1.16076824558688e-06,2.04841455103567e-07,14645473
"26","2020/04/15",0,0,17,3,1.16076824558688e-06,0,14645473
"27","2020/04/16",6,0,23,3,1.57045115579401e-06,4.09682910207134e-07,14645473
"28","2020/04/17",1,0,24,3,1.63873164082853e-06,6.82804850345223e-08,14645473
"29","2020/04/18",0,0,24,3,1.63873164082853e-06,0,14645473
"30","2020/04/19",1,0,25,3,1.70701212586306e-06,6.82804850345223e-08,14645473
"31","2020/04/20",0,0,25,3,1.70701212586306e-06,0,14645473
"32","2020/04/21",0,0,25,3,1.70701212586306e-06,0,14645473
"33","2020/04/22",3,0,28,3,1.91185358096662e-06,2.04841455103567e-07,14645473
"34","2020/04/23",0,0,28,3,1.91185358096662e-06,0,14645473
"35","2020/04/24",1,0,29,3,1.98013406600115e-06,6.82804850345223e-08,14645473
"36","2020/04/25",0,1,29,4,1.98013406600115e-06,0,14645473
"37","2020/04/26",2,0,31,4,2.11669503607019e-06,1.36560970069045e-07,14645473
"38","2020/04/27",0,0,31,4,2.11669503607019e-06,0,14645473
"39","2020/04/28",1,0,32,4,2.18497552110471e-06,6.82804850345223e-08,14645473
"40","2020/04/29",0,0,32,4,2.18497552110471e-06,0,14645473
"41","2020/04/30",2,0,34,4,2.32153649117376e-06,1.36560970069045e-07,14645473
"42","2020/05/01",0,0,34,4,2.32153649117376e-06,0,14645473
"43","2020/05/02",0,0,34,4,2.32153649117376e-06,0,14645473
"44","2020/05/03",0,0,34,4,2.32153649117376e-06,0,14645473
"45","2020/05/04",0,0,34,4,2.32153649117376e-06,0,14645473
"46","2020/05/05",0,0,34,4,2.32153649117376e-06,0,14645473
"47","2020/05/06",0,0,34,4,2.32153649117376e-06,0,14645473
"48","2020/05/07",0,0,34,4,2.32153649117376e-06,0,14645473
"49","2020/05/08",0,0,34,4,2.32153649117376e-06,0,14645473
"50","2020/05/09",1,0,35,4,2.38981697620828e-06,6.82804850345223e-08,14645473
"51","2020/05/10",1,0,36,4,2.4580974612428e-06,6.82804850345223e-08,14645473
"52","2020/05/11",0,0,36,4,2.4580974612428e-06,0,14645473
"53","2020/05/12",1,0,37,4,2.52637794627732e-06,6.82804850345223e-08,14645473
"54","2020/05/13",0,0,37,4,2.52637794627732e-06,0,14645473
"55","2020/05/14",0,0,37,4,2.52637794627732e-06,0,14645473
"56","2020/05/15",0,0,37,4,2.52637794627732e-06,0,14645473
"57","2020/05/16",5,0,42,4,2.86778037144994e-06,3.41402425172611e-07,14645473
"58","2020/05/17",2,0,44,4,3.00434134151898e-06,1.36560970069045e-07,14645473
"59","2020/05/18",2,0,46,4,3.14090231158802e-06,1.36560970069045e-07,14645473
"60","2020/05/19",0,0,46,4,3.14090231158802e-06,0,14645473
"61","2020/05/20",0,0,46,4,3.14090231158802e-06,0,14645473
"62","2020/05/21",2,0,48,4,3.27746328165707e-06,1.36560970069045e-07,14645473
"63","2020/05/22",3,0,51,4,3.48230473676064e-06,2.04841455103567e-07,14645473
"64","2020/05/23",5,0,56,4,3.82370716193325e-06,3.41402425172611e-07,14645473
"65","2020/05/24",0,0,56,4,3.82370716193325e-06,0,14645473
"66","2020/05/25",0,0,56,4,3.82370716193325e-06,0,14645473
"67","2020/05/26",0,0,56,4,3.82370716193325e-06,0,14645473
"68","2020/05/27",0,0,56,4,3.82370716193325e-06,0,14645473
"69","2020/05/28",76,0,132,4,9.01302402455694e-06,5.18931686262369e-06,14645473
"70","2020/05/29",17,0,149,4,1.01737922701438e-05,1.16076824558688e-06,14645473
"71","2020/05/30",11,0,160,4,1.09248776055236e-05,7.51085335379745e-07,14645473
"72","2020/05/31",14,0,174,4,1.18808043960069e-05,9.55926790483312e-07,14645473
"73","2020/06/01",4,0,178,4,1.2153926336145e-05,2.73121940138089e-07,14645473
"74","2020/06/02",25,0,203,4,1.3860938462008e-05,1.70701212586306e-06,14645473
"75","2020/06/03",3,0,206,4,1.40657799171116e-05,2.04841455103567e-07,14645473
"76","2020/06/04",16,0,222,4,1.51582676776639e-05,1.09248776055236e-06,14645473
"77","2020/06/05",15,0,237,4,1.61824749531818e-05,1.02420727551783e-06,14645473
"78","2020/06/06",28,0,265,4,1.80943285341484e-05,1.91185358096662e-06,14645473
"79","2020/06/07",14,0,279,4,1.90502553246317e-05,9.55926790483312e-07,14645473
"80","2020/06/08",3,0,282,4,1.92550967797353e-05,2.04841455103567e-07,14645473
"81","2020/06/09",5,0,287,4,1.95964992049079e-05,3.41402425172611e-07,14645473
"82","2020/06/10",27,0,314,4,2.144007230084e-05,1.8435730959321e-06,14645473
"83","2020/06/11",6,0,320,4,2.18497552110471e-05,4.09682910207134e-07,14645473
"84","2020/06/12",12,0,332,4,2.26691210314614e-05,8.19365820414267e-07,14645473
"85","2020/06/13",11,0,343,4,2.34202063668411e-05,7.51085335379745e-07,14645473
"86","2020/06/14",13,0,356,4,2.43078526722899e-05,8.8764630544879e-07,14645473
"87","2020/06/15",27,0,383,4,2.6151425768222e-05,1.8435730959321e-06,14645473
"88","2020/06/16",4,0,387,4,2.64245477083601e-05,2.73121940138089e-07,14645473
"89","2020/06/17",7,0,394,4,2.69025111036018e-05,4.77963395241656e-07,14645473
"90","2020/06/18",7,0,401,4,2.73804744988434e-05,4.77963395241656e-07,14645473
"91","2020/06/19",62,0,463,4,3.16138645709838e-05,4.23339007214038e-06,14645473
"92","2020/06/20",16,0,479,4,3.27063523315362e-05,1.09248776055236e-06,14645473
"93","2020/06/21",7,2,486,6,3.31843157267778e-05,4.77963395241656e-07,14645473
"94","2020/06/22",3,0,489,6,3.33891571818814e-05,2.04841455103567e-07,14645473
"95","2020/06/23",23,0,512,6,3.49596083376754e-05,1.57045115579401e-06,14645473
"96","2020/06/24",13,0,525,6,3.58472546431242e-05,8.8764630544879e-07,14645473
"97","2020/06/25",5,0,530,6,3.61886570682968e-05,3.41402425172611e-07,14645473
"98","2020/06/26",21,0,551,6,3.76225472540218e-05,1.43389018572497e-06,14645473
"99","2020/06/27",10,0,561,6,3.8305352104367e-05,6.82804850345223e-07,14645473
"100","2020/06/28",6,0,567,6,3.87150350145741e-05,4.09682910207134e-07,14645473
