"date","region","regionname","population","sample_size","reach","cases_est","cases_low","cases_high","recentcases_est","recentcases_low","recentcases_high","fatalities_est","fatalities_low","fatalities_high","p_cases","p_cases_low","p_cases_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_stillsick","p_stillsick_low","p_stillsick_high"
"2020/03/15","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESPM","Provincia:Balears",1149460,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESPM","Provincia:Balears",1149460,4,260,48631,20506.9443855816,76755.0556144184,NA,NA,NA,NA,NA,NA,0.0423076923076923,0.0178405028322704,0.0667748817831142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESPM","Provincia:Balears",1149460,5,310,40787.2903225806,17115.486669729,64459.0939754323,NA,NA,NA,NA,NA,NA,0.0354838709677419,0.0148900237239478,0.0560777182115361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESPM","Provincia:Balears",1149460,5,310,40787.2903225806,17115.486669729,64459.0939754323,NA,NA,NA,NA,NA,NA,0.0354838709677419,0.0148900237239478,0.0560777182115361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESPM","Provincia:Balears",1149460,6,450,30652.2666666667,13542.2331014311,47762.3002319023,NA,NA,NA,NA,NA,NA,0.0266666666666667,0.0117813870003576,0.0415519463329757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESPM","Provincia:Balears",1149460,6,450,30652.2666666667,13542.2331014311,47762.3002319023,NA,NA,NA,NA,NA,NA,0.0266666666666667,0.0117813870003576,0.0415519463329757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESPM","Provincia:Balears",1149460,7,550,43888.4727272727,25479.2520814711,62297.6933730744,NA,NA,NA,NA,NA,NA,0.0381818181818182,0.0221662798892272,0.0541973564744092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESPM","Provincia:Balears",1149460,7,550,43888.4727272727,25479.2520814711,62297.6933730744,NA,NA,NA,NA,NA,NA,0.0381818181818182,0.0221662798892272,0.0541973564744092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","ESPM","Provincia:Balears",1149460,9,750,44445.7866666667,28585.2933918698,60306.2799414636,NA,NA,NA,NA,NA,NA,0.0386666666666667,0.0248684542236092,0.0524648791097242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","ESPM","Provincia:Balears",1149460,5,490,42225.0612244898,23080.0737864169,61370.0486625627,NA,NA,NA,NA,NA,NA,0.036734693877551,0.020079057806637,0.0533903299484651,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","ESPM","Provincia:Balears",1149460,8,610,48993.3770491803,30566.9853509013,67419.7687474593,NA,NA,NA,NA,NA,NA,0.0426229508196721,0.0265924741625645,0.0586534274767798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","ESPM","Provincia:Balears",1149460,8,610,48993.3770491803,30566.9853509013,67419.7687474593,NA,NA,NA,NA,NA,NA,0.0426229508196721,0.0265924741625645,0.0586534274767798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","ESPM","Provincia:Balears",1149460,7,470,61141.4893617021,37820.5963360481,84462.3823873562,NA,NA,NA,NA,NA,NA,0.0531914893617021,0.0329029251440225,0.0734800535793818,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","ESPM","Provincia:Balears",1149460,8,520,55262.5,34127.1452241716,76397.8547758284,NA,NA,NA,NA,NA,NA,0.0480769230769231,0.0296897197154939,0.0664641264383523,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","ESPM","Provincia:Balears",1149460,7,420,43788.9523809524,22745.4175952161,64832.4871666886,NA,NA,NA,NA,NA,NA,0.0380952380952381,0.0197879157127835,0.0564025604776927,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","ESPM","Provincia:Balears",1149460,8,480,38315.3333333333,19856.7197010384,56773.9469656282,NA,NA,NA,NA,NA,NA,0.0333333333333333,0.0172748244402054,0.0493918422264613,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","ESPM","Provincia:Balears",1149460,6,280,32841.7142857143,10411.4519787775,55271.9765926511,NA,NA,NA,NA,NA,NA,0.0285714285714286,0.00905768967930811,0.048085167463549,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","ESPM","Provincia:Balears",1149460,21,945,29192.6349206349,17662.6251030824,40722.6447381875,NA,NA,NA,NA,NA,NA,0.0253968253968254,0.0153660197858841,0.0354276310077667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","ESPM","Provincia:Balears",1149460,23,1055,28327.9241706161,17574.2313717286,39081.6169695036,NA,NA,NA,NA,NA,NA,0.0246445497630332,0.0152891195619931,0.0339999799640732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","ESPM","Provincia:Balears",1149460,23,1055,28327.9241706161,17574.2313717286,39081.6169695036,NA,NA,NA,NA,NA,NA,0.0246445497630332,0.0152891195619931,0.0339999799640732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","ESPM","Provincia:Balears",1149460,23,1055,28327.9241706161,17574.2313717286,39081.6169695036,NA,NA,NA,NA,NA,NA,0.0246445497630332,0.0152891195619931,0.0339999799640732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","ESPM","Provincia:Balears",1149460,24,1205,28617.2614107884,18505.1709936617,38729.351827915,NA,NA,NA,NA,NA,NA,0.024896265560166,0.0160990125743059,0.033693518546026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","ESPM","Provincia:Balears",1149460,24,1205,28617.2614107884,18505.1709936617,38729.351827915,NA,NA,NA,NA,NA,NA,0.024896265560166,0.0160990125743059,0.033693518546026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","ESPM","Provincia:Balears",1149460,24,1205,28617.2614107884,18505.1709936617,38729.351827915,NA,NA,NA,NA,NA,NA,0.024896265560166,0.0160990125743059,0.033693518546026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","ESPM","Provincia:Balears",1149460,20,1035,24432.9661835749,14332.3587502425,34533.5736169073,NA,NA,NA,NA,NA,NA,0.021256038647343,0.0124687755556892,0.0300433017389968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","ESPM","Provincia:Balears",1149460,20,1035,24432.9661835749,14332.3587502425,34533.5736169073,NA,NA,NA,NA,NA,NA,0.021256038647343,0.0124687755556892,0.0300433017389968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","ESPM","Provincia:Balears",1149460,20,1035,24432.9661835749,14332.3587502425,34533.5736169073,NA,NA,NA,NA,NA,NA,0.021256038647343,0.0124687755556892,0.0300433017389968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","ESPM","Provincia:Balears",1149460,20,1065,30220.544600939,19175.0304573269,41266.0587445511,NA,NA,NA,NA,NA,NA,0.0262910798122066,0.0166817727083386,0.0359003869160746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","ESPM","Provincia:Balears",1149460,20,1065,30220.544600939,19175.0304573269,41266.0587445511,NA,NA,NA,NA,NA,NA,0.0262910798122066,0.0166817727083386,0.0359003869160746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","ESPM","Provincia:Balears",1149460,19,1005,32024.7562189055,20329.2463755923,43720.2660622186,NA,NA,NA,NA,NA,NA,0.0278606965174129,0.0176859102322763,0.0380354828025496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","ESPM","Provincia:Balears",1149460,19,1005,32024.7562189055,20329.2463755923,43720.2660622186,NA,NA,NA,NA,NA,NA,0.0278606965174129,0.0176859102322763,0.0380354828025496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","ESPM","Provincia:Balears",1149460,4,340,40569.1764705882,18024.1306028229,63114.2223383535,NA,NA,NA,NA,NA,NA,0.0352941176470588,0.0156805200727498,0.0549077152213679,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","ESPM","Provincia:Balears",1149460,2,230,49976.5217391304,19682.1786006194,80270.8648776414,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.0171229782685952,0.0698335434705352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/02","ESPM","Provincia:Balears",1149460,2,230,49976.5217391304,19682.1786006194,80270.8648776414,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.0171229782685952,0.0698335434705352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/03","ESPM","Provincia:Balears",1149460,2,230,49976.5217391304,19682.1786006194,80270.8648776414,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.0171229782685952,0.0698335434705352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/04","ESPM","Provincia:Balears",1149460,1,80,86209.5,19865.9879082392,152553.012091761,NA,NA,NA,NA,NA,NA,0.075,0.0172828875369645,0.132717112463035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/05","ESPM","Provincia:Balears",1149460,1,80,86209.5,19865.9879082392,152553.012091761,NA,NA,NA,NA,NA,NA,0.075,0.0172828875369645,0.132717112463035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/06","ESPM","Provincia:Balears",1149460,1,80,86209.5,19865.9879082392,152553.012091761,NA,NA,NA,NA,NA,NA,0.075,0.0172828875369645,0.132717112463035,NA,NA,NA,NA,NA,NA,NA,NA,NA
